,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,0,01-06-2020 14:55:43,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0865,63677,24300,2169,900.0,,,,,,,,,,Metadon 1gr
1,1,01-06-2020 14:55:43,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.0127,8419,3213,287,119.0,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
2,2,01-06-2020 14:55:43,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0112,7429,2835,253,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
3,3,01-06-2020 14:55:43,Tbilisi,8528108b62,4g.марихуана шишки white widow,True,3,нет,Тбилиси,4 гр,0.0188,13797,5265,470,195.0,,,,,,,,,,4g.marihuana shishki white widow
4,4,01-06-2020 14:55:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,3,нет,Тбилиси,4 гр,0.0113,7570,2889,258,107.0,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
5,5,01-06-2020 14:55:43,Tbilisi,97d5fcd29b,Suboxene 4mg,True,3,нет,Тбилиси,4 гр,0.0056,3891,1485,133,55.0,,,,,,,,,,Suboxene 4mg
6,6,01-06-2020 14:55:43,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0314,21226,8100,723,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
7,7,01-06-2020 14:55:43,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,9,нет,Тбилиси,5 гр,0.0147,9835,3753,335,139.0,,,,,,,,,,5 gr georgian weed. Package on magnet
8,8,01-06-2020 14:55:43,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0231,16980,6480,578,240.0,,,,,,,,,,5g. marihuana shishki Critical
9,9,01-06-2020 14:55:43,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0187,12382,4725,422,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
10,10,01-06-2020 14:55:43,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1216,81365,31050,2772,1150.0,,,,,,,,,,Cocaine Pure VHQ 5g.
11,11,01-06-2020 14:55:43,Tbilisi,be97026d1d,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!,,1,нет,Тбилиси,7.5 гр,0.0282,19032,7263,648,269.0,True,,,,,,,,,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!
12,12,01-06-2020 14:55:43,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,True,14,нет,Тбилиси,10 гр,0.0106,7075,2700,241,100.0,,True,,,,,,,,10 gr marihuana list'ja top gibrid
13,13,01-06-2020 14:55:43,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,True,3,нет,Тбилиси,20 гр,0.0035,2547,972,87,36.0,,,,,,,,,,GABAGAMA 20 SHTUK
14,14,01-06-2020 14:55:43,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0077,5660,2160,193,80.0,,,,,,,,,,GABAGAMA 50 SHTUK
15,15,01-06-2020 14:55:43,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1923,141504,54000,4820,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
16,16,01-06-2020 14:55:43,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0178,13089,4995,446,185.0,,,,,,,,,,GABAGAMA 150 shtuk
17,17,01-06-2020 14:55:43,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,True,нет,9,Тбилиси,0.25 гр,0.0042,2830,1080,96,40.0,,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
18,18,01-06-2020 14:55:43,Tbilisi,d30ed85c42,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг) BTC sale!💉⭕⚜,True,нет,5,Тбилиси,0.3 гр,0.0076,5306,2025,181,75.0,,,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg) BTC sale!💉⭕⚜
19,19,01-06-2020 14:55:43,Tbilisi,54915c4374,Сирец (геройн) очень сильный 0.33 гр,True,нет,50,Тбилиси,0.33 гр,0.0159,10613,4050,362,150.0,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
20,20,01-06-2020 14:55:43,Tbilisi,54915c4374,Геройн (сирец) 1 гр,True,нет,20,Тбилиси,1 гр,0.0381,25471,9720,868,360.0,,,,,,,,,,Gerojn (sirets) 1 gr
21,21,01-06-2020 14:55:43,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0224,14858,5670,506,210.0,,,,,,,,,,✨✨2gram. MDMA✨✨
22,22,01-06-2020 14:55:43,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0394,26107,9963,889,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
23,23,01-06-2020 14:55:43,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0619,40965,15633,1395,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
24,24,01-06-2020 14:55:43,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0423,28301,10800,964,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
25,25,01-06-2020 14:55:43,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,2,2,Тбилиси,4 гр,0.0148,9905,3780,337,140.0,,,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
