,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,26-06-2020 00:26:22,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,10,нет,Тбилиси,0.25 гр,0.0112,7728,2985,265,99.0,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,26-06-2020 00:26:22,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",,2,нет,Тбилиси,0.4 гр,0.0123,8336,3217,285,,True,120.0,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
2,2,26-06-2020 00:26:22,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,11,нет,Тбилиси,0.5 гр,0.0165,11045,4263,377,,True,159.0,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,3,26-06-2020 00:26:22,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0154,10420,4022,356,,True,150.0,,,,,,,,,"Black Geroin, Sirec 0.5g"
4,4,26-06-2020 00:26:22,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,,6,нет,Тбилиси,0.5 гр,0.0151,10212,3941,349,,True,147.0,True,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
5,5,26-06-2020 00:26:22,Tbilisi,8e86176694,КЕТАМИН WHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.013999999999999999,10420,4022,356,,True,150.0,,,,,,,,,KETAMIN WHQ 0.5g
6,6,26-06-2020 00:26:22,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,8,нет,Тбилиси,1 гр,0.0062,4168,1609,142,,,60.0,,True,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
7,7,26-06-2020 00:26:22,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,1,нет,Тбилиси,1 гр,0.0062,4168,1609,142,,True,60.0,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,26-06-2020 00:26:22,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,1 гр,0.006,4099,1582,140,,True,59.0,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
9,9,26-06-2020 00:26:22,Tbilisi,64284550d9,1G ---> Top BUDS (BTC - Sale),,24,нет,Тбилиси,1 гр,0.0056,3821,1475,131,,,55.0,,True,,,,,,,1G ---> Top BUDS (BTC - Sale)
10,10,26-06-2020 00:26:22,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,2,нет,Тбилиси,1 гр,0.031,20770,8016,709,,True,299.0,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
11,11,26-06-2020 00:26:22,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,7,нет,Тбилиси,1 гр,0.0062,4168,1609,142,,True,60.0,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
12,12,26-06-2020 00:26:22,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,2 гр,0.0101,6877,2654,235,,,99.0,,True,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
13,13,26-06-2020 00:26:22,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.0112,7572,2922,259,,True,109.0,,,,,,,,,2 G Hybrid Marijuana Buds
14,14,26-06-2020 00:26:22,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,2,нет,Тбилиси,2 гр,0.0113,7641,2949,261,,True,110.0,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
15,15,26-06-2020 00:26:22,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,4,нет,Тбилиси,2 гр,0.0113,7641,2949,261,,,110.0,True,True,True,,,,,,2 gr top buds white widow wishki THC 25% VHQ
16,16,26-06-2020 00:26:22,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,2 гр,0.0123,8336,3217,285,,,120.0,,True,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
17,17,26-06-2020 00:26:22,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,2 гр,0.0123,8336,3217,285,,,120.0,,True,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
18,18,26-06-2020 00:26:22,Tbilisi,0dec0e1c48,2gr HYBRID buds,,7,нет,Тбилиси,2 гр,0.009000000000000001,6113,2359,209,,True,88.0,,,,,,,,,2gr HYBRID buds
19,19,26-06-2020 00:26:22,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0077,5210,2011,178,,True,75.0,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
20,20,26-06-2020 00:26:22,Tbilisi,ebadfc162f,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,True,1,нет,Тбилиси,2 гр,0.0108,7294,2815,249,,,105.0,,,,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
21,21,26-06-2020 00:26:22,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,,2,нет,Тбилиси,2 гр,0.0123,8336,3217,285,,True,120.0,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
22,22,26-06-2020 00:26:22,Tbilisi,54915c4374,марки н-боом 2 шт.,,4,нет,Тбилиси,2 гр,0.0036,2431,938,83,,,35.0,,True,,,,,,,marki n-boom 2 sht.
23,23,26-06-2020 00:26:22,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0087,5905,2279,202,,,85.0,,True,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
24,24,26-06-2020 00:26:22,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,32,нет,Тбилиси,3 гр,0.0089,6044,2332,206,,True,87.0,,,,True,,,,,3 gr georgian weed. Package on magnet
25,25,26-06-2020 00:26:22,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,3,нет,Тбилиси,3 гр,0.0071,4793,1850,164,,,69.0,,,,True,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
26,26,26-06-2020 00:26:22,Tbilisi,aeb8abccb9,🍁 4gr Hybrid Weed Indica Buds VHQ ❤,True,1,нет,Тбилиси,4 гр,0.0143,9725,3753,332,,,140.0,,,,,,,,,🍁 4gr Hybrid Weed Indica Buds VHQ ❤
27,27,26-06-2020 00:26:22,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0224,16672,6434,569,,True,240.0,,,,,,,,,5g. marihuana shishki Critical
28,28,26-06-2020 00:26:22,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,8,нет,Тбилиси,5 гр,0.0071,4793,1850,164,,True,69.0,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
29,29,26-06-2020 00:26:22,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,5 гр,0.0181,12157,4692,415,,True,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,30,26-06-2020 00:26:22,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,9,нет,Тбилиси,5 гр,0.0139,10350,3995,354,,True,149.0,,,,,,,,,5g. GEO Marihuana boshki
31,31,26-06-2020 00:26:22,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,3,нет,Тбилиси,5 гр,0.0051,3821,1475,131,,True,55.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
32,32,26-06-2020 00:26:22,Tbilisi,54915c4374,марки н-боом 5шт.,,6,10,Тбилиси,5 гр,0.0067,4515,1743,154,,True,65.0,,True,,,,,,,marki n-boom 5sht.
33,33,26-06-2020 00:26:22,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,8,нет,Тбилиси,10 гр,0.0245,16602,6408,567,,True,239.0,,,,,,,,,10 gr georgian weed. Package on magnet
34,34,26-06-2020 00:26:22,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,24,нет,Тбилиси,10 гр,0.0133,8961,3458,306,,True,129.0,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
35,35,26-06-2020 00:26:22,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,1,нет,Тбилиси,11 гр,0.0168,12504,4826,427,,True,180.0,,,,,,,,,11+ GRAMM BEASTWEED NEW
36,36,26-06-2020 00:27:34,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,1,нет,Тбилиси,11 гр,0.0168,12504,4826,427,,True,180.0,,,,,,,,,11+ GRAMM BEASTWEED NEW
37,37,26-06-2020 00:27:34,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0465,34733,13405,1186,,True,500.0,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
38,38,26-06-2020 00:27:34,Tbilisi,ae784bef73,Silver haze leaves листья 15гр,,10,нет,Тбилиси,15 гр,0.0092,6252,2413,214,,True,90.0,,,,,,,,,Silver haze leaves list'ja 15gr
39,39,26-06-2020 00:27:34,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2066,138932,53620,4745,,True,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
40,40,26-06-2020 00:27:34,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,3,Тбилиси,0.5 гр,0.0092,6252,2413,214,,True,90.0,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
41,41,26-06-2020 00:27:34,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",,нет,6,Тбилиси,1 гр,0.0046,3126,1206,107,,True,45.0,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
42,42,26-06-2020 00:27:34,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,9,Тбилиси,2 гр,0.0092,6252,2413,214,,True,90.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
43,43,26-06-2020 00:27:34,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0217,14588,5630,498,,True,210.0,,,,,,,,,✨✨2gram. MDMA✨✨
44,44,26-06-2020 00:27:34,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0382,25633,9893,875,,True,369.0,,,,,,,,,❄❄2g HQ COCAINE❄❄
45,45,26-06-2020 00:27:34,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,9,Тбилиси,2.2 гр,0.0086,5854,2261,201,75.0,True,,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
46,46,26-06-2020 00:27:34,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,8,Тбилиси,3 гр,0.0123,8336,3217,285,,True,120.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
47,47,26-06-2020 00:27:34,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0599,40221,15523,1374,,True,579.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
