,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,15-05-2020 19:03:18,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,36,нет,Тбилиси,0.3 гр,0.0098,3221,232,7000,,,,,,,,,,0.3 a-pvp white
1,1,15-05-2020 19:03:18,Tbilisi,9610a68a0a,suboxsone 0.4 g,True,1,нет,Тбилиси,0.4 гр,0.0037,1074,98,2928,40.0,,,,,,,,,suboxsone 0.4 g
2,2,15-05-2020 19:03:18,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,8,нет,Тбилиси,1 гр,0.0309,8028,733,21888,299.0,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
3,3,15-05-2020 19:03:18,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.024,6310,576,17203,235.0,,,,,,,,,Cocaine Pure VHQ 1g
4,4,15-05-2020 19:03:18,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0836,24165,2206,65885,900.0,,,,,,,,,Metadon 1gr
5,5,15-05-2020 19:03:18,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0247,6417,586,17496,239.0,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
6,6,15-05-2020 19:03:18,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,3,нет,Тбилиси,2 гр,0.0102,2685,245,7321,100.0,,,,,,,,,2 G Hybrid Marijuana Buds
7,7,15-05-2020 19:03:18,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.0092,2390,218,6515,89.0,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
8,8,15-05-2020 19:03:18,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0072,1880,172,5124,70.0,,,,,,,,,2x Extasy Duracell 223mg MDMA.
9,9,15-05-2020 19:03:18,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0486,12888,1177,35139,480.0,,,,,,,,,VHQ BEST Cocaine 2g.
