,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Zahesi,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,30-06-2020 21:14:46,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",True,1,нет,Тбилиси,0.4 гр,0.0125,8453,3210,288,120.0,,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
1,1,30-06-2020 21:14:46,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",True,5,нет,Тбилиси,0.5 гр,0.0146,9862,3745,336,140.0,,,,,,,,,,"Black Geroin, Sirec 0.5g"
2,2,30-06-2020 21:14:46,Tbilisi,ebadfc162f,The Best Weed In Your Life 0.5G 100%шишки! LIMITED,,1,нет,Тбилиси,0.5 гр,0.0036,2465,936,84,35.0,True,,,,,,,,,The Best Weed In Your Life 0.5G 100%shishki! LIMITED
3,3,30-06-2020 21:14:46,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,1,нет,Тбилиси,0.5 гр,0.003,2043,776,70,29.0,,True,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
4,4,30-06-2020 21:14:46,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,9,нет,Тбилиси,1 гр,0.0062,4226,1605,144,60.0,,True,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,5,30-06-2020 21:14:46,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,1 гр,0.0061,4156,1578,142,59.0,,True,,,,,,,,1 G Hybrid Marijuana Buds
6,6,30-06-2020 21:14:46,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,6,нет,Тбилиси,1 гр,0.0061,4156,1578,142,59.0,True,,True,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
7,7,30-06-2020 21:14:46,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,3,нет,Тбилиси,1 гр,0.0061,4156,1578,142,59.0,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
8,8,30-06-2020 21:14:46,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,8,нет,Тбилиси,1 гр,0.0055,3733,1418,127,53.0,,True,,,,,,,,1G ---> Big Devil (BTC - Sale)
9,9,30-06-2020 21:14:46,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),True,7,нет,Тбилиси,1 гр,0.0052,3522,1338,120,50.0,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
10,10,30-06-2020 21:14:46,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,3,нет,Тбилиси,2 гр,0.0103,6974,2648,238,99.0,,True,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
11,11,30-06-2020 21:14:46,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,3,нет,Тбилиси,2 гр,0.0113,7678,2916,262,109.0,,True,,,,,,,,2 G Hybrid Marijuana Buds
12,12,30-06-2020 21:14:46,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,4,нет,Тбилиси,2 гр,0.0623,42194,16023,1438,599.0,,,,,,,,,,Cocaine Pure VHQ 2 g
13,13,30-06-2020 21:14:46,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 2.g. ПОДЪЕЗД,True,1,нет,Тбилиси,2 гр,0.0395,26768,10165,912,380.0,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 2.g. POD'EZD
14,14,30-06-2020 21:14:46,Tbilisi,54915c4374,марки н-боом 2 шт.,,5,нет,Тбилиси,2 гр,0.0036,2465,936,84,35.0,,True,,,,,,,,marki n-boom 2 sht.
15,15,30-06-2020 21:14:46,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0088,5988,2274,204,85.0,,True,,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
16,16,30-06-2020 21:14:46,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,16,нет,Тбилиси,3 гр,0.0091,6128,2327,209,87.0,,,,True,,,,,,3 gr georgian weed. Package on magnet
17,17,30-06-2020 21:14:46,Tbilisi,7bd1a5deba,5 + GRAMM NEW BEASTWEED,True,2,нет,Тбилиси,5 гр,0.0099,7396,2809,252,105.0,,,,,,,,,,5 + GRAMM NEW BEASTWEED
18,18,30-06-2020 21:14:46,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,9,нет,Тбилиси,5 гр,0.0072,4860,1846,166,69.0,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
19,19,30-06-2020 21:14:46,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,True,7,нет,Тбилиси,5 гр,0.0141,10496,3986,358,149.0,,,,,,,,,,5g. GEO Marihuana boshki
20,20,30-06-2020 21:14:46,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1404,95025,36086,3239,1349.0,,,,,,,,,,VHQ BEST Cocaine 5g.
21,21,30-06-2020 21:14:46,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,5 гр,0.0052,3874,1471,132,55.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
22,22,30-06-2020 21:14:46,Tbilisi,54915c4374,марки н-боом 5шт.,True,4,9,Тбилиси,5 гр,0.0068,4579,1739,156,65.0,,True,,,,,,,,marki n-boom 5sht.
23,23,30-06-2020 21:14:46,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,6,нет,Тбилиси,10 гр,0.0249,16835,6393,574,239.0,,,,,,,,,,10 gr georgian weed. Package on magnet
24,24,30-06-2020 21:14:46,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,11,нет,Тбилиси,10 гр,0.0135,9087,3451,310,129.0,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
25,25,30-06-2020 21:14:46,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,3,нет,Тбилиси,10 гр,0.0454,31699,12038,1080,450.0,,,,,,,,,,Gashish Evro 10gr
26,26,30-06-2020 21:14:46,Tbilisi,54915c4374,Марки н-боом 10 шт.,True,4,7,Тбилиси,10 гр,0.0104,7044,2675,240,100.0,,True,,,,,,,,Marki n-boom 10 sht.
27,27,30-06-2020 21:14:46,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,10 гр,0.008,5988,2274,204,85.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
28,28,30-06-2020 21:14:46,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,4,нет,Тбилиси,10 гр,0.009000000000000001,6692,2541,228,95.0,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
29,29,30-06-2020 21:14:46,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0473,35221,13375,1200,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
30,30,30-06-2020 21:14:46,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0068,4579,1739,156,65.0,,,,,,,,,,Silver haze leaves list'ja 15gr sale
31,31,30-06-2020 21:14:46,Tbilisi,7bd1a5deba,25 GGAMM NEW BEASTWEED,True,1,нет,Тбилиси,25 гр,0.0345,25711,9764,876,365.0,,,,,,,,,,25 GGAMM NEW BEASTWEED
32,32,30-06-2020 21:14:46,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.21,140883,53500,4802,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
