,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,09-04-2020 06:37:43,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,8,нет,Тбилиси,0.12 гр,0.0134,8332,3031,281,110.0,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,09-04-2020 06:37:43,Tbilisi,54915c4374,MDMA 0.4 грам.,True,3,нет,Тбилиси,0.4 гр,0.0079,4924,1791,166,65.0,,,,,,,,,,MDMA 0.4 gram.
2,2,09-04-2020 06:37:43,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.013999999999999999,8257,3003,278,109.0,,,,,,,,,,Cocaine Pure VHQ 0.5g
3,3,09-04-2020 06:37:43,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,True,6,нет,Тбилиси,0.5 гр,0.01,5681,2066,191,75.0,,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
4,4,09-04-2020 06:37:43,Tbilisi,99accec7c7,MEPHEDRONE 0.5 gr,True,1,нет,Тбилиси,0.5 гр,0.0074,4166,1515,140,55.0,,,,,,,,,,MEPHEDRONE 0.5 gr
5,5,09-04-2020 06:37:43,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0167,9847,3582,332,130.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
6,6,09-04-2020 06:37:43,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.6 грамм",True,1,нет,Тбилиси,0.6 гр,0.0109,6818,2480,230,90.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.6 gramm"
7,7,09-04-2020 06:37:43,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,15,нет,Тбилиси,1 гр,0.0073,4545,1653,153,60.0,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
8,8,09-04-2020 06:37:43,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0249,14695,5345,495,194.0,,,,,,,,,,Cocaine Pure VHQ 1g
9,9,09-04-2020 06:37:43,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0802,45450,16530,1531,600.0,True,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
