,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Nadzaladevi,Didube,Gldani,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,29-05-2020 05:57:54,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,3,нет,Тбилиси,0.25 гр,0.0104,7110,2711,241,100,,,,,,,,,,,,,Iranian Sirec 0.25g.
1,29-05-2020 05:57:54,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,15,нет,Тбилиси,0.5 гр,0.0167,11305,4310,384,159,,,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,29-05-2020 05:57:54,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0057,3911,1491,133,55,True,,,,,,,,,,,,HQ Euro Hashish 0.5 g
3,29-05-2020 05:57:54,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.0137,9243,3524,314,130,True,,,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
4,29-05-2020 05:57:54,Tbilisi,SF03,CRAZYFROG,1 г марихуана шишки VHQ индика THC 20%,,4,нет,Тбилиси,1 гр,0.0041,2773,1057,94,39,True,True,,,,,,,,,,,1 g marihuana shishki VHQ indika THC 20%
5,29-05-2020 05:57:54,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,13,нет,Тбилиси,1 гр,0.0315,21259,8106,722,299,,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
6,29-05-2020 05:57:54,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0852,63991,24399,2172,900,,,,,,,,,,,,,Metadon 1gr
7,29-05-2020 05:57:54,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️,,11,нет,Тбилиси,1 гр,0.0052,3484,1328,118,49,,,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 200ug from California 1pc🌈🌈🌈🧞‍♀️
8,29-05-2020 05:57:54,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,2 гр,0.0074,4977,1898,169,70,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
9,29-05-2020 05:57:54,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,9,нет,Тбилиси,2 гр,0.0093,6328,2413,215,89,,,,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
10,29-05-2020 05:57:54,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0089,6044,2304,205,85,True,,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
