,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Zahesi,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,01-07-2020 02:17:38,Tbilisi,54915c4374,Heroin (sirec) made from Azerbaijan 0.11 гр.,True,1,нет,Тбилиси,0.11 гр,0.0052,3522,1338,121,50.0,,,,,,,,,,Heroin (sirec) made from Azerbaijan 0.11 gr.
1,1,01-07-2020 02:17:38,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",True,1,нет,Тбилиси,0.4 гр,0.0125,8453,3210,289,120.0,,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
2,2,01-07-2020 02:17:38,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,4,нет,Тбилиси,0.5 гр,0.0034,2325,883,80,33.0,True,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
3,3,01-07-2020 02:17:38,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",True,5,нет,Тбилиси,0.5 гр,0.0146,9862,3745,338,140.0,,,,,,,,,,"Black Geroin, Sirec 0.5g"
4,4,01-07-2020 02:17:38,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,9,нет,Тбилиси,1 гр,0.0062,4226,1605,145,60.0,True,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,5,01-07-2020 02:17:38,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,5,нет,Тбилиси,1 гр,0.0061,4156,1578,142,59.0,True,,,,,,,,,1 G Hybrid Marijuana Buds
6,6,01-07-2020 02:17:38,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,5,нет,Тбилиси,1 гр,0.0062,4226,1605,145,60.0,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,01-07-2020 02:17:38,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,6,нет,Тбилиси,1 гр,0.0061,4156,1578,142,59.0,,True,True,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
8,8,01-07-2020 02:17:38,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,2,нет,Тбилиси,1 гр,0.0061,4156,1578,142,59.0,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
9,9,01-07-2020 02:17:38,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,8,нет,Тбилиси,1 гр,0.0055,3733,1418,128,53.0,True,,,,,,,,,1G ---> Big Devil (BTC - Sale)
10,10,01-07-2020 02:17:38,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),True,6,нет,Тбилиси,1 гр,0.0052,3522,1338,121,50.0,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
11,11,01-07-2020 02:17:38,Tbilisi,f374062dcd,Кокаин Перу HD 1гр,True,2,нет,Тбилиси,1 гр,0.0208,15497,5885,531,220.0,,,,,,,,,,Kokain Peru HD 1gr
12,12,01-07-2020 02:17:38,Tbilisi,f374062dcd,Мука Альфа PvP 1гр.,True,2,нет,Тбилиси,1 гр,0.0113,8453,3210,289,120.0,,,,,,,,,,Muka Al'fa PvP 1gr.
13,13,01-07-2020 02:17:38,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,2 гр,0.0103,6974,2648,239,99.0,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
14,14,01-07-2020 02:17:38,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,3,нет,Тбилиси,2 гр,0.0113,7678,2916,263,109.0,True,,,,,,,,,2 G Hybrid Marijuana Buds
