,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Центр,Батуми,desc_en
0,03-08-2020 18:09:11,Tbilisi,6P9R,RickNMorty,VHQ Methadon 0.25G Crystals imported,True,3,нет,Тбилиси,0.25 гр,0.0224,18910,7127,622,255,,,,,,,,,,,,VHQ Methadon 0.25G Crystals imported
1,03-08-2020 18:09:11,Tbilisi,OX85,amnesia420,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,3,нет,Тбилиси,0.5 гр,0.0026,2151,811,71,29,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
2,03-08-2020 18:09:11,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,5,нет,Тбилиси,0.5 гр,0.0029,2447,922,80,33,,,,,,,,,,,,0.5 gr HYBRID buds
3,03-08-2020 18:09:11,Tbilisi,7R3WM,RastaShop,0.5 gr. Afghan kush 100% Natural (Indika),,12,нет,Тбилиси,0.5 гр,0.0028,2373,894,78,32,True,,,,,,,,,,,0.5 gr. Afghan kush 100% Natural (Indika)
4,03-08-2020 18:09:11,Tbilisi,7R3WM,RastaShop,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,10,нет,Тбилиси,0.5 гр,0.0028,2373,894,78,32,True,,,,,,,,,,,0.5 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
5,03-08-2020 18:09:11,Tbilisi,QUZIV,Hollyweed,0.5 г.Super Skunk top class buds! (подезд),True,3,нет,Тбилиси,0.5 гр,0.0028,2299,866,76,31,,True,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
6,03-08-2020 18:09:11,Tbilisi,ABOAB,ProGrow,0.5-G ---> Hybrid BEST (BTC - Sale),,6,нет,Тбилиси,0.5 гр,0.0025,2076,783,68,28,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
7,03-08-2020 18:09:11,Tbilisi,9Y6T,WeedShop,0.5г Northen Light,True,1,нет,Тбилиси,0.5 гр,0.0027,2299,866,76,31,,,,,,,,,,,,0.5g Northen Light
8,03-08-2020 18:09:11,Tbilisi,9Y6T,WeedShop,0.5г Skunk,True,5,нет,Тбилиси,0.5 гр,0.0027,2299,866,76,31,,,,,,,,,,,,0.5g Skunk
9,03-08-2020 18:09:11,Tbilisi,9Y6T,WeedShop,0.5г Tangerine Dream,True,4,нет,Тбилиси,0.5 гр,0.0028,2373,894,78,32,,,,,,,,,,,,0.5g Tangerine Dream
10,03-08-2020 18:09:11,Tbilisi,9R7SU,ClownBaroN,CLOWNBARON ШИШКИ ♤THC 28%♤( 0.5Г Ограниченное количество),,8,нет,Тбилиси,0.5 гр,0.0028,2373,894,78,32,True,,,,,,,,,,,CLOWNBARON ShIShKI ♤THC 28%♤( 0.5G Ogranichennoe kolichestvo)
11,03-08-2020 18:09:11,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,4,нет,Тбилиси,0.5 гр,0.003,2521,950,83,34,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
12,03-08-2020 18:09:11,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,12,нет,Тбилиси,0.5 гр,0.0026,2225,839,73,30,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
13,03-08-2020 18:09:11,Tbilisi,9R7SU,ClownBaroN,!!!NEW!!! AmneziaXSkittels 1G IMPORT,,4,нет,Тбилиси,1 гр,0.005,4227,1593,139,57,True,,,,,,,,,,,!!!NEW!!! AmneziaXSkittels 1G IMPORT
14,03-08-2020 18:09:11,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,2,нет,Тбилиси,1 гр,0.0053,4450,1677,146,60,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
15,03-08-2020 18:09:11,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0053,4450,1677,146,60,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
16,03-08-2020 18:09:11,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,1,нет,Тбилиси,1 гр,0.0052,4375,1649,144,59,,,,,,,,,,,,1 gr super lemon haze probnik
17,03-08-2020 18:09:11,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,1 гр,0.0052,4375,1649,144,59,True,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
18,03-08-2020 18:09:11,Tbilisi,7R3WM,RastaShop,1.0 gr. AK-47 (60/40 Sativa/Indica),,2,нет,Тбилиси,1 гр,0.0041,3485,1314,115,47,True,,,,,,,,,,,1.0 gr. AK-47 (60/40 Sativa/Indica)
19,03-08-2020 18:09:11,Tbilisi,7R3WM,RastaShop,1.0 gr. Afghan kush 100% Natural (Indika),,6,нет,Тбилиси,1 гр,0.0047,3930,1481,129,53,True,,,,,,,,,,,1.0 gr. Afghan kush 100% Natural (Indika)
20,03-08-2020 18:09:11,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,19,нет,Тбилиси,1 гр,0.0043,3634,1370,119,49,,,,,,,,,,,,1gr HYBRID o.g
21,03-08-2020 18:09:11,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,2,нет,Тбилиси,1 гр,0.0043,3634,1370,119,49,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
22,03-08-2020 18:09:11,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,14,нет,Тбилиси,1 гр,0.004,3411,1286,112,46,,,,,,,,,,,,Amsterdam weed sativa 1gr
23,03-08-2020 18:09:11,Tbilisi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,True,17,нет,Тбилиси,1 гр,0.0035,3000,1380,99,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
24,03-08-2020 18:09:11,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0051,4301,1621,141,58,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
25,03-08-2020 18:09:11,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,True,2,нет,Тбилиси,1 гр,0.0044,3708,1398,122,50,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
