,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,08-03-2020 07:17:26,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,12,нет,Тбилиси,0.25 гр,0.0232,15529,5780,515,230.0,,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,08-03-2020 07:17:26,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G,True,3,5,Тбилиси,0.27 гр,0.0302,18230,6785,605,270.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G
2,2,08-03-2020 07:17:26,Tbilisi,7fa257ac43,0.35gr ALFA PVP GREEN,True,2,нет,Тбилиси,0.35 гр,0.0078,4726,1759,157,70.0,,,,,,,,,,0.35gr ALFA PVP GREEN
3,3,08-03-2020 07:17:26,Tbilisi,8ddca45a78,"0,5g PURPLE HAZE Sativa THC 19% / BTC -5% sale",True,1,нет,Тбилиси,0.5 гр,0.0027,1688,628,56,25.0,,,,,,,,,,"0,5g PURPLE HAZE Sativa THC 19% / BTC -5% sale"
4,4,08-03-2020 07:17:26,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0088,5874,2186,195,87.0,,,,,,,,,,Cocaine Pure VHQ 0.5g
5,5,08-03-2020 07:17:26,Tbilisi,1c14effaaa,Silver Haze | 90% sativa 10% indica | 0.5g,True,3,нет,Тбилиси,0.5 гр,0.003,2026,754,67,30.0,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
6,6,08-03-2020 07:17:26,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,7,нет,Тбилиси,1 гр,0.0043,2633,980,87,39.0,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
7,7,08-03-2020 07:17:26,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0049,2971,1106,99,44.0,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,8,08-03-2020 07:17:26,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,2,нет,Тбилиси,1 гр,0.005,3038,1131,101,45.0,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
9,9,08-03-2020 07:17:26,Tbilisi,da96c34455,ALFA PVP 1g,True,1,нет,Тбилиси,1 гр,0.0144,8777,3267,291,130.0,,,,,,,,,,ALFA PVP 1g
10,10,08-03-2020 07:17:26,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,2,нет,Тбилиси,1 гр,0.0188,11478,4272,381,170.0,,,,,,,,,,Apvp VHQ 1g 24/7
11,11,08-03-2020 07:17:26,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0181,12153,4523,403,180.0,,,,,,,,,,Cocaine Pure VHQ 1g
12,12,08-03-2020 07:17:26,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 1G,True,5,нет,Тбилиси,1 гр,0.0055,3376,1257,112,50.0,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
13,13,08-03-2020 07:17:26,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,13,нет,Тбилиси,1 гр,0.0141,9452,3518,314,140.0,,,,,,,,,,NZT-52 mind storm limited 1g muka
14,14,08-03-2020 07:17:26,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,8,нет,Тбилиси,1 гр,0.0212,13436,5001,446,199.0,,,,,,,,,,VHQ BEST Cocaine 1g.
15,15,08-03-2020 07:17:26,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0198,12086,4498,401,179.0,True,,,,,,,,,Kokain KOLUMBIA 1g
16,16,08-03-2020 07:17:26,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0907,60766,22617,2016,900.0,,,,,,,,,,Metadon 1gr
17,17,08-03-2020 07:17:26,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,3,нет,Тбилиси,2 гр,0.0393,26332,9801,873,390.0,,,,,,,,,,VHQ BEST Cocaine 2g.
18,18,08-03-2020 07:17:26,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,3,нет,Тбилиси,2 гр,0.0035,2363,880,78,35.0,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
19,19,08-03-2020 07:17:26,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0118,7089,2639,235,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
20,20,08-03-2020 07:17:26,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,2,нет,Тбилиси,3 гр,0.0129,7765,2890,258,115.0,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
21,21,08-03-2020 07:17:26,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,True,2,нет,Тбилиси,4 гр,0.006,4051,1508,134,60.0,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
22,22,08-03-2020 07:17:26,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0323,21606,8042,717,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
23,23,08-03-2020 07:17:26,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0448,28441,10688,944,,,375.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
24,24,08-03-2020 07:17:26,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0196,11816,4398,392,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
25,25,08-03-2020 07:17:26,Tbilisi,3814ba5701,Hybrid Gagarin. 5g.,,1,нет,Тбилиси,5 гр,0.0234,14854,5529,493,220.0,,,True,,,,,,,Hybrid Gagarin. 5g.
26,26,08-03-2020 07:17:26,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,1,нет,Тбилиси,5 гр,0.0178,10735,3996,356,159.0,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
27,27,08-03-2020 07:17:26,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.0866,57998,21587,1924,859.0,,,,,,,,,,VHQ BEST Cocaine 5g.
28,28,08-03-2020 07:17:26,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0066,4389,1633,146,65.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
29,29,08-03-2020 07:17:26,Tbilisi,7ee4f68218,🍃 5гр ГАШИШ 🍃,True,2,нет,Тбилиси,5 гр,0.0309,19580,7288,649,290.0,,,,,,,,,,🍃 5gr GAShISh 🍃
30,30,08-03-2020 07:17:26,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 8 штук +1 бонус ;),True,2,нет,Тбилиси,9 гр,0.0101,6752,2513,224,100.0,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 8 shtuk +1 bonus ;)
31,31,08-03-2020 07:17:26,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,3,нет,Тбилиси,10 гр,0.0405,24644,9172,817,365.0,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
32,32,08-03-2020 07:17:26,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,3,нет,Тбилиси,10 гр,0.0296,18027,6710,598,267.0,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
33,33,08-03-2020 07:17:26,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0426,27007,10052,896,400.0,,,,,,,,,,gashish evro 10g
34,34,08-03-2020 07:17:57,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0827,52461,19526,1740,777.0,,,,,,,,,,Gashish Evro 20gr
35,35,08-03-2020 07:17:57,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,5,Тбилиси,1.1 гр,0.0728,43886,16335,1456,650.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
36,36,08-03-2020 07:17:57,Tbilisi,be97026d1d,Columbia Cocaine VHQ 3.0g BTC SALE 5% SALE!!! SALE!!! (Место на ваш выбор!!!),True,нет,1,Тбилиси,3 гр,0.0582,35447,13193,1176,525.0,,,,,,,,,,Columbia Cocaine VHQ 3.0g BTC SALE 5% SALE!!! SALE!!! (Mesto na vash vybor!!!)
37,37,08-03-2020 07:17:57,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0661,39835,14827,1321,590.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
38,38,08-03-2020 07:17:57,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0443,27007,10052,896,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
39,39,08-03-2020 07:17:57,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.061,37135,13822,1232,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
40,40,08-03-2020 07:17:57,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0173,10533,3920,349,156.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
41,41,08-03-2020 07:17:57,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0221,13436,5001,446,199.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
42,42,08-03-2020 07:17:57,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0177,10803,4021,358,160.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
43,43,08-03-2020 07:17:57,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0221,13436,5001,446,199.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
44,44,08-03-2020 07:17:57,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0221,13436,5001,446,199.0,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
45,45,08-03-2020 07:17:57,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0161,9790,3644,325,145.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
46,46,08-03-2020 07:17:57,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0221,14786,5503,490,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
47,47,08-03-2020 07:17:57,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0336,20255,7539,672,300.0,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
48,48,08-03-2020 07:17:57,Tbilisi,be97026d1d,MDMA from Europe!!! 5g BTC SALE 5%(Место на ваш выбор!!!),True,нет,2,Тбилиси,5 гр,0.0438,26669,9926,885,395.0,,,,,,,,,,MDMA from Europe!!! 5g BTC SALE 5%(Mesto na vash vybor!!!)
49,49,08-03-2020 07:17:57,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,9,Тбилиси,5 гр,0.0166,10128,3770,336,150.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
50,50,08-03-2020 07:17:57,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,16,Тбилиси,5 гр,0.0202,13504,5026,448,200.0,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
51,51,08-03-2020 07:17:57,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2836,190000,87429,6311,,,,,,,,,,,reagent 25i nbome. 5gr
52,52,08-03-2020 07:17:57,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3024,202553,75390,6719,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
53,53,08-03-2020 07:17:57,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.0962,57998,21587,1924,859.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
54,54,08-03-2020 07:17:57,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0207,12491,4649,414,185.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
55,55,08-03-2020 07:17:57,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0548,33016,12289,1095,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
56,56,08-03-2020 07:17:57,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0368,22213,8268,737,329.0,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
57,57,08-03-2020 07:17:57,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0202,12153,4523,403,180.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
58,58,08-03-2020 07:17:57,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0998,60766,22617,2016,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
59,59,08-03-2020 07:17:57,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0776,47262,17591,1568,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
60,60,08-03-2020 07:17:57,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0442,26939,10027,894,399.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
61,61,08-03-2020 07:17:57,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0392,23631,8796,784,350.0,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
62,62,08-03-2020 07:17:57,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0887,54014,20104,1792,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
63,63,08-03-2020 07:17:57,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2467,150226,55914,4983,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
64,64,08-03-2020 07:17:57,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1622,97833,36413,3245,1449.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
65,65,08-03-2020 07:17:57,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0413,24914,9273,826,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
66,66,08-03-2020 07:17:57,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0335,20188,7514,670,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
