,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,28-05-2020 10:28:09,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,True,7,нет,Тбилиси,0.5 гр,0.0058,3909,1495,133,55,,,,,,,,,,HQ Euro Hashish 0.5 g
1,28-05-2020 10:28:09,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,True,13,нет,Тбилиси,0.5 гр,0.0031,2061,788,70,29,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
2,28-05-2020 10:28:09,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,,1,нет,Тбилиси,0.5 гр,0.0032,2132,815,72,30,True,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
3,28-05-2020 10:28:09,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,True,2,нет,Тбилиси,0.5 гр,0.0139,9238,3533,313,130,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
4,28-05-2020 10:28:09,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,2,нет,Тбилиси,1 гр,0.0249,16700,6387,566,235,True,,,,,,,,,Cocaine Pure VHQ 1g
5,28-05-2020 10:28:09,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.0866,63957,24462,2168,900,True,,,,,,,,,Metadon 1gr
6,28-05-2020 10:28:09,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0256,16984,6496,576,239,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
7,28-05-2020 10:28:09,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,,16,нет,Тбилиси,2 гр,0.0093,6254,2392,212,88,True,,,,,,,,,2gr HYBRID buds
8,28-05-2020 10:28:09,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,2 гр,0.0075,4974,1903,169,70,True,,,,,,,,,2x Extasy Duracell 223mg MDMA.
9,28-05-2020 10:28:09,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,,2,нет,Тбилиси,2 гр,0.0503,34110,13046,1156,480,True,,,,,,,,,VHQ BEST Cocaine 2g.
10,28-05-2020 10:28:09,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,True,1,нет,Тбилиси,2 гр,0.009,6040,2310,205,85,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
11,28-05-2020 10:28:09,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,,3,нет,Тбилиси,3 гр,0.0144,10660,4077,361,150,True,,,,,,,,,3g. marihuana shishki Critical
12,28-05-2020 10:28:09,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,1,нет,Тбилиси,3 гр,0.0112,7462,2854,253,105,True,,,,,,,,,3x Extasy Duracell 223mg MDMA
13,28-05-2020 10:28:09,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,2,нет,Тбилиси,3 гр,0.0342,23451,8969,795,330,,True,,,,,,,,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
14,28-05-2020 10:28:09,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,,2,нет,Тбилиси,4 гр,0.0113,7604,2908,258,107,True,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
15,28-05-2020 10:28:09,Tbilisi,EIH4,San4oPan4o,!!Critical Kush 5g!!,,2,нет,Тбилиси,5 гр,0.0253,16984,6496,576,239,,,True,,,,,,,!!Critical Kush 5g!!
16,28-05-2020 10:28:09,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,5,нет,Тбилиси,5 гр,0.0147,9878,3778,335,139,,,True,,,,,,,5 gr georgian weed. Package on magnet
