,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,07-04-2020 21:35:41,Tbilisi,54915c4374,MDMA 0.4 грам.,True,3,нет,Тбилиси,0.4 гр,0.0078,4905,1771,167,65.0,,,,,,,,,,MDMA 0.4 gram.
1,1,07-04-2020 21:35:41,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,True,7,нет,Тбилиси,0.5 гр,0.0099,5659,2044,193,75.0,,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
2,2,07-04-2020 21:35:41,Tbilisi,99accec7c7,MEPHEDRONE 0.5 gr,True,2,нет,Тбилиси,0.5 гр,0.0073,4150,1499,141,55.0,,,,,,,,,,MEPHEDRONE 0.5 gr
3,3,07-04-2020 21:35:41,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.6 грамм",True,1,нет,Тбилиси,0.6 гр,0.0108,6791,2453,231,90.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.6 gramm"
4,4,07-04-2020 21:35:41,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,5,нет,Тбилиси,1 гр,0.0058,3320,1199,113,44.0,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,5,07-04-2020 21:35:41,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,1,нет,Тбилиси,1 гр,0.0072,4527,1635,154,60.0,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
6,6,07-04-2020 21:35:41,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,2,нет,Тбилиси,1 гр,0.0052,2943,1063,100,39.0,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
7,7,07-04-2020 21:35:41,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0794,45273,16350,1542,600.0,True,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
8,8,07-04-2020 21:35:41,Tbilisi,28bf667d16,MDMA Champagne - DutchMasters 1g,True,1,нет,Тбилиси,1 гр,0.0146,8300,2998,283,110.0,,,,,,,,,,MDMA Champagne - DutchMasters 1g
9,9,07-04-2020 21:35:41,Tbilisi,99accec7c7,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,3,нет,Тбилиси,1 гр,0.0926,52819,19075,1800,700.0,True,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
10,10,07-04-2020 21:35:41,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1083,67910,24525,2314,900.0,,,,,,,,,,Metadon 1gr
11,11,07-04-2020 21:35:41,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,10,нет,Тбилиси,1 гр,0.0024,1509,545,51,20.0,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
12,12,07-04-2020 21:35:41,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 1.1г Скидка 5% через БИТКОИН,,4,нет,Тбилиси,1.1 гр,0.0064,3773,1363,129,50.0,,True,,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 5% cherez BITKOIN
13,13,07-04-2020 21:35:41,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,2 гр,0.0099,5659,2044,193,75.0,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
14,14,07-04-2020 21:35:41,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,2 гр,0.0091,5206,1880,177,69.0,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
15,15,07-04-2020 21:35:41,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,True,2,нет,Тбилиси,2 гр,0.0062,3546,1281,121,47.0,,,,,,,,,,2gr Indica dominant Buds
16,16,07-04-2020 21:35:41,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0094,5282,1908,180,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
