,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Gldani,Saburtalo,€,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Nadzaladevi,Авлобари,Батуми,Центр,Кутаиси,desc_en
97,97,14-03-2020 06:42:30,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,нет,5,Батуми,0.27 гр,0.0439,19761,7260,632,270.0,,,,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
98,98,14-03-2020 06:42:30,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0293,14638,5378,468,200.0,,,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
99,99,14-03-2020 06:42:30,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.325,146376,53780,4680,2000.0,,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
100,100,14-03-2020 06:42:30,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2438,109782,40335,3510,1500.0,,,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
101,101,14-03-2020 06:42:30,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0366,18297,6723,585,250.0,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
102,102,14-03-2020 06:42:30,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0219,10978,4034,351,150.0,,,,,,,,,,True,,,Rabota na marki (kur'er)
103,103,14-03-2020 06:42:30,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0366,18297,6723,585,250.0,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
104,104,14-03-2020 06:42:30,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.4356,1097823,403350,35103,15000.0,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
105,105,14-03-2020 06:42:30,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0805,36594,13445,1170,500.0,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
106,106,14-03-2020 06:43:38,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.022000000000000002,10978,4034,351,150.0,,,,,,,,,,,,True,Rabota na marki (kur'er)
