,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Gldani,Saburtalo,€,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Nadzaladevi,Авлобари,Батуми,Центр,Кутаиси,desc_en
23,23,14-03-2020 06:39:43,Tbilisi,64284550d9,2G ---> INDICA,,8,нет,Тбилиси,2 гр,0.0098,4538,1667,145,62.0,,,True,,,,,,,,,,2G ---> INDICA
24,24,14-03-2020 06:39:43,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,5,нет,Тбилиси,2 гр,0.0128,5782,2124,185,79.0,,True,,,,,,,,,,,2g super Skunk top class buds. Indica
25,25,14-03-2020 06:39:43,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,3,нет,Тбилиси,2 гр,0.0585,27738,10191,887,379.0,,,,,,,,,,,,,Kokain HQ 2g.
26,26,14-03-2020 06:39:43,Tbilisi,dd631c4acf,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃,True,1,нет,Тбилиси,2 гр,0.0193,8709,3200,278,119.0,,,,,,,,,,,,,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃
27,27,14-03-2020 06:39:43,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,3 гр,0.0432,20465,7488,654,,,,,250.0,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
28,28,14-03-2020 06:39:43,Tbilisi,64284550d9,3G ---> INDICA,,19,нет,Тбилиси,3 гр,0.0127,6367,2339,204,87.0,,,True,,,,,,,,,,3G ---> INDICA
29,29,14-03-2020 06:39:43,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0171,7685,2823,246,105.0,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
30,30,14-03-2020 06:39:43,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0161,7246,2662,232,99.0,,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
31,31,14-03-2020 06:39:43,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,2,нет,Тбилиси,3 гр,0.0187,8417,3092,269,115.0,,,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
32,32,14-03-2020 06:39:43,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,True,8,нет,Тбилиси,4 гр,0.0088,4391,1613,140,60.0,,,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
33,33,14-03-2020 06:39:43,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0478,21956,8067,702,300.0,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
