,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,16-03-2020 00:38:17,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,14,нет,Тбилиси,0.25 гр,0.0291,13906,5109,445,190.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,16-03-2020 00:38:17,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,7,3,Тбилиси,0.3 гр,0.051,21956,8067,702,300.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
2,2,16-03-2020 00:38:17,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,9,нет,Тбилиси,0.5 гр,0.0185,7978,2931,255,109.0,,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
3,3,16-03-2020 00:38:17,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.016,7246,2662,232,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,16-03-2020 00:38:17,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,,10,нет,Тбилиси,0.5 гр,0.0093,4025,1479,129,55.0,True,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
5,5,16-03-2020 00:38:17,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0176,7978,2931,255,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
6,6,16-03-2020 00:38:17,Tbilisi,99accec7c7,mephedrone 0.5 лучший меф! лечит даже корона вирус!))),,23,нет,Тбилиси,0.5 гр,0.0168,7319,2689,234,100.0,True,,,,,,,,,,mephedrone 0.5 luchshij mef! lechit dazhe korona virus!)))
7,7,16-03-2020 00:38:17,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,1 гр,0.0076,3659,1345,117,50.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
8,8,16-03-2020 00:38:17,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0084,3659,1345,117,50.0,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
9,9,16-03-2020 00:38:17,Tbilisi,64284550d9,1G ---> ONLY BUDS,True,12,нет,Тбилиси,1 гр,0.0064,2854,1049,91,39.0,,,,,,,,,,,1G ---> ONLY BUDS
10,10,16-03-2020 00:38:17,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,1 гр,0.0143,6221,2286,199,85.0,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
11,11,16-03-2020 00:38:17,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,5,нет,Тбилиси,1 гр,0.0336,14491,5324,463,198.0,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
12,12,16-03-2020 00:38:17,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,7,нет,Тбилиси,1 гр,0.0077,3367,1237,108,46.0,,,,,,,,,,,Amsterdam weed sativa 1gr
13,13,16-03-2020 00:38:17,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,6,нет,Тбилиси,1 гр,0.0289,13101,4813,419,179.0,,,,,,,,,,,Cocaine Pure VHQ 1g
14,14,16-03-2020 00:38:17,Tbilisi,99accec7c7,MDMA 1gr лучший товар на площадке!,,4,нет,Тбилиси,1 гр,0.0185,8051,2958,257,110.0,True,,,,,,,,,,MDMA 1gr luchshij tovar na ploschadke!
15,15,16-03-2020 00:38:17,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 1G,True,1,нет,Тбилиси,1 гр,0.0084,3659,1345,117,50.0,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
16,16,16-03-2020 00:38:17,Tbilisi,ae784bef73,NEW ! Super Skunk ! NEW ! BUDS ! 1G,True,3,нет,Тбилиси,1 гр,0.0081,3513,1291,112,48.0,,,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1G
17,17,16-03-2020 00:38:17,Tbilisi,edfbad0151,THC Snow Buds Only 1G (THC 23+%),True,4,нет,Тбилиси,1 гр,0.006999999999999999,3074,1129,98,42.0,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
18,18,16-03-2020 00:38:17,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0321,14564,5351,466,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
19,19,16-03-2020 00:38:17,Tbilisi,99accec7c7,cocaine 1gr СУПЕР COCA!!!,,5,нет,Тбилиси,1 гр,0.0306,14638,5378,468,200.0,True,,,,,,,,,,cocaine 1gr SUPER COCA!!!
20,20,16-03-2020 00:38:17,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0315,13833,5082,442,189.0,,,,,,,,,,,Kokain HQ 1g.
