,time_stamp,region,sell_code,sell_name,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Nadzaladevi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
22,23-06-2020 05:45:04,Tbilisi,1MZLP,WeedbooM,🍁 4gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,4 гр,0.0141,9728,3753,332,,,140,,True,True,,,,,,,🍁 4gr Hybrid Weed Indica Buds VHQ ❤
23,23-06-2020 05:45:04,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.022,16676,6434,570,,True,240,,,,,,,,,,5g. marihuana shishki Critical
24,23-06-2020 05:45:04,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,2,нет,Тбилиси,5 гр,0.0178,12160,4692,416,,True,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
25,23-06-2020 05:45:04,Tbilisi,5LZ,ExtraShop,5г. GEO Марихуана бошки,,8,нет,Тбилиси,5 гр,0.0136,10353,3995,354,,True,149,,,,,,,,,,5g. GEO Marihuana boshki
26,23-06-2020 05:45:04,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,4,нет,Тбилиси,5 гр,0.1154,81296,31368,2779,,True,1170,,,,,,,,,,VHQ BEST Cocaine 5g.
27,23-06-2020 05:45:04,Tbilisi,A3I9,Joookerrr,марки н-боом 5шт.,,11,10,Тбилиси,5 гр,0.0065,4516,1743,154,,True,65,,True,,,,,,,,marki n-boom 5sht.
28,23-06-2020 05:45:04,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,10,нет,Тбилиси,10 гр,0.0241,16607,6408,568,,True,239,,,,,,,,,,10 gr georgian weed. Package on magnet
29,23-06-2020 05:45:04,Tbilisi,8B31,GEOWEEDSHOP,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,10 гр,0.02,13827,5335,473,,True,199,,,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
30,23-06-2020 05:45:04,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",,2,нет,Тбилиси,10 гр,0.0087,6601,2547,226,,True,95,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
31,23-06-2020 05:45:04,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,,4,нет,Тбилиси,11 гр,0.0165,12507,4826,427,,True,180,,,,,,,,,,11+ GRAMM BEASTWEED NEW
32,23-06-2020 05:45:04,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0457,34742,13405,1187,,True,500,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
33,23-06-2020 05:45:04,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр,,12,нет,Тбилиси,15 гр,0.0091,6254,2413,214,,True,90,,,,,,,,,,Silver haze leaves list'ja 15gr
