,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Nadzaladevi,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,19-03-2020 11:52:46,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,14,нет,Тбилиси,0.25 гр,0.0306,14670,5377,464,190.0,,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,19-03-2020 11:52:46,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,,2,нет,Тбилиси,0.25 гр,0.0146,6949,2547,220,90.0,True,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,19-03-2020 11:52:46,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,,6,нет,Тбилиси,0.25 гр,0.0309,14670,5377,464,190.0,True,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,19-03-2020 11:52:46,Tbilisi,99accec7c7,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))) скидка припокупке битком!,True,17,нет,Тбилиси,0.5 гр,0.0117,5791,2123,183,75.0,,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!))) skidka pripokupke bitkom!
4,4,19-03-2020 11:52:46,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,2,нет,Тбилиси,1 гр,0.0081,3861,1415,122,50.0,True,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
5,5,19-03-2020 11:52:46,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,,7,нет,Тбилиси,1 гр,0.0195,9266,3396,293,120.0,True,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
6,6,19-03-2020 11:52:46,Tbilisi,f4d1c31614,1g Cocaine (SOUTH AMERICA),,1,нет,Тбилиси,1 гр,0.0312,15443,5660,488,200.0,True,,,,,,,,,,,1g Cocaine (SOUTH AMERICA)
7,7,19-03-2020 11:52:46,Tbilisi,f4d1c31614,1g MDMA (IMPORTED),,5,нет,Тбилиси,1 гр,0.0187,9266,3396,293,120.0,True,,,,,,,,,,,1g MDMA (IMPORTED)
8,8,19-03-2020 11:52:46,Tbilisi,7c395c455d,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,1,нет,Тбилиси,1 гр,0.013000000000000001,6177,2264,195,80.0,True,,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
9,9,19-03-2020 11:52:46,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,,5,нет,Тбилиси,1 гр,0.0075,3552,1302,112,46.0,True,,,,,,,,,,,Amsterdam weed sativa 1gr
10,10,19-03-2020 11:52:46,Tbilisi,99accec7c7,COCAINE VHQ1gr СУПЕР COCA!!! SALE - BTC,True,3,нет,Тбилиси,1 гр,0.0325,15443,5660,488,200.0,,,,,,,,,,,,COCAINE VHQ1gr SUPER COCA!!! SALE - BTC
11,11,19-03-2020 11:52:46,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 1G,,2,нет,Тбилиси,1 гр,0.0081,3861,1415,122,50.0,True,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
12,12,19-03-2020 11:52:46,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,,1,нет,Тбилиси,1 гр,0.0207,10810,3962,342,140.0,True,,,,,,,,,,,NZT-52 mind storm limited 1g muka
13,13,19-03-2020 11:52:46,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,,6,нет,Тбилиси,1 гр,0.0034,1776,651,56,23.0,True,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
14,14,19-03-2020 11:52:46,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 1 грами,,1,нет,Тбилиси,1 гр,0.0111,5791,2123,183,75.0,True,,,,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 1 grami
15,15,19-03-2020 11:52:46,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1331,69492,25470,2197,900.0,True,,,,,,,,,,,Metadon 1gr
16,16,19-03-2020 11:52:46,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",,1,нет,Тбилиси,1 гр,0.003,1544,566,49,20.0,,True,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
17,17,19-03-2020 11:52:46,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,14,нет,Тбилиси,2 гр,0.0133,6949,2547,220,90.0,True,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
18,18,19-03-2020 11:52:46,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,9,нет,Тбилиси,2 гр,0.013000000000000001,6177,2264,195,80.0,True,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
19,19,19-03-2020 11:52:46,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,10,нет,Тбилиси,2 гр,0.0112,5328,1953,168,69.0,True,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
20,20,19-03-2020 11:52:46,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,4,нет,Тбилиси,2 гр,0.0128,6100,2236,193,79.0,True,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
21,21,19-03-2020 11:52:46,Tbilisi,64284550d9,2G ---> Plan,,31,нет,Тбилиси,2 гр,0.0049,2316,849,73,30.0,True,,,,,,,,,,,2G ---> Plan
22,22,19-03-2020 11:52:46,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5% ПОДЪЕЗД!!! НА МАГНИТЕ!!!,,3,нет,Тбилиси,2 гр,0.0572,27411,10047,867,355.0,,,True,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5% POD'EZD!!! NA MAGNITE!!!
23,23,19-03-2020 11:52:46,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,5,нет,Тбилиси,2 гр,0.0053,2780,1019,88,36.0,True,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
24,24,19-03-2020 11:52:46,Tbilisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! !!BTC SALE 5%!! ПОДЪЕЗД!!!,,1,нет,Тбилиси,2 гр,0.021,9960,3651,315,129.0,,,True,,,,,,,,,GAShISh tverdyj!!! Hash!!!! !!BTC SALE 5%!! POD'EZD!!!
25,25,19-03-2020 11:52:46,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),,1,нет,Тбилиси,3 гр,0.0377,18675,6798,590,,True,,,220.0,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
26,26,19-03-2020 11:52:46,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,3,нет,Тбилиси,3 гр,0.0172,8107,2972,256,105.0,True,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
27,27,19-03-2020 11:52:46,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,,5,нет,Тбилиси,3 гр,0.0074,3861,1415,122,50.0,True,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
