,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Didube,Saburtalo,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
11,20-05-2020 18:41:26,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0086,6149,2287,205,85,,,True,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
12,20-05-2020 18:41:26,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0122,8608,3201,288,119,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
13,20-05-2020 18:41:26,Tbilisi,LYHBG,Playboy,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,1,нет,Тбилиси,3 гр,0.0122,8608,3201,288,119,,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
14,20-05-2020 18:41:26,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0108,7596,2825,254,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
15,20-05-2020 18:41:26,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0122,8608,3201,288,119,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
16,20-05-2020 18:41:26,Tbilisi,9VLN,AlienShop,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,1,нет,Тбилиси,3 гр,0.0118,8319,3094,278,115,,,True,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
17,20-05-2020 18:41:26,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,3,нет,Тбилиси,5 гр,0.0141,10055,3739,336,139,,,True,,,,,,,,5 gr georgian weed. Package on magnet
18,20-05-2020 18:41:26,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0121,8608,3201,288,119,,,,True,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
19,20-05-2020 18:41:26,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1169,83189,30935,2778,1150,,,,,,,,,,,Cocaine Pure VHQ 5g.
20,20-05-2020 18:41:26,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1134,83189,30935,2778,1150,,,,,,,,,,,VHQ BEST Cocaine 5g.
21,20-05-2020 18:41:26,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0444,32552,12105,1087,450,,,,,,,,,,,Gashish Evro 10gr
22,20-05-2020 18:41:26,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0758,56207,20901,1877,777,,,,,,,,,,,Gashish Evro 20gr
23,20-05-2020 18:41:26,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1848,144676,53800,4832,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
