,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Авлобари,€,Vake,Varketili,Батуми,Центр,desc_en
0,0,09-07-2020 08:36:10,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,7,нет,Тбилиси,0.5 гр,0.0035,2351,898,81,33.0,,,,,,,,,,,0.5 gr HYBRID buds
1,1,09-07-2020 08:36:10,Tbilisi,16a8841259,0.5г Ak - 47,True,4,нет,Тбилиси,0.5 гр,0.0033,2280,870,78,32.0,,,,,,,,,,,0.5g Ak - 47
2,2,09-07-2020 08:36:10,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0062,4274,1632,146,60.0,True,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
3,3,09-07-2020 08:36:10,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 1гр",,1,нет,Тбилиси,1 гр,0.0052,3918,1496,134,55.0,,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 1gr"
4,4,09-07-2020 08:36:10,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 1г.,,1,нет,Тбилиси,1 гр,0.0052,3562,1360,122,50.0,True,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
5,5,09-07-2020 08:36:10,Tbilisi,54915c4374,Марки н-боооом!!! 1 шт.,,1,нет,Тбилиси,1 гр,0.0019,1282,490,44,18.0,True,,,,,,,,,,Marki n-boooom!!! 1 sht.
6,6,09-07-2020 08:36:10,Tbilisi,f374062dcd,Сирец Иран 1гр,True,2,нет,Тбилиси,1 гр,0.0204,15316,5848,525,215.0,,,,,,,,,,,Sirets Iran 1gr
7,7,09-07-2020 08:36:10,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0114,7765,2965,266,109.0,True,,,,,,,,,,2 G Hybrid Marijuana Buds
8,8,09-07-2020 08:36:10,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,2 гр,0.0104,7124,2720,244,100.0,,,True,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
9,9,09-07-2020 08:36:10,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,2 гр,0.0104,7124,2720,244,100.0,,,True,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
10,10,09-07-2020 08:36:10,Tbilisi,8528108b62,3g. марихуана шишки Critical,True,1,нет,Тбилиси,3 гр,0.0142,10686,4080,366,150.0,,,,,,,,,,,3g. marihuana shishki Critical
11,11,09-07-2020 08:36:10,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,14,нет,Тбилиси,3 гр,0.0058,3918,1496,134,55.0,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
12,12,09-07-2020 08:36:10,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.0227,17097,6528,586,240.0,,,,,,,,,,,5g. marihuana shishki Critical
13,13,09-07-2020 08:36:10,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,20,нет,Тбилиси,5 гр,0.0073,4915,1877,168,69.0,,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
14,14,09-07-2020 08:36:10,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,1,нет,Тбилиси,5 гр,0.0227,17097,6528,586,240.0,,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
15,15,09-07-2020 08:36:10,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,1,нет,Тбилиси,5 гр,0.026000000000000002,17809,6800,610,250.0,True,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
16,16,09-07-2020 08:36:10,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,12,нет,Тбилиси,5 гр,0.0052,3918,1496,134,55.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
17,17,09-07-2020 08:36:10,Tbilisi,54915c4374,марки н-боом 5шт.,,7,нет,Тбилиси,5 гр,0.0068,4630,1768,159,65.0,True,,,,,,,,,,marki n-boom 5sht.
18,18,09-07-2020 08:36:10,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,2,нет,Тбилиси,10 гр,0.0136,9190,3509,315,129.0,,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
