,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,08-06-2020 15:25:00,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,15,нет,Тбилиси,3 гр,0.0088,5971,2336,207,87,,,,,,,,,3 gr georgian weed. Package on magnet
1,08-06-2020 15:25:00,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,6,нет,Тбилиси,5 гр,0.0141,9540,3732,331,139,,,,,,,,,5 gr georgian weed. Package on magnet
2,08-06-2020 15:25:00,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0221,16472,6444,571,240,,,,,,,,,5g. marihuana shishki Critical
3,08-06-2020 15:25:00,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,5 гр,0.0131,8854,3464,307,129,True,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
4,08-06-2020 15:25:00,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0179,12011,4699,417,175,,,,,,,,,5x Extasy Duracell 223mg MDMA.
5,08-06-2020 15:25:00,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,True,3,нет,Тбилиси,10 гр,0.0262,17776,6954,617,259,,,,,,,,,10 gr georgian weed. Package on magnet
6,08-06-2020 15:25:00,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,9,нет,Тбилиси,10 гр,0.0242,16403,6417,569,239,True,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
7,08-06-2020 15:25:00,Tbilisi,HWUW,opiopi,GABAGAMA 10 shtuk,True,2,нет,Тбилиси,10 гр,0.0014,961,376,33,14,,,,,,,,,GABAGAMA 10 shtuk
8,08-06-2020 15:25:00,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.046,34316,13425,1191,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
9,08-06-2020 15:25:00,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,True,1,нет,Тбилиси,20 гр,0.0027,1990,779,69,29,,,,,,,,,GABAGAMA 20 SHTUK
10,08-06-2020 15:25:00,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2044,137264,53700,4762,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
11,08-06-2020 15:25:00,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.0215,14413,5639,500,210,,,,,,,,,✨✨2gram. MDMA✨✨
12,08-06-2020 15:25:00,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0592,39738,15546,1379,579,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
13,08-06-2020 15:25:00,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0405,27453,10740,952,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
14,08-06-2020 15:25:00,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0557,37748,14768,1310,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
15,08-06-2020 15:25:00,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,8,Тбилиси,5 гр,0.0238,16129,6310,560,235,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
16,08-06-2020 15:25:00,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0243,16472,6444,571,240,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
17,08-06-2020 15:25:00,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0233,15785,6176,548,230,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
18,08-06-2020 15:25:00,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0243,16472,6444,571,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
19,08-06-2020 15:25:00,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.0243,16472,6444,571,240,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
20,08-06-2020 15:25:00,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0233,15785,6176,548,230,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
21,08-06-2020 15:25:00,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0202,15030,5880,521,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
22,08-06-2020 15:25:00,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,True,нет,2,Тбилиси,5 гр,0.0256,17158,6713,595,250,,,,,,,,,MARIXYANA - INDICA - 5 G.
23,08-06-2020 15:25:00,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0238,16129,6310,560,235,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
24,08-06-2020 15:25:00,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2548,190000,87429,6592,,,,,,,,,,reagent 25i nbome. 5gr
25,08-06-2020 15:25:00,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2762,205896,80550,7143,3000,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
26,08-06-2020 15:25:00,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0981,65818,25749,2283,959,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
27,08-06-2020 15:25:01,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0194,13040,5102,452,190,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
28,08-06-2020 15:25:01,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,10,Тбилиси,5 гр,0.05,33561,13130,1164,489,,,,,,,,,💘✨5g. MDMA ✨💘
29,08-06-2020 15:25:01,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0911,61769,24165,2143,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
