,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Дигоми,Saburtalo,Vake,Old Tbilisi (Старый город),Vazisubani,Nadzaladevi,€,Авлобари,Батуми,Центр,desc_en
0,0,20-06-2020 15:45:22,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,2,нет,Тбилиси,0.5 гр,0.0034,2296,888,78,33.0,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
1,1,20-06-2020 15:45:22,Tbilisi,16a8841259,Ak47 0.5г,True,20,нет,Тбилиси,0.5 гр,0.0032,2157,834,74,31.0,,,,,,,,,,,,Ak47 0.5g
2,2,20-06-2020 15:45:22,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0165,11132,4304,380,160.0,True,,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
3,3,20-06-2020 15:45:22,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,19,нет,Тбилиси,0.5 гр,0.0031,2087,807,71,30.0,True,,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,4,20-06-2020 15:45:22,Tbilisi,8e86176694,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",True,12,нет,Тбилиси,0.5 гр,0.003,2087,807,71,30.0,,,,,,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
5,5,20-06-2020 15:45:22,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,2,нет,Тбилиси,0.5 гр,0.003,2018,780,69,29.0,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
6,6,20-06-2020 15:45:22,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,1 гр,0.0062,4174,1614,143,60.0,,True,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
7,7,20-06-2020 15:45:22,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,2,нет,Тбилиси,1 гр,0.0061,4105,1587,140,59.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
8,8,20-06-2020 15:45:22,Tbilisi,16a8841259,Ak - 47 1г,True,6,нет,Тбилиси,1 гр,0.0057,3826,1480,131,55.0,,,,,,,,,,,,Ak - 47 1g
9,9,20-06-2020 15:45:22,Tbilisi,ebadfc162f,Bubba Kush 1G Super strong indica dominant weed 100%шишки!,,5,нет,Тбилиси,1 гр,0.0051,3409,1318,116,49.0,,,True,True,,,,,,,,Bubba Kush 1G Super strong indica dominant weed 100%shishki!
10,10,20-06-2020 15:45:22,Tbilisi,ae784bef73,NEW ! White Shark ! BUDS ! 1G,,2,нет,Тбилиси,1 гр,0.0046,3131,1211,107,45.0,True,,,,True,,,,,,,NEW ! White Shark ! BUDS ! 1G
11,11,20-06-2020 15:45:22,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,1,нет,Тбилиси,1 гр,0.0052,3826,1480,131,55.0,,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
12,12,20-06-2020 15:45:22,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0249,16628,6429,568,239.0,True,,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
13,13,20-06-2020 15:45:22,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,2 гр,0.0123,8279,3201,283,119.0,,True,,,,,,,,,,2 G Hybrid Marijuana Buds
14,14,20-06-2020 15:45:22,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,1,нет,Тбилиси,2 гр,0.0124,8349,3228,285,120.0,,True,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
15,15,20-06-2020 15:45:22,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,6,нет,Тбилиси,2 гр,0.0091,6122,2367,209,88.0,,,,,,,,,,,,2gr HYBRID buds
16,16,20-06-2020 15:45:22,Tbilisi,ebadfc162f,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,,5,нет,Тбилиси,2 гр,0.0091,6122,2367,209,88.0,,True,,,,,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
