,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vazisubani,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,03-07-2020 17:33:27,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,6,нет,Тбилиси,0.5 гр,0.0035,2327,899,80,33.0,,,,,,,,,,,0.5 gr HYBRID buds
1,1,03-07-2020 17:33:27,Tbilisi,16a8841259,0.5г Ak - 47,True,15,нет,Тбилиси,0.5 гр,0.0034,2256,872,77,32.0,,,,,,,,,,,0.5g Ak - 47
2,2,03-07-2020 17:33:27,Tbilisi,16a8841259,0.5г Ayahuasca Purple 100% Indica,True,3,нет,Тбилиси,0.5 гр,0.0033,2186,845,75,31.0,,,,,,,,,,,0.5g Ayahuasca Purple 100% Indica
3,3,03-07-2020 17:33:27,Tbilisi,16a8841259,0.5г Jamaican,True,16,нет,Тбилиси,0.5 гр,0.0033,2186,845,75,31.0,,,,,,,,,,,0.5g Jamaican
4,4,03-07-2020 17:33:27,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",True,1,нет,Тбилиси,0.5 гр,0.0147,9870,3815,339,140.0,,,,,,,,,,,"Black Geroin, Sirec 0.5g"
5,5,03-07-2020 17:33:27,Tbilisi,2f51af8159,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G,,10,нет,Тбилиси,0.5 гр,0.0034,2256,872,77,32.0,True,,,,,,,,,,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G
6,6,03-07-2020 17:33:27,Tbilisi,52fe6d0af9,VHQ Hash From Morroco Iso 0.5G THC 23%+,True,11,нет,Тбилиси,0.5 гр,0.0058,3878,1499,133,55.0,,True,,,,,,,,,VHQ Hash From Morroco Iso 0.5G THC 23%+
7,7,03-07-2020 17:33:27,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,2,нет,Тбилиси,1 гр,0.0063,4230,1635,145,60.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,03-07-2020 17:33:27,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,1 гр,0.0063,4230,1635,145,60.0,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
9,9,03-07-2020 17:33:27,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,4,нет,Тбилиси,1 гр,0.0062,4160,1608,143,59.0,,,,,,,,,,,1 gr super lemon haze probnik
10,10,03-07-2020 17:33:27,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,7,нет,Тбилиси,1 гр,0.0062,4160,1608,143,59.0,,,True,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
11,11,03-07-2020 17:33:27,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,1 гр,0.0063,4230,1635,145,60.0,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
12,12,03-07-2020 17:33:27,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0062,4160,1608,143,59.0,True,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
13,13,03-07-2020 17:33:27,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),True,4,нет,Тбилиси,1 гр,0.0053,3525,1363,121,50.0,,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
