,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Vazisubani,Gldani,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,06-07-2020 04:06:14,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,4,нет,Тбилиси,0.25 гр,0.0115,7843,3029,270,99.0,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,06-07-2020 04:06:14,Tbilisi,4b4cde4fad,NEW Iranian Sirec 0.25g.,,4,нет,Тбилиси,0.25 гр,0.0106,7050,2735,242,,True,100.0,,,,,,,,,,NEW Iranian Sirec 0.25g.
2,2,06-07-2020 04:06:14,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 0.5гр",,1,нет,Тбилиси,0.5 гр,0.0029,2115,821,73,,True,30.0,,,,,,,,,,"Hindu Kush (photoperiod, regular) 0.5gr"
3,3,06-07-2020 04:06:14,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,,2,нет,Тбилиси,0.5 гр,0.0036,2397,930,82,,True,34.0,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
4,4,06-07-2020 04:06:14,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,5,нет,Тбилиси,0.5 гр,0.0029,1904,738,65,,True,27.0,True,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,5,06-07-2020 04:06:14,Tbilisi,52fe6d0af9,VHQ Hash From Morroco Iso 0.5G THC 23%+,,3,нет,Тбилиси,0.5 гр,0.0044,2961,1149,102,,True,42.0,,True,,,,,,,,VHQ Hash From Morroco Iso 0.5G THC 23%+
6,6,06-07-2020 04:06:14,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,1 гр,0.0063,4230,1641,145,,True,60.0,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
7,7,06-07-2020 04:06:14,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,1 гр,0.0062,4160,1614,143,,,59.0,,,True,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
8,8,06-07-2020 04:06:14,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),,2,нет,Тбилиси,1 гр,0.0053,3525,1368,121,,True,50.0,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
9,9,06-07-2020 04:06:14,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 1G A+++,,2,нет,Тбилиси,1 гр,0.0122,8107,3145,278,,True,115.0,,True,,,,,,,,VHQ MDMA Champagne Imported 1G A+++
10,10,06-07-2020 04:06:14,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,,1,нет,Тбилиси,1 гр,0.0053,3878,1504,133,,True,55.0,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
11,11,06-07-2020 04:06:14,Tbilisi,67187efef3,АКЦИЯ! 1g hindu kish best buds,,2,нет,Тбилиси,1 гр,0.0043,3173,1231,109,,True,45.0,,,True,,,,,,,AKTsIJa! 1g hindu kish best buds
12,12,06-07-2020 04:06:14,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,2,нет,Тбилиси,2 гр,0.0116,7755,3009,266,,True,110.0,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
13,13,06-07-2020 04:06:14,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,3,нет,Тбилиси,2 гр,0.0127,8460,3282,291,,True,120.0,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
14,14,06-07-2020 04:06:14,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,1,нет,Тбилиси,2 гр,0.0127,8460,3282,291,,True,120.0,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
15,15,06-07-2020 04:06:14,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,2 гр,0.0127,8460,3282,291,,True,120.0,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
16,16,06-07-2020 04:06:14,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,,1,нет,Тбилиси,2 гр,0.0127,8460,3282,291,,True,120.0,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
17,17,06-07-2020 04:06:14,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,2,нет,Тбилиси,2 гр,0.0127,8460,3282,291,,True,120.0,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
