,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,02-03-2020 21:30:53,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,1,нет,Тбилиси,0.5 гр,0.0119,7230,2718,244,109.0,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
1,1,02-03-2020 21:30:53,Tbilisi,436325081c,Mega Hash 0.5 gr,True,1,нет,Тбилиси,0.5 гр,0.0048,3250,1222,110,49.0,,,,,,,,,Mega Hash 0.5 gr
2,2,02-03-2020 21:30:53,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0108,6566,2469,222,99.0,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
3,3,02-03-2020 21:30:53,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,2,нет,Тбилиси,0.8 гр,0.0162,9949,3741,336,150.0,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
4,4,02-03-2020 21:30:53,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,18,нет,Тбилиси,1 гр,0.0049,3316,1247,112,50.0,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
5,5,02-03-2020 21:30:53,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,3,нет,Тбилиси,1 гр,0.0054,3316,1247,112,50.0,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,6,02-03-2020 21:30:53,Tbilisi,64284550d9,1G -- ФОТО РАБОТАЕТ -> Sativa,,20,нет,Тбилиси,1 гр,0.0037,2321,873,78,35.0,True,,,,,,,,1G -- FOTO RABOTAET -> Sativa
7,7,02-03-2020 21:30:53,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,1 гр,0.0216,13133,4938,443,198.0,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
8,8,02-03-2020 21:30:53,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,6,нет,Тбилиси,1 гр,0.0206,12536,4714,423,189.0,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
9,9,02-03-2020 21:30:53,Tbilisi,16be2c8499,реагент 25i nbome. 1гр.,True,1,нет,Тбилиси,1 гр,0.0592,40000,18406,1336,,,,,,,,,,reagent 25i nbome. 1gr.
10,10,02-03-2020 21:30:53,Tbilisi,dd631c4acf,☃️❄1g. New COCAINE!!❄☃️,True,3,нет,Тбилиси,1 гр,0.0196,11939,4489,403,180.0,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
11,11,02-03-2020 21:30:53,Tbilisi,7ee4f68218,2 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,2 гр,0.0195,12481,4711,419,,,170.0,,,,,,,2 gr mdma (skidka v bitkoin 5%)
12,12,02-03-2020 21:30:53,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,2 гр,0.0393,23878,8978,806,360.0,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
13,13,02-03-2020 21:30:53,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!,,2,нет,Тбилиси,2 гр,0.0342,21225,7981,717,320.0,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!
14,14,02-03-2020 21:30:53,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0287,18354,6928,617,,,250.0,,,,,,,3 gr mdma (skidka v bitkoin 5%)
15,15,02-03-2020 21:30:53,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0169,10281,3866,347,155.0,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
16,16,02-03-2020 21:30:53,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0459,29367,11084,987,,,400.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
17,17,02-03-2020 21:30:53,Tbilisi,366326d4d6,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0927,56378,21199,1903,850.0,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
18,18,02-03-2020 21:30:53,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,1,нет,Тбилиси,5 гр,0.0163,9949,3741,336,150.0,,,,,,,,,"LSD - 250 ug, 5 pieces"
19,19,02-03-2020 21:30:53,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,7,нет,Тбилиси,10 гр,0.0394,24210,9103,817,365.0,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
20,20,02-03-2020 21:30:53,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,1,нет,Тбилиси,10 гр,0.0327,19898,7482,672,300.0,,,,,,,,,"LSD - 250 ug, 10 pieces"
21,21,02-03-2020 21:30:53,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road",True,1,нет,Тбилиси,10 гр,0.0249,15919,5986,537,240.0,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road"
22,22,02-03-2020 21:30:53,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,10 гр,0.0097,6566,2469,222,99.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
23,23,02-03-2020 21:30:53,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0415,26531,9976,896,400.0,,,,,,,,,gashish evro 10g
24,24,02-03-2020 21:30:53,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",True,2,нет,Тбилиси,20 гр,0.0466,29847,11223,1008,450.0,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
25,25,02-03-2020 21:30:53,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0805,51536,19378,1740,777.0,,,,,,,,,Gashish Evro 20gr
26,26,02-03-2020 21:30:53,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,5,Тбилиси,0.27 гр,0.0294,17908,6734,605,270.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
27,27,02-03-2020 21:30:53,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,4,Тбилиси,0.35 гр,0.0327,19898,7482,672,300.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
28,28,02-03-2020 21:30:53,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,5,Тбилиси,1.1 гр,0.0654,39796,14964,1343,600.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
29,29,02-03-2020 21:30:53,Tbilisi,adf2d19b92,Subotex B8 Francce,True,нет,5,Тбилиси,1.4 гр,0.0275,18572,6983,627,280.0,,,,,,,,,Subotex B8 Francce
30,30,02-03-2020 21:30:53,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,4,Тбилиси,2 гр,0.018000000000000002,11077,4165,374,167.0,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
31,31,02-03-2020 21:30:53,Tbilisi,cb721d4bca,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,3,Тбилиси,2 гр,0.0177,12114,4572,407,,,165.0,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
32,32,02-03-2020 21:30:53,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,4,Тбилиси,3 гр,0.0644,39133,14715,1321,590.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
33,33,02-03-2020 21:30:53,Tbilisi,dd631c4acf,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,3,Тбилиси,3 гр,0.0186,12536,4714,423,189.0,,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
34,34,02-03-2020 21:30:53,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0432,26531,9976,896,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
35,35,02-03-2020 21:31:45,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0594,36480,13717,1232,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
36,36,02-03-2020 21:31:45,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0259,15919,5986,537,240.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
37,37,02-03-2020 21:31:45,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.027000000000000003,16582,6235,560,250.0,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
38,38,02-03-2020 21:31:45,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.027000000000000003,16582,6235,560,250.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
39,39,02-03-2020 21:31:45,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.027000000000000003,16582,6235,560,250.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,40,02-03-2020 21:31:45,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0215,13199,4963,446,199.0,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
41,41,02-03-2020 21:31:45,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.027000000000000003,16582,6235,560,250.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
42,42,02-03-2020 21:31:45,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0215,14526,5462,490,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
43,43,02-03-2020 21:31:45,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0327,19898,7482,672,300.0,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
44,44,02-03-2020 21:31:45,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.027000000000000003,16582,6235,560,250.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
45,45,02-03-2020 21:31:45,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,17,Тбилиси,5 гр,0.0196,13265,4988,448,200.0,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
46,46,02-03-2020 21:31:45,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2812,190000,87429,6347,,,,,,,,,,reagent 25i nbome. 5gr
47,47,02-03-2020 21:31:45,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2945,198982,74820,6717,3000.0,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
48,48,02-03-2020 21:31:45,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,4,Тбилиси,5 гр,0.0937,56975,21423,1923,859.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
49,49,02-03-2020 21:31:45,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0202,12271,4614,414,185.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
50,50,02-03-2020 21:31:45,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0533,32434,12196,1095,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
51,51,02-03-2020 21:31:45,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0359,21822,8205,737,329.0,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
52,52,02-03-2020 21:31:45,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0196,11939,4489,403,180.0,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
53,53,02-03-2020 21:31:45,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0972,59695,22446,2015,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
54,54,02-03-2020 21:31:45,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0756,46429,17458,1567,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
55,55,02-03-2020 21:31:45,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0431,26465,9951,893,399.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
56,56,02-03-2020 21:31:45,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0382,23215,8729,784,350.0,,,,,,,,,10x Extasy Duracell 223mg MDMA.
