,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
11,24-07-2020 20:55:51,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 1гр",,1,нет,Тбилиси,1 гр,0.0052,3938,1537,131,,,55,True,,,,,,,"Hindu Kush (photoperiod, regular) 1gr"
12,24-07-2020 20:55:51,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 1 г. TOP BUDS,,2,нет,Тбилиси,1 гр,0.0052,3938,1537,131,,True,55,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
13,24-07-2020 20:55:51,Tbilisi,7U9YP,ChitosPizz,Сирец Иран 1гр,,6,нет,Тбилиси,1 гр,0.0248,18615,7267,620,,True,260,,,,,,,,Sirets Iran 1gr
14,24-07-2020 20:55:51,Tbilisi,H9FHF,OldStar,Шишка добрая 1 g,,24,нет,Тбилиси,1 гр,0.0052,3600,1657,121,,True,,,,,,,,,Shishka dobraja 1 g
15,24-07-2020 20:55:51,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,3,нет,Тбилиси,2 гр,0.0104,7088,2767,236,,,99,True,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
16,24-07-2020 20:55:51,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,3,нет,Тбилиси,2 гр,0.0114,7804,3047,260,,,109,True,,,,,,,2 G Hybrid Marijuana Buds
17,24-07-2020 20:55:51,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0126,8592,3354,286,,True,120,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
18,24-07-2020 20:55:51,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,2 гр,0.0115,7876,3075,262,,True,110,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
19,24-07-2020 20:55:51,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,3,нет,Тбилиси,2 гр,0.0105,7160,2795,239,,True,100,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
20,24-07-2020 20:55:51,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,3,нет,Тбилиси,2 гр,0.0126,8592,3354,286,,True,120,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
