,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Old Tbilisi (Старый город),Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,03-04-2020 09:19:28,Tbilisi,V4T,COCAcoLA,SALE!!! METHADONE 0.25 THE BEST QUALITY VHQ SALE!!!,True,6,нет,Тбилиси,0.25 гр,0.0251,13992,5004,466,180,,,,,,,,,SALE!!! METHADONE 0.25 THE BEST QUALITY VHQ SALE!!!
1,03-04-2020 09:19:28,Tbilisi,V4T,COCAcoLA,HEROINE-999 0.5гр СКИДКИ КАРАНТИННЫе греча из авганистана! скидка при покупке BTC,True,4,нет,Тбилиси,0.5 гр,0.0418,23320,8340,777,300,,,,,,,,,HEROINE-999 0.5gr SKIDKI KARANTINNYe grecha iz avganistana! skidka pri pokupke BTC
2,03-04-2020 09:19:28,Tbilisi,V4T,COCAcoLA,METHADONE 0.5 SALE SALE SALE THE BEST QUALITY VHQ,True,1,нет,Тбилиси,0.5 гр,0.0487,27206,9730,906,350,,,,,,,,,METHADONE 0.5 SALE SALE SALE THE BEST QUALITY VHQ
3,03-04-2020 09:19:28,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,,3,нет,Тбилиси,0.5 гр,0.016,9328,3336,311,120,True,,,,,,,,Pure COCAINE VHQ 0.5g
4,03-04-2020 09:19:28,Tbilisi,AU2VI,growershop,Silver Haze | 90% sativa 10% indica | 0.5g,,1,нет,Тбилиси,0.5 гр,0.0038,2332,834,78,30,True,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
5,03-04-2020 09:19:28,Tbilisi,TI21,Campaari,"Метадон VHQ 0,5",,1,нет,Тбилиси,0.5 гр,0.0459,25652,9174,854,330,True,,,,,,,,"Metadon VHQ 0,5"
6,03-04-2020 09:19:28,Tbilisi,UJP9,420Inc,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%),,3,нет,Тбилиси,1 гр,0.006,3343,1195,111,43,True,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%)
7,03-04-2020 09:19:28,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,1 гр,0.0061,3420,1223,114,44,True,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
8,03-04-2020 09:19:28,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,19,нет,Тбилиси,1 гр,0.0076,4664,1668,155,60,True,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
9,03-04-2020 09:19:28,Tbilisi,H9FHF,OldStar,1 a-pvp white,,1,нет,Тбилиси,1 гр,0.0215,12000,5522,398,,True,,,,,,,,1 a-pvp white
10,03-04-2020 09:19:28,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.007,3887,1390,129,50,True,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
11,03-04-2020 09:19:28,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,,2,нет,Тбилиси,1 гр,0.0054,3032,1084,101,39,True,,,,,,,,1 gr Shishki “OG KUSH VHQ”
