,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Old Tbilisi (Старый город),€,Дигоми,Didube,Vake,Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
23,23,15-07-2020 15:59:00,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,8,нет,Тбилиси,2 гр,0.0125,8496,3276,290,120.0,True,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
24,24,15-07-2020 15:59:00,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,2,нет,Тбилиси,2 гр,0.0125,8496,3276,290,120.0,True,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
25,25,15-07-2020 15:59:00,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,3,нет,Тбилиси,2 гр,0.0115,7788,3003,266,110.0,True,,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
26,26,15-07-2020 15:59:00,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0125,8496,3276,290,120.0,True,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
27,27,15-07-2020 15:59:00,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,3,нет,Тбилиси,2 гр,0.0104,7080,2730,242,100.0,True,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
28,28,15-07-2020 15:59:00,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,1,нет,Тбилиси,2 гр,0.0104,7080,2730,242,100.0,True,,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
29,29,15-07-2020 15:59:00,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,7,нет,Тбилиси,2 гр,0.0104,7788,3003,266,110.0,,,,,True,True,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
30,30,15-07-2020 15:59:00,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,,3,нет,Тбилиси,2 гр,0.0125,8496,3276,290,120.0,True,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
31,31,15-07-2020 15:59:00,Tbilisi,e771f4c371,2.2G Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE,,1,нет,Тбилиси,2.2 гр,0.0112,7576,2921,259,107.0,,True,,,,,,,,,,,2.2G Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE
32,32,15-07-2020 15:59:00,Tbilisi,8528108b62,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0123,9204,3549,315,130.0,True,,,,,,,,,,,,3g. marihuana shishki Critical
