,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Old Tbilisi (Старый город),€,Дигоми,Didube,Vake,Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
92,92,15-07-2020 16:02:13,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.048,32255,12409,1095,,,,,399.0,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
93,93,15-07-2020 16:02:13,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1666,112990,51992,3843,,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
94,94,15-07-2020 16:02:13,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2638,178900,82321,6085,,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
95,95,15-07-2020 16:02:13,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7080,2730,242,100.0,,,,,,,,,,True,,,kur'er v Batumi
96,96,15-07-2020 16:02:13,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0237,17700,6825,605,250.0,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
97,97,15-07-2020 16:02:13,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0237,17700,6825,605,250.0,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
98,98,15-07-2020 16:02:13,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0209,14160,5460,484,200.0,,,,,,,,,,True,,,Kur'er Batumi na marihuanu
99,99,15-07-2020 16:02:13,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5803,1061997,409500,36291,15000.0,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
100,100,15-07-2020 16:02:13,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0522,35400,13650,1210,500.0,,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
101,101,15-07-2020 16:03:26,Kutaisi,b7446e2cca,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.4408,298775,115206,10210,4220.0,,,,,,,,,,,,True,CUSTOM Shishki 230g 3in1
