,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,02-03-2020 16:56:03,Tbilisi,ITJ,seazon,Mega Hash 0.5 gr,True,2,нет,Тбилиси,0.5 гр,0.0048,3250,1219,110,49,,,,,,,,,,Mega Hash 0.5 gr
1,02-03-2020 16:56:03,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,2,нет,Тбилиси,0.5 гр,0.0108,6566,2463,222,99,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
2,02-03-2020 16:56:03,Tbilisi,MJVS,Nordic,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,3,нет,Тбилиси,0.8 гр,0.0163,9949,3732,336,150,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
3,02-03-2020 16:56:03,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,4,нет,Тбилиси,1 гр,0.0054,3316,1244,112,50,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
4,02-03-2020 16:56:03,Tbilisi,ABOAB,ProGrow,1G -- ФОТО РАБОТАЕТ -> Sativa,,29,нет,Тбилиси,1 гр,0.0041,2587,970,87,39,True,,,,,,,,,1G -- FOTO RABOTAET -> Sativa
5,02-03-2020 16:56:03,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0207,12536,4702,423,189,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
6,02-03-2020 16:56:03,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 1гр.,True,1,нет,Тбилиси,1 гр,0.0594,40000,18406,1336,,,,,,,,,,,reagent 25i nbome. 1gr.
7,02-03-2020 16:56:03,Tbilisi,9VLN,AlienShop,☃️❄1g. New COCAINE!!❄☃️,True,2,нет,Тбилиси,1 гр,0.0197,11939,4478,403,180,,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
8,02-03-2020 16:56:03,Tbilisi,9VLN,AlienShop,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,True,1,нет,Тбилиси,1 гр,0.0076,4577,1717,155,69,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
9,02-03-2020 16:56:03,Tbilisi,0WE,Khachapuri,2 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,2 гр,0.0196,12481,4684,419,,,170,,,,,,,,2 gr mdma (skidka v bitkoin 5%)
10,02-03-2020 16:56:03,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!,,2,нет,Тбилиси,2 гр,0.0343,21225,7962,717,320,True,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!
11,02-03-2020 16:56:03,Tbilisi,TDSHF,THC,Hybrid Gagarin. 2g.,True,2,нет,Тбилиси,2 гр,0.0094,5969,2239,202,90,,,,,,,,,,Hybrid Gagarin. 2g.
12,02-03-2020 16:56:03,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,3,нет,Тбилиси,2 гр,0.0035,2321,871,78,35,,,True,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
13,02-03-2020 16:56:03,Tbilisi,9VLN,AlienShop,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃,True,2,нет,Тбилиси,2 гр,0.013,7893,2961,266,119,,,,,,,,,,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃
14,02-03-2020 16:56:03,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0288,18354,6888,617,,,250,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
15,02-03-2020 16:56:03,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0461,29367,11020,987,,,400,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
16,02-03-2020 16:56:03,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 5 pieces",True,1,нет,Тбилиси,5 гр,0.0164,9949,3732,336,150,,,,,,,,,,"LSD - 250 ug, 5 pieces"
17,02-03-2020 16:56:03,Tbilisi,TDSHF,THC,Weed from Gali 5g.,True,1,нет,Тбилиси,5 гр,0.025,15919,5971,537,240,,,,,,,,,,Weed from Gali 5g.
18,02-03-2020 16:56:03,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,7,нет,Тбилиси,10 гр,0.0396,24210,9081,817,365,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
19,02-03-2020 16:56:03,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 10 pieces",True,1,нет,Тбилиси,10 гр,0.0328,19898,7464,672,300,,,,,,,,,,"LSD - 250 ug, 10 pieces"
20,02-03-2020 16:56:03,Tbilisi,0V3X,arinaneb,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road",True,1,нет,Тбилиси,10 гр,0.025,15919,5971,537,240,,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road"
21,02-03-2020 16:56:03,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,10 гр,0.0098,6566,2463,222,99,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
22,02-03-2020 16:56:03,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0416,26531,9952,896,400,,,,,,,,,,gashish evro 10g
23,02-03-2020 16:56:03,Tbilisi,0V3X,arinaneb,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",True,2,нет,Тбилиси,20 гр,0.0468,29847,11196,1008,450,,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
24,02-03-2020 16:56:03,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0809,51536,19332,1740,777,,,,,,,,,,Gashish Evro 20gr
25,02-03-2020 16:56:03,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,5,Тбилиси,0.27 гр,0.0296,17908,6718,605,270,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
26,02-03-2020 16:56:03,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0329,19898,7464,672,300,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
27,02-03-2020 16:56:03,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,1,5,Тбилиси,1.1 гр,0.0657,39796,14928,1343,600,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
28,02-03-2020 16:56:03,Tbilisi,SF03,CRAZYFROG,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,5,Тбилиси,2 гр,0.0181,11077,4155,374,167,,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
29,02-03-2020 16:56:03,Tbilisi,SF03,CRAZYFROG,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,3,Тбилиси,2 гр,0.0178,12114,4546,407,,,165,,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
