,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,Gldani,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,25-05-2020 08:51:00,Tbilisi,4b4cde4fad,Iranian Sirec 0.25g.,True,2,нет,Тбилиси,0.25 гр,0.0111,7188,2705,240,100.0,,,,,,,,,,,,,,Iranian Sirec 0.25g.
1,1,25-05-2020 08:51:00,Tbilisi,8ddca45a78,">>new<< 0,5G HINDU KUSH (Indica)",True,6,нет,Тбилиси,0.5 гр,0.0033,2156,812,72,30.0,,,,,,,,,,,,,,">>new<< 0,5G HINDU KUSH (Indica)"
2,2,25-05-2020 08:51:00,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,1,нет,Тбилиси,0.5 гр,0.0032,2085,784,70,29.0,True,,,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,25-05-2020 08:51:00,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,6,нет,Тбилиси,0.5 гр,0.0032,2085,784,70,29.0,,True,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
4,4,25-05-2020 08:51:00,Tbilisi,8ddca45a78,"1g GORILLA GLUE #4 (Hybrid, more indica)",True,1,нет,Тбилиси,1 гр,0.0055,3594,1353,120,50.0,,,,,,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
5,5,25-05-2020 08:51:00,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",True,2,нет,Тбилиси,1 гр,0.0055,3594,1353,120,50.0,,,,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
6,6,25-05-2020 08:51:00,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0055,3594,1353,120,50.0,,,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
7,7,25-05-2020 08:51:00,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 1г.,,2,нет,Тбилиси,1 гр,0.0055,3594,1353,120,50.0,,,True,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
8,8,25-05-2020 08:51:00,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0906,64692,24345,2159,900.0,,,,,,,,,,,,,,Metadon 1gr
9,9,25-05-2020 08:51:00,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0097,6325,2380,211,88.0,,,,True,,,,,,,,,,2gr HYBRID buds
