,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,09-06-2020 05:33:48,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0145,9957,3922,346,129.0,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,09-06-2020 05:33:48,Tbilisi,8ddca45a78,"0,5g NORTHERN LIGHTS (Indica)",,7,нет,Тбилиси,0.5 гр,0.003,2049,806,71,,True,30.0,,,,,,,,"0,5g NORTHERN LIGHTS (Indica)"
2,2,09-06-2020 05:33:48,Tbilisi,2f51af8159,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G,True,15,нет,Тбилиси,0.5 гр,0.0032,2186,859,76,,,32.0,,,,,,,,NEW !!! SUPER HIGH QUALITY MANGO KUSH HYBRID BUDS THC 25%+ 0.5G
3,3,09-06-2020 05:33:48,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,11,нет,Тбилиси,0.5 гр,0.0032,2186,859,76,,,32.0,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,4,09-06-2020 05:33:48,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,,2,нет,Тбилиси,1 гр,0.0047,3142,1235,109,,True,46.0,,,,,,,,Amsterdam weed sativa 1gr
5,5,09-06-2020 05:33:48,Tbilisi,0cd3c52bb8,"Remo Chemo , сорт чемпион ! Накуривает по-царски.На магните.Вес всегда больше 1 грамма.",,3,нет,Тбилиси,1 гр,0.0051,3757,1477,131,,True,55.0,,,,,,,,"Remo Chemo , sort chempion ! Nakurivaet po-tsarski.Na magnite.Ves vsegda bol'she 1 gramma."
6,6,09-06-2020 05:33:48,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,1,нет,Тбилиси,2 гр,0.0476,32107,12620,1115,,True,470.0,,,,,,,,Cocaine Pure VHQ 2 g
7,7,09-06-2020 05:33:48,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,9,нет,Тбилиси,3 гр,0.0088,5943,2336,206,,True,87.0,,,,,,,,3 gr georgian weed. Package on magnet
8,8,09-06-2020 05:33:48,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,5,нет,Тбилиси,5 гр,0.0141,9495,3732,330,,True,139.0,,,,,,,,5 gr georgian weed. Package on magnet
9,9,09-06-2020 05:33:48,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0221,16395,6444,570,,True,240.0,,,,,,,,5g. marihuana shishki Critical
