,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Дигоми,Gldani,Old Tbilisi (Старый город),€,Авлобари,Центр,Батуми,Кутаиси,desc_en
24,17-04-2020 00:23:12,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0418,23908,8768,784,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
25,17-04-2020 00:23:12,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0404,22414,8220,735,300,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
26,17-04-2020 00:23:12,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),True,8,нет,Тбилиси,5 гр,0.0183,10011,3672,328,134,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
27,17-04-2020 00:23:12,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0241,13075,4795,429,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
28,17-04-2020 00:23:12,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0068,4109,1507,135,55,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
29,17-04-2020 00:23:12,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,9,нет,Тбилиси,10 гр,0.0285,15615,5727,512,209,,,,,,,,,,,10 gr marijuana buds. -indica-
30,17-04-2020 00:23:12,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0543,29810,10933,978,399,,,True,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
31,17-04-2020 00:23:12,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0105,6351,2329,208,85,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
32,17-04-2020 00:23:12,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0523,29885,10960,980,400,,,,,,,,,,,gashish evro 10g
33,17-04-2020 00:23:12,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1016,58051,21290,1904,777,,,,,,,,,,,Gashish Evro 20gr
34,17-04-2020 00:23:12,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2476,149424,54800,4901,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
35,17-04-2020 00:24:10,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2472,149424,54800,4901,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
36,17-04-2020 00:24:10,Tbilisi,U26MW,Skyhigh,"ЧИСТЫЙ ГЕРОИН 999 КАМНИ 0,1",,нет,2,Тбилиси,0.1 гр,0.0151,8293,3041,272,111,True,,,,,,,,,,"ChISTYJ GEROIN 999 KAMNI 0,1"
37,17-04-2020 00:24:10,Tbilisi,U26MW,Skyhigh,NEW MDMA 0.2 G PARASHOK,,нет,3,Тбилиси,0.2 гр,0.0045,2466,904,81,33,True,,,,,,,,,,NEW MDMA 0.2 G PARASHOK
38,17-04-2020 00:24:10,Tbilisi,U26MW,Skyhigh,"NEW NEW VHQ Cocaine Medelins Cartel 0,2g SALE SALE",True,нет,5,Тбилиси,0.2 гр,0.0052,2839,1041,93,38,,,,,,,,,,,"NEW NEW VHQ Cocaine Medelins Cartel 0,2g SALE SALE"
39,17-04-2020 00:24:10,Tbilisi,U26MW,Skyhigh,VHQ KETAMINE 0.25G,,нет,1,Тбилиси,0.25 гр,0.0078,4259,1562,140,57,True,,,,,,,,,,VHQ KETAMINE 0.25G
40,17-04-2020 00:24:10,Tbilisi,U26MW,Skyhigh,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,2,Тбилиси,1 гр,0.0057,3138,1151,103,42,True,,,,,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
41,17-04-2020 00:24:10,Tbilisi,U26MW,Skyhigh,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE,,нет,3,Тбилиси,1 гр,0.0053,2914,1069,96,39,True,,,,,,,,,,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE
42,17-04-2020 00:24:10,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0507,27569,10111,904,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
43,17-04-2020 00:24:10,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.081,44080,16166,1446,590,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
