,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,11-05-2020 13:48:26,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,13,нет,Тбилиси,0.5 гр,0.018000000000000002,11746,4310,388,159.0,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,11-05-2020 13:48:26,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,True,10,нет,Тбилиси,0.5 гр,0.003,1995,732,66,27.0,True,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
2,2,11-05-2020 13:48:26,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,3,нет,Тбилиси,1 гр,0.0062,4063,1491,134,55.0,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
3,3,11-05-2020 13:48:26,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0064,4211,1545,139,57.0,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,4,11-05-2020 13:48:26,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,True,3,нет,Тбилиси,1 гр,0.0062,4063,1491,134,55.0,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
5,5,11-05-2020 13:48:26,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,2,нет,Тбилиси,1 гр,0.0338,22088,8106,730,299.0,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
6,6,11-05-2020 13:48:26,Tbilisi,8ddca45a78,"1g GORILLA GLUE #4 (Hybrid, more indica)",True,2,нет,Тбилиси,1 гр,0.0054,3546,1301,117,48.0,,,,,,,,,"1g GORILLA GLUE #4 (Hybrid, more indica)"
7,7,11-05-2020 13:48:26,Tbilisi,917bf145e7,Lsd 25 buds 1 GR,True,1,нет,Тбилиси,1 гр,0.0053,3841,1410,127,52.0,,,,,,,,,Lsd 25 buds 1 GR
8,8,11-05-2020 13:48:26,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 1G,True,7,нет,Тбилиси,1 гр,0.0058,3841,1410,127,52.0,,True,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 1G
9,9,11-05-2020 13:48:26,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0917,66485,24399,2197,900.0,,,,,,,,,Metadon 1gr
10,10,11-05-2020 13:48:26,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,2 гр,0.0101,6575,2413,217,89.0,,,,,,,,,2 ECSTASY << PACO RABANNE >>
11,11,11-05-2020 13:48:26,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,True,1,нет,Тбилиси,2 гр,0.0112,7387,2711,244,100.0,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
12,12,11-05-2020 13:48:26,Tbilisi,4a91350669,2 шишки Girl Scout Cookies тгк thc 28%,True,1,нет,Тбилиси,2 гр,0.0112,7387,2711,244,100.0,,,,,,,,,2 shishki Girl Scout Cookies tgk thc 28%
13,13,11-05-2020 13:48:26,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,6,нет,Тбилиси,2 гр,0.0079,5171,1898,171,70.0,,,,,,,,,2x Extasy Duracell 223mg MDMA.
14,14,11-05-2020 13:48:26,Tbilisi,917bf145e7,LSD 25 buds 2 GR,True,1,нет,Тбилиси,2 гр,0.0091,6575,2413,217,89.0,,,,,,,,,LSD 25 buds 2 GR
15,15,11-05-2020 13:48:26,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0095,6279,2304,208,85.0,True,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
16,16,11-05-2020 13:48:26,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,3 гр,0.0135,8791,3226,291,119.0,,,,,,,,,3 ECSTASY << PACO RABANNE >>
17,17,11-05-2020 13:48:26,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,10,нет,Тбилиси,3 гр,0.0146,9603,3524,317,130.0,,,,,,,,,3 G Hybrid Marijuana Big Buds
18,18,11-05-2020 13:48:26,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.0344,23639,8675,781,320.0,,,,,,,,,"5 Grm MDMA , Purity A +++"
19,19,11-05-2020 13:48:26,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 5g (TOP)(VHQ),True,6,нет,Тбилиси,5 гр,0.019,12558,4609,415,170.0,,,,,,,,,THE BEST GAGARIN WEED 5g (TOP)(VHQ)
20,20,11-05-2020 13:48:26,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.043,29549,10844,977,400.0,,,,,,,,,gashish evro 10g
21,21,11-05-2020 13:48:26,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,2,нет,Тбилиси,20 гр,0.0425,27998,10275,925,379.0,,,True,,,,,,20 gr Indica marijuana buds (hight quality)
22,22,11-05-2020 13:48:26,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0835,57399,21064,1897,777.0,,,,,,,,,Gashish Evro 20gr
23,23,11-05-2020 13:48:26,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2037,147745,54220,4883,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
