,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Vazisubani,Zahesi,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
10,05-07-2020 14:19:20,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,5,нет,Тбилиси,1 гр,0.0064,4230,1641,145,60,,,,,True,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
11,05-07-2020 14:19:20,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 1гр",True,2,нет,Тбилиси,1 гр,0.0053,3878,1504,133,55,,,,,,True,,,,,,"Hindu Kush (photoperiod, regular) 1gr"
12,05-07-2020 14:19:20,Tbilisi,GYO,Hakeem,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,1,нет,Тбилиси,1 гр,0.0053,3878,1504,133,55,,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
13,05-07-2020 14:19:20,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0128,8460,3282,291,120,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
14,05-07-2020 14:19:20,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,,1,нет,Тбилиси,3 гр,0.0092,6134,2379,211,87,,True,,,,,,,,,,3 gr georgian weed. Package on magnet
15,05-07-2020 14:19:20,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,1,нет,Тбилиси,3 гр,0.0059,3878,1504,133,55,,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
16,05-07-2020 14:19:20,Tbilisi,7U9YP,ChitosPizz,Weed Сорт Purple 3гр,True,2,нет,Тбилиси,3 гр,0.0081,5922,2297,203,84,,,,,,,,,,,,Weed Sort Purple 3gr
17,05-07-2020 14:19:20,Tbilisi,5LZ,ExtraShop,5г. GEO Марихуана бошки,True,6,нет,Тбилиси,5 гр,0.0144,10504,4075,361,149,,,,,,,,,,,,5g. GEO Marihuana boshki
18,05-07-2020 14:19:20,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1434,95104,36895,3266,1349,,,,,,,,,,,,VHQ BEST Cocaine 5g.
19,05-07-2020 14:19:20,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,True,2,нет,Тбилиси,10 гр,0.0254,16849,6537,579,239,,,,,,,,,,,,10 gr georgian weed. Package on magnet
20,05-07-2020 14:19:20,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0464,31725,12308,1090,450,,,,,,,,,,,,Gashish Evro 10gr
21,05-07-2020 14:19:20,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,True,3,нет,Тбилиси,11 гр,0.0174,12690,4923,436,180,,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
22,05-07-2020 14:19:20,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0483,35250,13675,1211,500,,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
23,05-07-2020 14:19:20,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0069,4583,1778,157,65,,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
24,05-07-2020 14:19:20,Tbilisi,2LY77,SveetWeed,25 GGAMM NEW BEASTWEED,True,1,нет,Тбилиси,25 гр,0.0353,25732,9983,884,365,,,,,,,,,,,,25 GGAMM NEW BEASTWEED
25,05-07-2020 14:19:20,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2145,141000,54700,4843,2000,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
26,05-07-2020 14:19:20,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 2г.,,1,1,Тбилиси,2 гр,0.0106,7050,2735,242,100,True,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 2g.
27,05-07-2020 14:19:20,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,1,Тбилиси,2 гр,0.0536,35179,13648,1208,499,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
28,05-07-2020 14:19:20,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,5,Тбилиси,4 гр,0.0425,28200,10940,969,400,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
29,05-07-2020 14:19:20,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0266,17625,6838,605,250,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
30,05-07-2020 14:19:20,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0585,38775,15043,1332,550,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
31,05-07-2020 14:19:20,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0287,19035,7385,654,270,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
32,05-07-2020 14:19:20,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0298,19740,7658,678,280,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
33,05-07-2020 14:19:20,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0292,19387,7521,666,275,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
34,05-07-2020 14:21:13,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0255,16920,6564,581,240,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
35,05-07-2020 14:21:13,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0297,19740,7658,678,280,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
36,05-07-2020 14:21:13,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0287,19035,7385,654,270,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
37,05-07-2020 14:21:13,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0212,15439,5990,530,219,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
38,05-07-2020 14:21:13,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0287,19035,7385,654,270,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
