,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Didube,Vake,Авлобари,Gldani,Дигоми,Nadzaladevi,Батуми,Центр,Кутаиси,desc_en
101,101,07-05-2020 03:35:59,Tbilisi,54915c4374,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0208,14794,5410,491,200.0,,True,,,,,,,,,,Rabota na marki (kur'er)
102,102,07-05-2020 03:35:59,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5748,1109579,405750,36791,15000.0,,True,,,,,,,,,,Vakansija optovogo kur'era na mef
103,103,07-05-2020 03:37:08,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2289,162738,59510,5396,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
104,104,07-05-2020 03:37:08,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",,нет,7,Батуми,8 гр,0.0083,5918,2164,196,80.0,,,,,,,,,True,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
105,105,07-05-2020 03:37:08,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 100 грамм ♥,,нет,1,Батуми,100 гр,0.0477,33900,15599,1122,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 100 gramm ♥
106,106,07-05-2020 03:37:08,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1589,112990,51992,3740,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
107,107,07-05-2020 03:37:08,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2516,178900,82321,5921,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
108,108,07-05-2020 03:37:08,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7397,2705,245,100.0,,,,,,,,,True,,,kur'er v Batumi
109,109,07-05-2020 03:37:08,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0236,18493,6763,613,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
110,110,07-05-2020 03:37:08,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0236,18493,6763,613,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
111,111,07-05-2020 03:37:08,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5748,1109579,405750,36791,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
112,112,07-05-2020 03:37:08,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.052000000000000005,36986,13525,1226,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
113,113,07-05-2020 03:39:04,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0224,16274,5951,540,220.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
114,114,07-05-2020 03:39:04,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0541,38465,14066,1275,520.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
115,115,07-05-2020 03:39:04,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0398,28849,10550,957,390.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
116,116,07-05-2020 03:39:04,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0208,14794,5410,491,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
