,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Didube,Vake,Авлобари,Gldani,Дигоми,Nadzaladevi,Батуми,Центр,Кутаиси,desc_en
23,23,07-05-2020 03:34:23,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,4,нет,Тбилиси,2 гр,0.0074,5178,1894,172,70.0,,True,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
24,24,07-05-2020 03:34:23,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,13,нет,Тбилиси,2 гр,0.0093,6584,2407,218,89.0,,,True,,,,True,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
25,25,07-05-2020 03:34:23,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,1,нет,Тбилиси,2 гр,0.0495,35507,12984,1177,480.0,,True,,,,,,,,,,VHQ BEST Cocaine 2g.
26,26,07-05-2020 03:34:23,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,,3,нет,Тбилиси,3 гр,0.0125,8803,3219,292,119.0,,True,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
27,27,07-05-2020 03:34:23,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,,5,нет,Тбилиси,3 гр,0.0135,9616,3517,319,130.0,,True,,,,,,,,,,3 G Hybrid Marijuana Big Buds
28,28,07-05-2020 03:34:23,Tbilisi,7c395c455d,3 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,3 гр,0.0132,10282,3760,341,139.0,,True,,,,,,,,,,3 marijuana BUDS northen lights 24% THC ShIShKI!!!
29,29,07-05-2020 03:34:23,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,,1,нет,Тбилиси,3 гр,0.0125,8803,3219,292,119.0,,True,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
30,30,07-05-2020 03:34:23,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,3,нет,Тбилиси,3 гр,0.011000000000000001,7767,2840,258,105.0,,True,,,,,,,,,,3x Extasy Duracell 223mg MDMA
31,31,07-05-2020 03:34:23,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,,1,нет,Тбилиси,3 гр,0.0125,8803,3219,292,119.0,,,,True,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
32,32,07-05-2020 03:34:23,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.032,23671,8656,785,320.0,,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
33,33,07-05-2020 03:34:23,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0309,22192,8115,736,300.0,,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
34,34,07-05-2020 03:34:23,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,,1,нет,Тбилиси,5 гр,0.0061,4364,1596,145,59.0,,True,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
35,35,07-05-2020 03:35:09,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,5 гр,0.0124,8803,3219,292,119.0,True,,,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
36,36,07-05-2020 03:35:09,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,2,нет,Тбилиси,5 гр,0.0184,12945,4734,429,175.0,,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
37,37,07-05-2020 03:35:09,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 5g (TOP)(VHQ),,4,нет,Тбилиси,5 гр,0.0177,12575,4599,417,170.0,,True,,,,,,,,,,THE BEST GAGARIN WEED 5g (TOP)(VHQ)
38,38,07-05-2020 03:35:09,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,2,нет,Тбилиси,5 гр,0.1161,85068,31108,2821,1150.0,,True,,,,,,,,,,VHQ BEST Cocaine 5g.
39,39,07-05-2020 03:35:09,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,1,3,Тбилиси,5 гр,0.0199,13981,5112,464,189.0,True,True,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
40,40,07-05-2020 03:35:09,Tbilisi,3ea41fd329,"SUBOQSIN ""DNK"" 8ML",,1,нет,Тбилиси,8 гр,0.0104,7397,2705,245,100.0,True,,,,,,,,,,,"SUBOQSIN ""DNK"" 8ML"
41,41,07-05-2020 03:35:09,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,10 гр,0.0207,14720,5383,488,199.0,True,,,,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
42,42,07-05-2020 03:35:09,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0415,29515,10793,979,399.0,True,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
43,43,07-05-2020 03:35:09,Tbilisi,21e6be39fb,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,,1,нет,Тбилиси,10 гр,0.0344,24411,8927,809,330.0,,True,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
44,44,07-05-2020 03:35:09,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 10g (TOP)(VHQ),,5,нет,Тбилиси,10 гр,0.0344,24411,8927,809,330.0,,True,,,,,,,,,,THE BEST GAGARIN WEED 10g (TOP)(VHQ)
45,45,07-05-2020 03:35:09,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.04,29589,10820,981,400.0,,True,,,,,,,,,,gashish evro 10g
46,46,07-05-2020 03:35:09,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,4,нет,Тбилиси,20 гр,0.0395,28035,10252,930,379.0,,,,,,,True,True,,,,20 gr Indica marijuana buds (hight quality)
47,47,07-05-2020 03:35:09,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0776,57476,21018,1906,777.0,,True,,,,,,,,,,Gashish Evro 20gr
48,48,07-05-2020 03:35:09,Tbilisi,e56bb6ca93,50 гр Марихуана шишки. ИНДИКА,,2,нет,Тбилиси,50 гр,0.0884,62802,22965,2082,849.0,True,,,,,,,,,,,50 gr Marihuana shishki. INDIKA
49,49,07-05-2020 03:35:09,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1893,147944,54100,4905,2000.0,,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
50,50,07-05-2020 03:35:09,Tbilisi,e56bb6ca93,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,,1,нет,Тбилиси,100 гр,0.1717,121980,44605,4045,1649.0,True,,,,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
51,51,07-05-2020 03:35:09,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!!",,нет,3,Тбилиси,0.7 гр,0.0109,7767,2840,258,105.0,,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!!"
52,52,07-05-2020 03:35:09,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",,нет,6,Тбилиси,1 гр,0.0167,11836,4328,392,160.0,,True,,,,,,,,,,"""Kief"" Weed trichomes 1G"
53,53,07-05-2020 03:35:09,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",,нет,1,Тбилиси,1 гр,0.0141,9986,3652,331,135.0,,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
54,54,07-05-2020 03:35:09,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,3,Тбилиси,2 гр,0.0221,15534,5681,515,210.0,,True,,,,,,,,,,✨✨2gram. MDMA✨✨
55,55,07-05-2020 03:35:09,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,5,Тбилиси,2 гр,0.0388,27296,9981,905,369.0,,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
56,56,07-05-2020 03:35:09,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.0609,42830,15662,1420,579.0,,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
57,57,07-05-2020 03:35:09,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0416,29589,10820,981,400.0,,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
58,58,07-05-2020 03:35:09,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0573,40685,14878,1349,550.0,,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
59,59,07-05-2020 03:35:09,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,10,Тбилиси,5 гр,0.0245,17383,6357,576,235.0,,True,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
60,60,07-05-2020 03:35:09,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,7,Тбилиси,5 гр,0.025,17753,6492,589,240.0,,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
61,61,07-05-2020 03:35:09,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,5 гр,0.0239,17014,6222,564,230.0,,True,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
62,62,07-05-2020 03:35:09,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,3,Тбилиси,5 гр,0.025,17753,6492,589,240.0,,True,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
63,63,07-05-2020 03:35:09,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,5,Тбилиси,5 гр,0.025,17753,6492,589,240.0,,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
64,64,07-05-2020 03:35:09,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.025,17753,6492,589,240.0,,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
65,65,07-05-2020 03:35:09,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,нет,10,Тбилиси,5 гр,0.025,17753,6492,589,240.0,,True,,,,,,,,,,5gr Stardawg Auto WEED BUDS
66,66,07-05-2020 03:35:09,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0239,17014,6222,564,230.0,,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
67,67,07-05-2020 03:35:09,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0207,16200,5924,537,219.0,,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
68,68,07-05-2020 03:35:09,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0245,17383,6357,576,235.0,,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
69,69,07-05-2020 03:35:59,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,,нет,1,Тбилиси,5 гр,0.0166,11836,4328,392,160.0,,True,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
70,70,07-05-2020 03:35:59,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2429,190000,87429,6289,,,True,,,,,,,,,,reagent 25i nbome. 5gr
71,71,07-05-2020 03:35:59,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,True,нет,2,Тбилиси,5 гр,0.2837,221916,81150,7358,3000.0,,,,,True,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
72,72,07-05-2020 03:35:59,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,9,Тбилиси,5 гр,0.1008,70939,25941,2352,959.0,,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
73,73,07-05-2020 03:35:59,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.02,14055,5140,466,190.0,,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
74,74,07-05-2020 03:35:59,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0514,36172,13227,1199,489.0,,True,,,,,,,,,,💘✨5g. MDMA ✨💘
75,75,07-05-2020 03:35:59,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,3,Тбилиси,5 гр,0.0199,13981,5112,464,189.0,,True,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
76,76,07-05-2020 03:35:59,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",,нет,8,Тбилиси,8 гр,0.0083,5918,2164,196,80.0,,True,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
77,77,07-05-2020 03:35:59,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0936,66575,24345,2207,900.0,,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
78,78,07-05-2020 03:35:59,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0416,29589,10820,981,400.0,,True,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
79,79,07-05-2020 03:35:59,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0728,51780,18935,1717,700.0,,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
80,80,07-05-2020 03:35:59,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0333,23671,8656,785,320.0,,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
81,81,07-05-2020 03:35:59,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,,нет,40,Тбилиси,10 гр,0.0104,7397,2705,245,100.0,,True,,,,,,,,,,10G Hybrid Marijuana Leafs
82,82,07-05-2020 03:35:59,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.0832,59178,21640,1962,800.0,,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
83,83,07-05-2020 03:35:59,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,,нет,1,Тбилиси,10 гр,0.0302,21452,7845,711,290.0,,True,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
