,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Gldani,Saburtalo,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
0,0,29-07-2020 11:37:34,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,9,нет,Тбилиси,0.5 гр,0.003,2373,921,80,33.0,,,,,,,,,,,,0.5 gr HYBRID buds
1,1,29-07-2020 11:37:34,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,24,нет,Тбилиси,0.5 гр,0.0027,2158,837,72,30.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
2,2,29-07-2020 11:37:34,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,True,1,нет,Тбилиси,0.5 гр,0.0037,2949,1145,99,,35.0,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
3,3,29-07-2020 11:37:34,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,1 гр,0.0054,4315,1674,145,60.0,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
4,4,29-07-2020 11:37:34,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0053,4243,1646,142,59.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
5,5,29-07-2020 11:37:34,Tbilisi,4659482266,1 г.Super Skunk top class buds!,,3,нет,Тбилиси,1 гр,0.005,3956,1535,133,55.0,,True,,,,,,,,,,1 g.Super Skunk top class buds!
6,6,29-07-2020 11:37:34,Tbilisi,21de5577be,1.0 gr. Afghan kush (Indika),,4,нет,Тбилиси,1 гр,0.0048,3812,1479,128,53.0,,,True,,,,,,,,,1.0 gr. Afghan kush (Indika)
7,7,29-07-2020 11:37:34,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0054,4315,1674,145,60.0,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
8,8,29-07-2020 11:37:34,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,15,нет,Тбилиси,1 гр,0.0044,3524,1367,118,49.0,,,,,,,,,,,,1gr HYBRID o.g
9,9,29-07-2020 11:37:34,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,1 гр,0.0044,3524,1367,118,49.0,,,True,True,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
