,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Gldani,Old Tbilisi (Старый город),Vake,Авлобари,Varketili,Батуми,Центр,desc_en
50,50,07-07-2020 20:19:37,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,,нет,1,Тбилиси,11 гр,0.0476,31772,11934,1072,390.0,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
51,51,07-07-2020 20:19:37,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,,нет,1,Тбилиси,15 гр,0.0633,46912,17680,1582,,True,650.0,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
52,52,07-07-2020 20:19:37,Tbilisi,cb721d4bca,100 gr marijuana buds,,,нет,1,Тбилиси,100 гр,0.2571,173213,65280,5840,,True,2400.0,,,,,,,,,100 gr marijuana buds
53,53,07-07-2020 20:19:37,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,,1,1,Тбилиси,100 гр,0.2678,180430,68000,6083,,True,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
54,54,07-07-2020 20:19:37,Tbilisi,69672fee0d,180 gr марихуана персоално,,,нет,1,Тбилиси,180 гр,0.6319,425814,160480,14356,,True,5900.0,,,,,,,,,180 gr marihuana persoalno
55,55,07-07-2020 20:19:37,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,,нет,3,Тбилиси,10000 гр,0.9104,613461,231200,20682,,True,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
56,56,07-07-2020 20:19:37,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,,2,нет,Тбилиси,1 гр,0.0195,14434,5440,487,,True,200.0,,,,,,,,,KURYER..500RUB.+BONUS
57,57,07-07-2020 20:19:37,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,,1,нет,Тбилиси,1 гр,0.0268,18043,6800,608,,True,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
58,58,07-07-2020 20:19:37,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,,нет,1,Тбилиси,1 гр,0.0214,14434,5440,487,,True,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
59,59,07-07-2020 20:19:37,Tbilisi,54915c4374,Работа на марки (курьер),,,нет,3,Тбилиси,1 гр,0.0268,18043,6800,608,,True,250.0,,,,,,,,,Rabota na marki (kur'er)
60,60,07-07-2020 20:19:37,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Тбилиси,400 гр,1.6212,1082579,408000,36498,,True,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
61,61,07-07-2020 20:19:37,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,3,Тбилиси,1000 гр,0.0536,36086,13600,1217,,,500.0,,,True,True,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
