,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Varketili,Didube,Nadzaladevi,Saburtalo,Old Tbilisi (Старый город),Авлобари,Дигоми,Gldani,Vazisubani,Tbilisis Zgva,€,Zahesi,Батуми,Центр,Кутаиси,desc_en
22,22,24-04-2020 19:34:58,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 4 штуки!",True,нет,37,Тбилиси,4 гр,0.0074,4253,1564,141,,True,True,True,True,True,True,True,True,True,True,True,53.0,,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
23,23,24-04-2020 19:34:58,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0522,29887,10940,987,400.0,True,,,,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
24,24,24-04-2020 19:34:58,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0718,41094,15043,1358,550.0,True,,,,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
25,25,24-04-2020 19:34:58,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0222,12702,4650,420,170.0,True,,,,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
26,26,24-04-2020 19:34:58,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.026000000000000002,14869,5443,491,199.0,True,,,,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
27,27,24-04-2020 19:34:58,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.026000000000000002,14869,5443,491,199.0,True,,,,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
28,28,24-04-2020 19:34:58,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.026000000000000002,16363,5990,541,219.0,True,,,,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
29,29,24-04-2020 19:34:58,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.026000000000000002,14869,5443,491,199.0,True,,,,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
30,30,24-04-2020 19:34:58,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3018,190000,87429,6241,,True,,,,,,,,,,,,,,,,reagent 25i nbome. 5gr
31,31,24-04-2020 19:34:58,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3561,224149,82050,7406,3000.0,,,,,,True,True,,,,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
