,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
23,23,10-08-2020 04:29:04,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,4,нет,Тбилиси,1 гр,0.0042,3608,1365,120,49.0,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
24,24,10-08-2020 04:29:04,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,13,нет,Тбилиси,1 гр,0.0034,3000,1380,100,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
25,25,10-08-2020 04:29:04,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE,,5,нет,Тбилиси,1 гр,0.0049,4197,1588,140,57.0,True,,,,,,,,,,,CLOWNBARON ShIShKI* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE
26,26,10-08-2020 04:29:04,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3976,1504,132,54.0,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
27,27,10-08-2020 04:29:04,Tbilisi,ae784bef73,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,4,нет,Тбилиси,1 гр,0.005,4271,1616,142,58.0,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
28,28,10-08-2020 04:29:04,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0047,4050,1532,135,55.0,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
29,29,10-08-2020 04:29:04,Tbilisi,7918572a66,TYson Budds 1G Скидка 5%,True,13,нет,Тбилиси,1 гр,0.0036,3240,1226,108,44.0,,,,,,,,,,,,TYson Budds 1G Skidka 5%
30,30,10-08-2020 04:29:04,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0043,3682,1393,122,50.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
31,31,10-08-2020 04:29:04,Tbilisi,fccfd69694,Бошки OG Kush 1g.,True,1,нет,Тбилиси,1 гр,0.0039,3314,1254,110,45.0,,,,,,,,,,,,Boshki OG Kush 1g.
32,32,10-08-2020 04:29:04,Tbilisi,22610cd7c4,🎇SUPER SKITKA🎇Amsterdam weed sativa 1гр,True,13,нет,Тбилиси,1 гр,0.0031,2651,1003,88,36.0,,,,,,,,,,,,🎇SUPER SKITKA🎇Amsterdam weed sativa 1gr
33,33,10-08-2020 04:29:04,Tbilisi,67187efef3,1.2гр перемолотые шишки btc 5% sale,True,1,нет,Тбилиси,1.2 гр,0.0029,2577,975,86,35.0,,,,,,,,,,,,1.2gr peremolotye shishki btc 5% sale
34,34,10-08-2020 04:29:04,Tbilisi,366326d4d6,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,7,нет,Тбилиси,2 гр,0.0085,7290,2758,242,99.0,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
35,35,10-08-2020 04:29:04,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0102,8837,3343,294,120.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
36,36,10-08-2020 04:30:16,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,2 гр,0.0085,7364,2786,245,100.0,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
37,37,10-08-2020 04:30:16,Tbilisi,64284550d9,2G ---> Big Devil (BTC - Sale),True,3,нет,Тбилиси,2 гр,0.0085,7290,2758,242,99.0,,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
38,38,10-08-2020 04:30:16,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,5,нет,Тбилиси,2 гр,0.0075,6480,2452,215,88.0,,,,,,,,,,,,2gr HYBRID buds
