,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,€,Центр,Батуми,desc_en
0,0,06-08-2020 20:30:45,Tbilisi,8ddca45a78,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0024,2118,808,71,29.0,,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
1,1,06-08-2020 20:30:45,Tbilisi,8ddca45a78,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,3,нет,Тбилиси,0.5 гр,0.0024,2118,808,71,29.0,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
2,2,06-08-2020 20:30:45,Tbilisi,16a8841259,0.5 Gram Skunk HQ,True,3,нет,Тбилиси,0.5 гр,0.0026,2264,864,76,31.0,,,,,,,,,,,,0.5 Gram Skunk HQ
3,3,06-08-2020 20:30:45,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,7,нет,Тбилиси,0.5 гр,0.0028,2410,919,80,33.0,,,,,,,,,,,,0.5 gr HYBRID buds
4,4,06-08-2020 20:30:45,Tbilisi,21de5577be,0.5 gr. Afghan kush 100% Natural (Indika),,8,нет,Тбилиси,0.5 гр,0.0027,2337,892,78,32.0,True,,,,,,,,,,,0.5 gr. Afghan kush 100% Natural (Indika)
5,5,06-08-2020 20:30:45,Tbilisi,21de5577be,0.5 gr. Magic Kush IMPORT (INDICA),,8,нет,Тбилиси,0.5 гр,0.0027,2337,892,78,32.0,True,,,,,,,,,,,0.5 gr. Magic Kush IMPORT (INDICA)
6,6,06-08-2020 20:30:45,Tbilisi,4659482266,0.5 г.Super Skunk top class buds! (подезд),,2,нет,Тбилиси,0.5 гр,0.0026,2264,864,76,31.0,,True,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
7,7,06-08-2020 20:30:45,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),,18,нет,Тбилиси,0.5 гр,0.0021,1826,697,61,25.0,True,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
8,8,06-08-2020 20:30:45,Tbilisi,e56bb6ca93,0.5gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,1,нет,Тбилиси,0.5 гр,0.0028,2483,947,83,34.0,,,,,,,,,,,,0.5gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
9,9,06-08-2020 20:30:45,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ* VHQ*♤THC 28%♤0.5G SPECIAL PRICE,,4,нет,Тбилиси,0.5 гр,0.0024,2118,808,71,29.0,True,,,,,,,,,,,CLOWNBARON ShIShKI* VHQ*♤THC 28%♤0.5G SPECIAL PRICE
10,10,06-08-2020 20:30:45,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0028,2483,947,83,34.0,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
11,11,06-08-2020 20:30:45,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0025,2191,836,73,30.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
12,12,06-08-2020 20:30:45,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,3,нет,Тбилиси,1 гр,0.005,4382,1672,146,60.0,,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
13,13,06-08-2020 20:30:45,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,1 гр,0.0049,4309,1644,144,59.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds
14,14,06-08-2020 20:30:45,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.005,4382,1672,146,60.0,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
15,15,06-08-2020 20:30:45,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,9,нет,Тбилиси,1 гр,0.005,4382,1672,146,60.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
16,16,06-08-2020 20:30:45,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,2,нет,Тбилиси,1 гр,0.0046,4017,1532,134,55.0,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
17,17,06-08-2020 20:30:45,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,1,нет,Тбилиси,1 гр,0.0049,4309,1644,144,59.0,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
18,18,06-08-2020 20:30:45,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0049,4309,1644,144,59.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
