,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Nadzaladevi,Varketili,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
0,0,08-06-2020 11:10:00,Tbilisi,0cd3c52bb8,"Remo Chemo , сорт чемпион ! Накуривает по-царски.На магните.Вес всегда больше 1 грамма.",True,7,нет,Тбилиси,1 гр,0.0051,3775,1477,131,55.0,,,,,,,,,,,"Remo Chemo , sort chempion ! Nakurivaet po-tsarski.Na magnite.Ves vsegda bol'she 1 gramma."
1,1,08-06-2020 11:10:00,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,2 гр,0.0091,6108,2390,212,89.0,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
2,2,08-06-2020 11:10:00,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,2,нет,Тбилиси,5 гр,0.0141,9540,3732,331,139.0,,,,,,,,,,,5 gr georgian weed. Package on magnet
3,3,08-06-2020 11:10:00,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0221,16472,6444,571,240.0,,,,,,,,,,,5g. marihuana shishki Critical
4,4,08-06-2020 11:10:00,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,5,нет,Тбилиси,5 гр,0.0131,8854,3464,307,129.0,True,,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
5,5,08-06-2020 11:10:00,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0179,12011,4699,417,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
6,6,08-06-2020 11:10:00,Tbilisi,83f3d55917,Химка !! 5 г %%5%% скидка новинка !!!!,,1,нет,Тбилиси,5 гр,0.0058,4118,1611,143,60.0,,True,,,,,,,,,Himka !! 5 g %%5%% skidka novinka !!!!
7,7,08-06-2020 11:10:00,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,3,нет,Тбилиси,10 гр,0.0262,17776,6954,617,259.0,,,,,,,,,,,10 gr georgian weed. Package on magnet
8,8,08-06-2020 11:10:00,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,10,нет,Тбилиси,10 гр,0.0242,16403,6417,569,239.0,True,,True,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
9,9,08-06-2020 11:10:00,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,,1,нет,Тбилиси,10 гр,0.0101,6863,2685,238,100.0,,,,True,,,,,,,10 gr marihuana list'ja top gibrid
