,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
22,02-06-2020 18:32:29,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1797,137966,53800,4802,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
23,02-06-2020 18:32:29,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,True,нет,10,Тбилиси,0.25 гр,0.004,2759,1076,96,40,,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
24,02-06-2020 18:32:29,Tbilisi,6KB,Marioshop,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг) BTC sale!💉⭕⚜,True,нет,5,Тбилиси,0.3 гр,0.0073,5174,2018,180,75,,,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg) BTC sale!💉⭕⚜
25,02-06-2020 18:32:29,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 0.33 гр,True,нет,46,Тбилиси,0.33 гр,0.0148,10347,4035,360,150,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
26,02-06-2020 18:32:29,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 1 гр,True,нет,20,Тбилиси,1 гр,0.0356,24834,9684,864,360,,,,,,,,,,Gerojn (sirets) 1 gr
27,02-06-2020 18:32:29,Tbilisi,EIH4,San4oPan4o,!! Гашиш !! Hash 2g !!! BTC SALE 5%!!!!,True,нет,1,Тбилиси,2 гр,0.0165,11727,4573,408,170,,,,,,,,,,!! Gashish !! Hash 2g !!! BTC SALE 5%!!!!
28,02-06-2020 18:32:29,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.021,14486,5649,504,210,,,,,,,,,,✨✨2gram. MDMA✨✨
29,02-06-2020 18:32:29,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,6,Тбилиси,2 гр,0.0368,25455,9926,886,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
30,02-06-2020 18:32:29,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0578,39941,15575,1390,579,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
31,02-06-2020 18:32:29,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0395,27593,10760,960,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
32,02-06-2020 18:32:29,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,3,2,Тбилиси,4 гр,0.0138,9658,3766,336,140,,,,True,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
33,02-06-2020 18:32:29,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0692,48288,18830,1681,700,,,,,,,,,,"""Kief"" Weed trichomes 5G"
34,02-06-2020 18:33:37,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0542,37941,14795,1320,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
