,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Saburtalo,$,Gldani,Didube,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,17-06-2020 17:02:08,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,5,нет,Тбилиси,0.25 гр,0.0123,8544,3308,293,109,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,17-06-2020 17:02:08,Tbilisi,LBSO,4RAW4,Heroin “sirec” 0.25g 4 person,,9,нет,Тбилиси,0.25 гр,0.0117,8338,3228,285,,True,True,120,,,,,,,,,Heroin “sirec” 0.25g 4 person
2,17-06-2020 17:02:08,Tbilisi,9Y6T,WeedShop,Ak - 47 0.5г,,3,нет,Тбилиси,0.5 гр,0.0032,2154,834,74,,True,,31,,,,,,,,,Ak - 47 0.5g
3,17-06-2020 17:02:08,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,19,нет,Тбилиси,0.5 гр,0.0031,2084,807,71,,,,30,True,True,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,17-06-2020 17:02:08,Tbilisi,9VLN,AlienShop,☃️ 0.5g New Columbian COCAINE ☃️,,5,нет,Тбилиси,0.5 гр,0.0134,9033,3497,309,,,True,130,True,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
5,17-06-2020 17:02:08,Tbilisi,03F3,geoshop,1 g indica шишки марихуана топ,,1,нет,Тбилиси,1 гр,0.0041,2779,1076,95,,,True,40,,,,,,,,,1 g indica shishki marihuana top
6,17-06-2020 17:02:08,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 1 Gr,,2,нет,Тбилиси,1 гр,0.0056,3822,1480,131,,True,,55,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 1 Gr
7,17-06-2020 17:02:08,Tbilisi,9VLN,AlienShop,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0246,16606,6429,568,,,True,239,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
8,17-06-2020 17:02:08,Tbilisi,9Y6T,WeedShop,AK47 1.5г,,1,нет,Тбилиси,1.5 гр,0.0076,5211,2018,178,,True,,75,,,,,,,,,AK47 1.5g
9,17-06-2020 17:02:08,Tbilisi,03F3,geoshop,2 g indica шишки марихуана топ,,3,нет,Тбилиси,2 гр,0.0071,4864,1883,166,,,True,70,,,,,,,,,2 g indica shishki marihuana top
10,17-06-2020 17:02:08,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0087,5906,2287,202,,,,85,,,True,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
11,17-06-2020 17:02:08,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,,6,нет,Тбилиси,3 гр,0.0089,6045,2340,207,,True,,87,,,,,,,,,3 gr georgian weed. Package on magnet
12,17-06-2020 17:02:08,Tbilisi,9VLN,AlienShop,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,3,нет,Тбилиси,3 гр,0.0118,7990,3094,273,,,True,115,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
13,17-06-2020 17:02:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,,7,нет,Тбилиси,4 гр,0.0109,7435,2878,254,,True,,107,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
14,17-06-2020 17:02:08,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,4 гр,0.0143,9728,3766,333,,,,140,,,True,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
15,17-06-2020 17:02:08,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,4,нет,Тбилиси,5 гр,0.0131,8963,3470,307,,True,,129,,,,,,,,,5 gr georgian weed. Package on magnet
