,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
26,26,28-05-2020 02:32:40,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1935,142127,54360,4818,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
27,27,28-05-2020 02:32:40,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0179,13147,5028,446,185.0,,,,,,,,,,GABAGAMA 150 shtuk
28,28,28-05-2020 02:32:40,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.0226,14923,5708,506,210.0,,,,,,,,,,✨✨2gram. MDMA✨✨
29,29,28-05-2020 02:32:40,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0397,26222,10029,889,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
30,30,28-05-2020 02:32:40,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0622,41146,15737,1395,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
31,31,28-05-2020 02:32:40,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0426,28425,10872,964,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
32,32,28-05-2020 02:32:40,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0149,9949,3805,337,140.0,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
33,33,28-05-2020 02:33:08,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0744,49744,19026,1686,700.0,,,,,,,,,,"""Kief"" Weed trichomes 5G"
34,34,28-05-2020 02:33:08,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0585,39085,14949,1325,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
35,35,28-05-2020 02:33:08,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.025,16700,6387,566,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
