,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,01-04-2020 19:13:26,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,1,нет,Тбилиси,0.2 гр,0.0046,2721,982,91,35.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,1,01-04-2020 19:13:26,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",,1,нет,Тбилиси,0.25 гр,0.0248,13215,4769,440,170.0,True,,,,,,,,,"Metadon VHQ 0,25"
2,2,01-04-2020 19:13:26,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,18,нет,Тбилиси,1 гр,0.008,4664,1683,155,60.0,,True,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
3,3,01-04-2020 19:13:26,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0073,3887,1403,129,50.0,,True,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
4,4,01-04-2020 19:13:26,Tbilisi,e56bb6ca93,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,True,3,нет,Тбилиси,1 гр,0.006,3187,1150,106,41.0,,,,,,,,,,1 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
5,5,01-04-2020 19:13:26,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,11,нет,Тбилиси,1 гр,0.0055,2954,1066,98,38.0,,True,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
6,6,01-04-2020 19:13:26,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,1,нет,Тбилиси,1 гр,0.0054,3187,1150,106,41.0,,True,,,,,,,,Hybrid Ana-sha 1G.
7,7,01-04-2020 19:13:26,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,7,нет,Тбилиси,1 гр,0.0219,11660,4208,388,150.0,True,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
8,8,01-04-2020 19:13:26,Tbilisi,d04eeb6525,Кокаин HQ 1г.,,1,нет,Тбилиси,1 гр,0.0273,14691,5301,489,189.0,,True,,,,,,,,Kokain HQ 1g.
9,9,01-04-2020 19:13:26,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,True,1,нет,Тбилиси,1 гр,0.0261,13914,5021,463,179.0,,,,,,,,,,Kokain KOLUMBIA 1g
10,10,01-04-2020 19:13:26,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1194,69959,25245,2327,900.0,,True,,,,,,,,Metadon 1gr
11,11,01-04-2020 19:13:26,Tbilisi,83f3d55917,♥ VHQ ♥ 1G TANGERINE DREAM (THC 20 % Import) SALE 10 %,,5,нет,Тбилиси,1 гр,0.0058,3420,1234,114,44.0,,True,,,,,,,,♥ VHQ ♥ 1G TANGERINE DREAM (THC 20 % Import) SALE 10 %
12,12,01-04-2020 19:13:26,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,2 гр,0.0103,5441,1964,181,70.0,,True,,,,,,,,2x Extasy Duracell 223mg MDMA.
13,13,01-04-2020 19:13:26,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,,21,нет,Тбилиси,2 гр,0.0046,2721,982,91,35.0,True,True,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
14,14,01-04-2020 19:13:26,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,,5,нет,Тбилиси,2 гр,0.0046,2721,982,91,35.0,True,True,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
15,15,01-04-2020 19:13:26,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,3,нет,Тбилиси,3 гр,0.0161,8473,3057,282,109.0,,True,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
16,16,01-04-2020 19:13:26,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0448,24874,8976,827,320.0,,True,,,,,,,,"5 Grm MDMA , Purity A +++"
17,17,01-04-2020 19:13:26,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0434,23320,8415,776,300.0,,True,,,,,,,,5 Grm Mdma Pure Quality A +++
18,18,01-04-2020 19:13:26,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,2,нет,Тбилиси,5 гр,0.0241,12826,4628,427,165.0,,True,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
19,19,01-04-2020 19:13:26,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0355,19720,7061,654,,,True,230.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
20,20,01-04-2020 19:13:26,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,5,нет,Тбилиси,5 гр,0.0247,13137,4740,437,169.0,,True,,,,,,,,5gr Stardawg Auto WEED BUDS
21,21,01-04-2020 19:13:26,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,5 гр,0.0258,13603,4909,452,175.0,,True,,,,,,,,5x Extasy Duracell 223mg MDMA.
22,22,01-04-2020 19:13:26,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.0073,4275,1543,142,55.0,,True,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
23,23,01-04-2020 19:13:26,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,2,нет,Тбилиси,6 гр,0.0106,6219,2244,207,80.0,True,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
