,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,09-03-2020 19:39:58,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,12,нет,Тбилиси,0.25 гр,0.0219,14179,5414,470,210.0,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,09-03-2020 19:39:58,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,True,1,нет,Тбилиси,0.35 гр,0.037000000000000005,21606,8250,717,320.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
2,2,09-03-2020 19:39:58,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,2,нет,Тбилиси,0.5 гр,0.0114,6684,2552,222,99.0,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
3,3,09-03-2020 19:39:58,Tbilisi,64284550d9,1G -- ФОТО РАБОТАЕТ -> Sativa,,13,нет,Тбилиси,1 гр,0.0042,2498,954,83,37.0,True,,,,,,,,1G -- FOTO RABOTAET -> Sativa
4,4,09-03-2020 19:39:58,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,11,нет,Тбилиси,1 гр,0.0172,10128,3867,336,150.0,,,,,,,,,Apvp VHQ 1g 24/7
5,5,09-03-2020 19:39:58,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0208,12761,4872,423,189.0,,,,,,,,,Cocaine Pure VHQ 1g
6,6,09-03-2020 19:39:58,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,8,нет,Тбилиси,1 гр,0.0146,9452,3609,314,140.0,,,,,,,,,NZT-52 mind storm limited 1g muka
7,7,09-03-2020 19:39:58,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0219,13436,5130,446,199.0,,,,,,,,,VHQ BEST Cocaine 1g.
8,8,09-03-2020 19:39:58,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0205,12086,4615,401,179.0,,True,,,,,,,Kokain KOLUMBIA 1g
9,9,09-03-2020 19:39:58,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0937,60766,23202,2016,900.0,,,,,,,,,Metadon 1gr
10,10,09-03-2020 19:39:58,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0406,26332,10054,873,390.0,,,,,,,,,VHQ BEST Cocaine 2g.
11,11,09-03-2020 19:39:58,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,10,нет,Тбилиси,2 гр,0.0036,2363,902,78,35.0,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
12,12,09-03-2020 19:39:58,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,3,нет,Тбилиси,2 гр,0.0416,25589,9771,849,379.0,,,,,,,,,Kokain HQ 2g.
13,13,09-03-2020 19:39:58,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0114,6684,2552,222,99.0,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
14,14,09-03-2020 19:39:58,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0333,21606,8250,717,320.0,,,,,,,,,"5 Grm MDMA , Purity A +++"
15,15,09-03-2020 19:39:58,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0463,28441,11063,944,,,,375.0,,,,,,5 gr mdma (skidka v bitkoin 5%)
16,16,09-03-2020 19:39:58,Tbilisi,e56bb6ca93,5gr georgian indica (hight quality),,6,нет,Тбилиси,5 гр,0.0145,9385,3583,311,139.0,,True,,,,,,,5gr georgian indica (hight quality)
17,17,09-03-2020 19:39:58,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,5 гр,0.0202,11816,4512,392,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
18,18,09-03-2020 19:39:58,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,8,нет,Тбилиси,5 гр,0.017,10128,3867,336,150.0,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
19,19,09-03-2020 19:39:58,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.0894,57998,22145,1924,859.0,,,,,,,,,VHQ BEST Cocaine 5g.
20,20,09-03-2020 19:39:58,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,3,нет,Тбилиси,10 гр,0.0418,24644,9410,817,365.0,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
21,21,09-03-2020 19:39:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,3,нет,Тбилиси,10 гр,0.0306,18027,6883,598,267.0,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
22,22,09-03-2020 19:39:58,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0439,27007,10312,896,400.0,,,,,,,,,gashish evro 10g
23,23,09-03-2020 19:39:58,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0854,52461,20031,1740,777.0,,,,,,,,,Gashish Evro 20gr
24,24,09-03-2020 19:39:58,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,7,5,Тбилиси,0.27 гр,0.0312,18230,6961,605,270.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
25,25,09-03-2020 19:39:58,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,5,Тбилиси,1.1 гр,0.0752,43886,16757,1456,650.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
26,26,09-03-2020 19:39:58,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0682,39835,15210,1321,590.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
27,27,09-03-2020 19:39:58,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0458,27007,10312,896,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
28,28,09-03-2020 19:39:58,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.063,37135,14179,1232,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
29,29,09-03-2020 19:39:58,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0179,10533,4022,349,156.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
