,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
20,20,26-03-2020 10:55:57,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,2,нет,Тбилиси,3 гр,0.0146,8168,2966,271,105.0,True,,,,,,,,,3x Extasy Duracell 223mg MDMA
21,21,26-03-2020 10:55:57,Tbilisi,4be7861731,metadon sirop 4ml,True,1,нет,Тбилиси,4 гр,0.0092,5212,1893,173,67.0,,,,,,,,,,metadon sirop 4ml
22,22,26-03-2020 10:55:57,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0386,22720,8262,753,,True,270.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
23,23,26-03-2020 10:55:57,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),,1,нет,Тбилиси,5 гр,0.0529,31117,11300,1032,400.0,True,,,,,,,,,5g MDMA (IMPORTED)
24,24,26-03-2020 10:55:57,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,8,нет,Тбилиси,5 гр,0.0243,13614,4944,451,175.0,True,,,,,,,,,5x Extasy Duracell 223mg MDMA.
25,25,26-03-2020 10:55:57,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,,1,нет,Тбилиси,5 гр,0.0221,12369,4492,410,159.0,True,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
26,26,26-03-2020 10:55:57,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,8,нет,Тбилиси,5 гр,0.0069,4279,1554,142,55.0,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
27,27,26-03-2020 10:55:57,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,4,нет,Тбилиси,6 гр,0.0119,7390,2684,245,95.0,True,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
28,28,26-03-2020 10:55:57,Tbilisi,0dec0e1c48,10 gr georgian weed. Wholesale,True,1,нет,Тбилиси,10 гр,0.0274,15481,5622,513,199.0,,,,,,,,,,10 gr georgian weed. Wholesale
29,29,26-03-2020 10:55:57,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,3,нет,Тбилиси,10 гр,0.0329,18592,6752,616,239.0,,,,,,,,,,10 gr marijuana buds. -indica-
30,30,26-03-2020 10:55:57,Tbilisi,64284550d9,10G ---> ONLY BUDS,,1,нет,Тбилиси,10 гр,0.0289,16336,5933,542,210.0,True,,,,,,,,,10G ---> ONLY BUDS
31,31,26-03-2020 10:55:57,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",True,1,нет,Тбилиси,10 гр,0.055,31039,11272,1029,399.0,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
32,32,26-03-2020 10:55:57,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0503,28394,10311,941,365.0,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
33,33,26-03-2020 10:55:57,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0368,20771,7543,689,267.0,True,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
34,34,26-03-2020 10:56:27,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,4,нет,Тбилиси,10 гр,0.0107,6612,2401,219,85.0,True,,True,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
35,35,26-03-2020 10:56:27,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.053,31117,11300,1032,400.0,True,,,,,,,,,gashish evro 10g
36,36,26-03-2020 10:56:27,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.251,155586,56500,5158,2000.0,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
37,37,26-03-2020 10:56:27,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0502,31117,11300,1032,400.0,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
38,38,26-03-2020 10:56:27,Tbilisi,f8a875c191,0.25G - METADON - VHQ,,20,5,Тбилиси,0.25 гр,0.0314,17503,6356,580,225.0,True,,,,,,,,,0.25G - METADON - VHQ
39,39,26-03-2020 10:56:27,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,,нет,5,Тбилиси,0.35 гр,0.0418,23338,8475,774,300.0,True,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
40,40,26-03-2020 10:56:27,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,1,3,Тбилиси,1.1 гр,0.0837,46676,16950,1547,600.0,True,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
41,41,26-03-2020 10:56:27,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0279,15559,5650,516,200.0,True,,,,,,,,,✨✨2gram. MDMA✨✨
42,42,26-03-2020 10:56:27,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,5,Тбилиси,2 гр,0.0515,28706,10424,952,369.0,True,,,,,,,,,❄❄2g HQ COCAINE❄❄
43,43,26-03-2020 10:56:27,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0823,45898,16668,1522,590.0,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
44,44,26-03-2020 10:56:27,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0552,31117,11300,1032,400.0,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
45,45,26-03-2020 10:56:27,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0275,15481,5622,513,199.0,True,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
46,46,26-03-2020 10:56:27,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0759,42786,15538,1418,550.0,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
47,47,26-03-2020 10:56:27,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0275,15481,5622,513,199.0,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
48,48,26-03-2020 10:56:27,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,9,Тбилиси,5 гр,0.0275,15481,5622,513,199.0,True,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
49,49,26-03-2020 10:56:27,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0275,15481,5622,513,199.0,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
50,50,26-03-2020 10:56:27,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0275,15481,5622,513,199.0,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
51,51,26-03-2020 10:56:27,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0275,15481,5622,513,199.0,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
52,52,26-03-2020 10:56:27,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0275,17037,6187,565,219.0,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
53,53,26-03-2020 10:56:27,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0418,23338,8475,774,300.0,True,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
54,54,26-03-2020 10:56:27,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0275,15481,5622,513,199.0,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
55,55,26-03-2020 10:56:27,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,15,Тбилиси,5 гр,0.0251,15559,5650,516,200.0,True,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
56,56,26-03-2020 10:56:27,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3077,190000,87429,6316,,True,,,,,,,,,reagent 25i nbome. 5gr
57,57,26-03-2020 10:56:27,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3765,233378,84750,7737,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
58,58,26-03-2020 10:56:27,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1212,67602,24549,2241,869.0,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
59,59,26-03-2020 10:56:27,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0265,14781,5368,490,190.0,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
60,60,26-03-2020 10:56:27,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0682,38041,13814,1261,489.0,True,,,,,,,,,💘✨5g. MDMA ✨💘
61,61,26-03-2020 10:56:27,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,7,Тбилиси,5 гр,0.0264,14703,5339,487,189.0,True,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
62,62,26-03-2020 10:56:27,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1243,70014,25425,2321,900.0,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
63,63,26-03-2020 10:56:27,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0966,54455,19775,1805,700.0,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
64,64,26-03-2020 10:56:27,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0442,24894,9040,825,320.0,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
65,65,26-03-2020 10:57:04,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1104,62234,22600,2063,800.0,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
66,66,26-03-2020 10:57:04,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3072,173089,62856,5738,2225.0,True,,,,,,,,,Amfetamin [White] [Import] 10G
67,67,26-03-2020 10:57:04,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.20199999999999999,112722,40934,3737,1449.0,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
68,68,26-03-2020 10:57:04,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0515,28706,10424,952,369.0,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
69,69,26-03-2020 10:57:04,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0417,23260,8447,771,299.0,True,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
70,70,26-03-2020 10:57:04,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0835,46598,16922,1545,599.0,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
71,71,26-03-2020 10:57:04,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.1506,93351,33900,3095,1200.0,True,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
72,72,26-03-2020 10:57:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2761,155586,56500,5158,2000.0,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
73,73,26-03-2020 10:57:04,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2789,155586,56500,5158,2000.0,True,,,,,,,,,SUBOXIN - HQ - 100 G.
74,74,26-03-2020 10:57:04,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3451,194482,70625,6447,2500.0,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
75,75,26-03-2020 10:57:04,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2092,116689,42375,3868,1500.0,True,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
76,76,26-03-2020 10:57:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6351,357847,129950,11863,4600.0,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
77,77,26-03-2020 10:57:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0354,583446,211875,19342,7500.0,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
78,78,26-03-2020 10:57:04,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1735,661239,240125,21921,8500.0,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
79,79,26-03-2020 10:57:04,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0251,15559,5650,516,200.0,True,,,,,,,,,KURYER..500RUB.+BONUS
80,80,26-03-2020 10:57:04,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0276,15559,5650,516,200.0,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
81,81,26-03-2020 10:57:04,Tbilisi,54915c4374,Работа на марки (курьер),,1,нет,Тбилиси,50 гр,0.0339,21037,7650,698,,True,250.0,,,,,,,,Rabota na marki (kur'er)
