,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Vake,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Центр,Батуми,Кутаиси,desc_en
31,29-03-2020 04:53:32,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,,1,нет,Тбилиси,5 гр,0.0227,12049,4418,399,155,True,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
32,29-03-2020 04:53:32,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0422,24874,9120,824,320,True,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
33,29-03-2020 04:53:32,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0431,23320,8550,773,300,True,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
34,29-03-2020 04:54:11,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,3,нет,Тбилиси,5 гр,0.024,12826,4703,425,165,True,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
35,29-03-2020 04:54:11,Tbilisi,1GT8,GREENGY,5g MDMA (IMPORTED),,2,нет,Тбилиси,5 гр,0.0559,31093,11400,1030,400,True,,,,,,,,,,,5g MDMA (IMPORTED)
36,29-03-2020 04:54:11,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,,2,нет,Тбилиси,5 гр,0.0246,13137,4817,435,169,True,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
37,29-03-2020 04:54:11,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.0257,13603,4988,451,175,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
38,29-03-2020 04:54:11,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,,1,нет,Тбилиси,5 гр,0.1058,62108,22772,2058,799,True,,,,,,,,,,,Cocaine Pure VHQ 5g.
39,29-03-2020 04:54:11,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Wholesale,True,1,нет,Тбилиси,10 гр,0.029,15469,5672,513,199,,,,,,,,,,,,10 gr georgian weed. Wholesale
40,29-03-2020 04:54:11,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,3,нет,Тбилиси,10 гр,0.0348,18578,6812,616,239,,,,,,,,,,,,10 gr marijuana buds. -indica-
41,29-03-2020 04:54:11,Tbilisi,ABOAB,ProGrow,10G ---> ONLY BUDS,,1,нет,Тбилиси,10 гр,0.0306,16324,5985,541,210,True,,,,,,,,,,,10G ---> ONLY BUDS
42,29-03-2020 04:54:11,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",True,1,нет,Тбилиси,10 гр,0.0581,31015,11372,1028,399,,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
43,29-03-2020 04:54:11,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0531,28372,10403,940,365,,,,True,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
44,29-03-2020 04:54:11,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0389,20755,7610,688,267,True,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
45,29-03-2020 04:54:11,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,1,нет,Тбилиси,10 гр,0.0559,31093,11400,1030,400,True,,,,,,,,,,,gashish evro 10g
46,29-03-2020 04:54:11,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 25g SALE!!!,,1,нет,Тбилиси,25 гр,0.1818,97088,35597,3217,1249,,,,,True,,,,,,,MDMA from Europe!!! 25g SALE!!!
47,29-03-2020 04:54:11,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2647,155465,57000,5151,2000,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
48,29-03-2020 04:54:11,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0529,31093,11400,1030,400,,,,,,True,,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
