,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,20-02-2020 09:26:48,Tbilisi,61df6a1c90,Метадон 0.15гр,True,4,нет,Тбилиси,0.15 гр,0.012,8279,3186,287,130.0,,,,,,,,,,Metadon 0.15gr
1,1,20-02-2020 09:26:48,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0167,11464,4412,397,180.0,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,20-02-2020 09:26:48,Tbilisi,32e645c201,"methadone 0,29 gr",,2,нет,Тбилиси,0.29 гр,0.0214,13374,5147,463,210.0,True,,,,,,,,,"methadone 0,29 gr"
3,3,20-02-2020 09:26:48,Tbilisi,61df6a1c90,Метадон 0.30гр,True,2,нет,Тбилиси,0.3 гр,0.0166,12101,4657,419,190.0,,,,,,,,,,Metadon 0.30gr
4,4,20-02-2020 09:26:48,Tbilisi,7fa257ac43,0.33gr NEW - ALFA - PVP - 99% чистота - сухие - большие кристалы,True,30,нет,Тбилиси,0.33 гр,0.0072,4458,1716,154,70.0,,,,,,,,,,0.33gr NEW - ALFA - PVP - 99% chistota - suhie - bol'shie kristaly
5,5,20-02-2020 09:26:48,Tbilisi,366326d4d6,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,2,нет,Тбилиси,0.5 гр,0.0071,4394,1691,152,69.0,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
6,6,20-02-2020 09:26:48,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,5,нет,Тбилиси,0.5 гр,0.0112,6942,2672,240,109.0,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
7,7,20-02-2020 09:26:48,Tbilisi,366326d4d6,0.5 g. Ketamine,True,10,нет,Тбилиси,0.5 гр,0.0061,3758,1446,130,59.0,,,,,,,,,,0.5 g. Ketamine
8,8,20-02-2020 09:26:48,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,2,нет,Тбилиси,0.5 гр,0.0113,7006,2696,242,110.0,,,,,,,,,,"Cocaine, 0.5 g"
9,9,20-02-2020 09:26:48,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0062,3821,1471,132,60.0,,,,,,,,,,Ketamine 0.5g
10,10,20-02-2020 09:26:48,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0268,18469,7108,639,290.0,,,,,,,,,,Metadon VHQ 0.5 24/7
11,11,20-02-2020 09:26:48,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0102,6305,2426,218,99.0,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
12,12,20-02-2020 09:26:48,Tbilisi,edfbad0151,Pineapple Express 0.5G pressed buds only (hydro),True,4,нет,Тбилиси,0.5 гр,0.0029,1783,686,62,28.0,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
13,13,20-02-2020 09:26:48,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,6,нет,Тбилиси,0.5 гр,0.0107,6942,2672,240,109.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
14,14,20-02-2020 09:26:48,Tbilisi,1c14effaaa,Silver Haze | 90% sativa 10% indica | 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0028,1911,735,66,30.0,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
15,15,20-02-2020 09:26:48,Tbilisi,edfbad0151,THC Snow Buds Only 0.5 G (THC 23+%),True,1,нет,Тбилиси,0.5 гр,0.003,1911,735,66,30.0,,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
16,16,20-02-2020 09:26:48,Tbilisi,61df6a1c90,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0278,19106,7353,661,300.0,,,,,,,,,,Metadon 0.6gr
17,17,20-02-2020 09:26:48,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,23,нет,Тбилиси,1 гр,0.0042,2866,1103,99,45.0,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
18,18,20-02-2020 09:26:48,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,6,нет,Тбилиси,1 гр,0.0122,7642,2941,264,120.0,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
19,19,20-02-2020 09:26:48,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,2,нет,Тбилиси,1 гр,0.0092,5732,2206,198,90.0,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
20,20,20-02-2020 09:26:48,Tbilisi,bb1791277e,1 gr сжатая марихуана EUPHORIA шишки low thc.,True,1,нет,Тбилиси,1 гр,0.0036,2229,858,77,35.0,,,,,,,,,,1 gr szhataja marihuana EUPHORIA shishki low thc.
21,21,20-02-2020 09:26:48,Tbilisi,21de5577be,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,7,нет,Тбилиси,1 гр,0.0046,2866,1103,99,45.0,,True,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
22,22,20-02-2020 09:26:48,Tbilisi,cb721d4bca,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,7,нет,Тбилиси,1 гр,0.0132,8279,3186,287,130.0,,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
23,23,20-02-2020 09:26:48,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,6,нет,Тбилиси,1 гр,0.0087,5413,2083,187,85.0,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
24,24,20-02-2020 09:26:48,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,True,16,нет,Тбилиси,1 гр,0.0037,2356,907,82,37.0,True,,,,,,,,,1G -- AK-47 -> Sativa
