,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Авлобари,€,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
25,21-05-2020 02:05:45,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,2,нет,Тбилиси,10 гр,0.0278,19314,7182,643,267,,True,,True,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
26,21-05-2020 02:05:45,Tbilisi,HWUW,opiopi,GABAGAMA 10 SHTUK,True,3,нет,Тбилиси,10 гр,0.0014,1085,404,36,15,,,,,,,,,,GABAGAMA 10 SHTUK
27,21-05-2020 02:05:45,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0454,32552,12105,1084,450,,,,,,,,,,Gashish Evro 10gr
28,21-05-2020 02:05:45,Tbilisi,PTO3,MeDuZa777,"Отсев шышек от AKA-47, GAGARINA и BANANA KUSHA с листьями 15г",True,12,нет,Тбилиси,15 гр,0.0156,10851,4035,361,150,,,,,,,,,,"Otsev shyshek ot AKA-47, GAGARINA i BANANA KUSHA s list'jami 15g"
29,21-05-2020 02:05:45,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0776,56207,20901,1872,777,,,,,,,,,,Gashish Evro 20gr
30,21-05-2020 02:05:45,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1893,144676,53800,4817,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
31,21-05-2020 02:05:45,Tbilisi,A3I9,Joookerrr,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.0103,7126,2651,237,,,,,,90,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
32,21-05-2020 02:05:45,Tbilisi,A3I9,Joookerrr,"MDMA ""цунами удовольствия) 0.5 грамм",True,нет,10,Тбилиси,0.5 гр,0.0083,5787,2152,193,80,,,,,,,,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
33,21-05-2020 02:05:45,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0167,11574,4304,385,160,,,,,,,,,,"""Kief"" Weed trichomes 1G"
34,21-05-2020 02:06:53,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,1,Тбилиси,2 гр,0.0387,26693,9926,889,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
35,21-05-2020 02:06:53,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0608,41884,15575,1395,579,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
36,21-05-2020 02:06:53,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0416,28935,10760,963,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
37,21-05-2020 02:06:53,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0145,10127,3766,337,140,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
38,21-05-2020 02:06:53,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0572,39786,14795,1325,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
