,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,27-02-2020 22:30:13,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,1,нет,Тбилиси,0.5 гр,0.0118,7151,2678,244,109.0,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
1,1,27-02-2020 22:30:13,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0108,6495,2432,222,99.0,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
2,2,27-02-2020 22:30:13,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука),True,5,нет,Тбилиси,0.8 гр,0.0161,9841,3686,336,150.0,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka)
3,3,27-02-2020 22:30:13,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,7,нет,Тбилиси,1 гр,0.0047,3149,1179,107,48.0,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
4,4,27-02-2020 22:30:13,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,14,нет,Тбилиси,1 гр,0.0039,2428,909,83,37.0,True,,,,,,,,1G -- AK-47 -> Sativa
5,5,27-02-2020 22:30:13,Tbilisi,ae784bef73,Afghan HQ buds ! NEW ! 1G,True,2,нет,Тбилиси,1 гр,0.0051,3084,1155,105,47.0,,,,,,,,,Afghan HQ buds ! NEW ! 1G
6,6,27-02-2020 22:30:13,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0186,12466,4668,425,190.0,,,,,,,,,Cocaine Pure VHQ 1g
7,7,27-02-2020 22:30:13,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! Buds ! 1G,True,2,нет,Тбилиси,1 гр,0.0048,2952,1106,101,45.0,,,,,,,,,NEW ! Super Critical ! NEW ! Buds ! 1G
8,8,27-02-2020 22:30:13,Tbilisi,ae784bef73,NEW ! Super Skunk ! NEW ! BUDS ! 1g,True,2,нет,Тбилиси,1 гр,0.0048,2952,1106,101,45.0,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1g
9,9,27-02-2020 22:30:13,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0205,12400,4644,423,189.0,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
10,10,27-02-2020 22:30:13,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,4,нет,Тбилиси,1 гр,0.0186,11810,4423,403,180.0,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
11,11,27-02-2020 22:30:13,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,1,нет,Тбилиси,2 гр,0.0086,5183,1941,177,79.0,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
12,12,27-02-2020 22:30:13,Tbilisi,8219f5e7b8,"Cocaine, 2 g",True,1,нет,Тбилиси,2 гр,0.0434,26244,9828,895,400.0,,,,,,,,,"Cocaine, 2 g"
13,13,27-02-2020 22:30:13,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0367,22635,8477,772,345.0,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
14,14,27-02-2020 22:30:13,Tbilisi,8219f5e7b8,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.0195,11810,4423,403,180.0,,,,,,,,,Ketamine 2 g
15,15,27-02-2020 22:30:13,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,1,нет,Тбилиси,2 гр,0.0076,4593,1720,157,70.0,,,,,,,,,"LSD - 250 ug, 2 pieces"
16,16,27-02-2020 22:30:13,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0376,22898,8575,781,349.0,,True,,,,,,,Kokain KOLUMBIA 2g
17,17,27-02-2020 22:30:13,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0226,13778,5160,470,210.0,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
18,18,27-02-2020 22:30:13,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0114,6889,2580,235,105.0,,,,,,,,,3x Extasy Duracell 223mg MDMA
19,19,27-02-2020 22:30:13,Tbilisi,ae784bef73,NEW ! Easy Bud ! 3g,True,2,нет,Тбилиси,3 гр,0.0086,5249,1966,179,80.0,,,,,,,,,NEW ! Easy Bud ! 3g
20,20,27-02-2020 22:30:13,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0168,10170,3808,347,155.0,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
21,21,27-02-2020 22:30:13,Tbilisi,c225d2f67d,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0217,13778,5160,470,210.0,,,,,,,,,gashish evro 5g
22,22,27-02-2020 22:30:13,Tbilisi,7ee4f68218,🍃 5гр ГАШИШ 🍃,True,3,нет,Тбилиси,5 гр,0.0279,17715,6634,604,270.0,,,,,,,,,🍃 5gr GAShISh 🍃
23,23,27-02-2020 22:30:13,Tbilisi,7ee4f68218,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,10 гр,0.0338,21494,8067,730,,,,300.0,,,,,,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
24,24,27-02-2020 22:30:13,Tbilisi,7ee4f68218,10 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,10 гр,0.0338,21494,8067,730,,,,300.0,,,,,,10 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
25,25,27-02-2020 22:30:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,5,нет,Тбилиси,10 гр,0.0287,17518,6560,598,267.0,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
26,26,27-02-2020 22:30:13,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,2,нет,Тбилиси,10 гр,0.0326,19683,7371,671,300.0,,,,,,,,,"LSD - 250 ug, 10 pieces"
27,27,27-02-2020 22:30:13,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road",True,1,нет,Тбилиси,10 гр,0.0248,15746,5897,537,240.0,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road"
28,28,27-02-2020 22:30:13,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0413,26244,9828,895,400.0,,,,,,,,,gashish evro 10g
