,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
21,12-03-2020 00:16:34,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.042,27874,10335,905,390,,,,,,,,,,VHQ BEST Cocaine 2g.
22,12-03-2020 00:16:34,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,2,нет,Тбилиси,2 гр,0.0038,2502,928,81,35,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
23,12-03-2020 00:16:34,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,4,нет,Тбилиси,2 гр,0.0431,27088,10044,880,379,,,,,,,,,,Kokain HQ 2g.
24,12-03-2020 00:16:34,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0335,21065,7813,685,,,260,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
25,12-03-2020 00:16:34,Tbilisi,ABOAB,ProGrow,3G ---> INDICA,,20,нет,Тбилиси,3 гр,0.01,6647,2465,216,93,,,True,,,,,,,3G ---> INDICA
26,12-03-2020 00:16:34,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.019,11364,4214,369,159,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
27,12-03-2020 00:16:34,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0185,11078,4108,360,155,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
28,12-03-2020 00:16:34,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0344,22871,8480,743,320,,,,,,,,,,"5 Grm MDMA , Purity A +++"
29,12-03-2020 00:16:34,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0483,30383,11269,988,,,375,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
30,12-03-2020 00:16:34,Tbilisi,8B31,bobbyz,5gr georgian indica (hight quality),True,6,нет,Тбилиси,5 гр,0.015,9935,3684,323,139,True,,,,,,,,,5gr georgian indica (hight quality)
