,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Vake,Батуми,Центр,desc_en
0,0,22-07-2020 17:11:52,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,15,нет,Тбилиси,0.5 гр,0.0035,2336,926,79,33.0,,,,,,,,,,,0.5 gr HYBRID buds
1,1,22-07-2020 17:11:52,Tbilisi,21de5577be,0.5 gr. Afghan kush (Indika),,5,нет,Тбилиси,0.5 гр,0.0032,2194,870,74,31.0,True,,,,,,,,,,0.5 gr. Afghan kush (Indika)
2,2,22-07-2020 17:11:52,Tbilisi,d04eeb6525,Hybrid Bomba 0.5г TOP BUDS,True,1,нет,Тбилиси,0.5 гр,0.0027,2053,813,69,29.0,,,,,,,,,,,Hybrid Bomba 0.5g TOP BUDS
3,3,22-07-2020 17:11:52,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,9,нет,Тбилиси,0.5 гр,0.0035,2407,954,81,34.0,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
4,4,22-07-2020 17:11:52,Tbilisi,ae784bef73,NEW! ГАШИШ ! NEW ! 0.5G,True,13,нет,Тбилиси,0.5 гр,0.0047,3185,1262,107,45.0,,,,,,,,,,,NEW! GAShISh ! NEW ! 0.5G
5,5,22-07-2020 17:11:52,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,2,нет,Тбилиси,0.5 гр,0.0034,2336,926,79,33.0,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
6,6,22-07-2020 17:11:52,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0062,4247,1683,143,60.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,22-07-2020 17:11:52,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,1,нет,Тбилиси,1 гр,0.0057,3893,1543,131,55.0,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
8,8,22-07-2020 17:11:52,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,2,нет,Тбилиси,1 гр,0.0061,4177,1655,141,59.0,,,,,,,,,,,1 gr super lemon haze probnik
9,9,22-07-2020 17:11:52,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,1 гр,0.0061,4177,1655,141,59.0,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
