,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,08-04-2020 11:30:53,Tbilisi,54915c4374,MDMA 0.4 грам.,True,3,нет,Тбилиси,0.4 гр,0.0078,4905,1771,166,65.0,,,,,,,,,,MDMA 0.4 gram.
1,1,08-04-2020 11:30:53,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0138,8225,2970,278,109.0,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,2,08-04-2020 11:30:53,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,True,7,нет,Тбилиси,0.5 гр,0.0099,5659,2044,191,75.0,,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
3,3,08-04-2020 11:30:53,Tbilisi,99accec7c7,MEPHEDRONE 0.5 gr,True,2,нет,Тбилиси,0.5 гр,0.0073,4150,1499,140,55.0,,,,,,,,,,MEPHEDRONE 0.5 gr
4,4,08-04-2020 11:30:53,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0165,9809,3543,332,130.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
5,5,08-04-2020 11:30:53,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.6 грамм",True,1,нет,Тбилиси,0.6 гр,0.0108,6791,2453,230,90.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.6 gramm"
6,6,08-04-2020 11:30:53,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,4,нет,Тбилиси,1 гр,0.0058,3320,1199,112,44.0,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
7,7,08-04-2020 11:30:53,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,13,нет,Тбилиси,1 гр,0.0072,4527,1635,153,60.0,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
8,8,08-04-2020 11:30:53,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0246,14638,5287,495,194.0,,,,,,,,,,Cocaine Pure VHQ 1g
9,9,08-04-2020 11:30:53,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0793,45273,16350,1531,600.0,True,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
