,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Didube,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,€,Vake,Varketili,Центр,Батуми,desc_en
0,0,08-08-2020 19:57:11,Tbilisi,8ddca45a78,"0,5G ☠️DURBAN POISON (100% sativa)",True,6,нет,Тбилиси,0.5 гр,0.0025,2136,808,71,29.0,,,,,,,,,,,,,"0,5G ☠️DURBAN POISON (100% sativa)"
1,1,08-08-2020 19:57:11,Tbilisi,8ddca45a78,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0025,2136,808,71,29.0,,,,,,,,,,,,,"0,5G 🍇🍇 GRAPE APE (hybrid < indica)"
2,2,08-08-2020 19:57:11,Tbilisi,8ddca45a78,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0025,2136,808,71,29.0,,,,,,,,,,,,,"0,5G 🔵🔵 BLUEBERRY (hybrid < indica)"
3,3,08-08-2020 19:57:11,Tbilisi,16a8841259,0.5 Gram Northern-Light DOMINANT INDICA,True,6,нет,Тбилиси,0.5 гр,0.0022,1915,724,64,26.0,True,,,,,,,,,,,,0.5 Gram Northern-Light DOMINANT INDICA
4,4,08-08-2020 19:57:11,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,True,4,нет,Тбилиси,0.5 гр,0.0028,2430,919,81,33.0,,,,,,,,,,,,,0.5 gr HYBRID buds
5,5,08-08-2020 19:57:11,Tbilisi,21de5577be,0.5 gr. Afghan kush 100% Natural (Indika),,6,нет,Тбилиси,0.5 гр,0.0026,2283,864,76,31.0,True,,,,,,,,,,,,0.5 gr. Afghan kush 100% Natural (Indika)
6,6,08-08-2020 19:57:11,Tbilisi,21de5577be,0.5 gr. Magic Kush IMPORT (INDICA),,6,нет,Тбилиси,0.5 гр,0.0026,2283,864,76,31.0,True,,,,,,,,,,,,0.5 gr. Magic Kush IMPORT (INDICA)
7,7,08-08-2020 19:57:11,Tbilisi,4659482266,0.5 г.Super Skunk top class buds! (подезд),,2,нет,Тбилиси,0.5 гр,0.0026,2283,864,76,31.0,,True,,,,,,,,,,,0.5 g.Super Skunk top class buds! (podezd)
8,8,08-08-2020 19:57:11,Tbilisi,64284550d9,0.5-G ---> Hybrid BEST (BTC - Sale),True,22,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25.0,True,,,,,,,,,,,,0.5-G ---> Hybrid BEST (BTC - Sale)
9,9,08-08-2020 19:57:11,Tbilisi,16a8841259,0.5Gramm 🤯🤯Bubble Kush (напас),,2,нет,Тбилиси,0.5 гр,0.0023,1988,752,66,27.0,True,,,,,,,,,,,,0.5Gramm 🤯🤯Bubble Kush (napas)
10,10,08-08-2020 19:57:11,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0025,2209,836,73,30.0,,,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
11,11,08-08-2020 19:57:11,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 0.5G,True,11,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25.0,,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
12,12,08-08-2020 19:57:11,Tbilisi,67187efef3,АКЦИЯ! 0.5gr marijuana best buds Btc 5% sale,True,3,нет,Тбилиси,0.5 гр,0.0019,1767,669,59,24.0,,,,,,,,,,,,,AKTsIJa! 0.5gr marijuana best buds Btc 5% sale
13,13,08-08-2020 19:57:11,Tbilisi,fccfd69694,Бошки OG Kush 05g.,True,1,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25.0,,,,,,,,,,,,,Boshki OG Kush 05g.
14,14,08-08-2020 19:57:11,Tbilisi,16a8841259,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA,True,9,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25.0,True,,,,,,,,,,,,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA
15,15,08-08-2020 19:57:11,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,18,нет,Тбилиси,1 гр,0.005,4345,1644,144,59.0,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
16,16,08-08-2020 19:57:11,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0051,4418,1672,147,60.0,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
17,17,08-08-2020 19:57:11,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,4,нет,Тбилиси,1 гр,0.0046,4050,1532,135,55.0,,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
18,18,08-08-2020 19:57:11,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,4,нет,Тбилиси,1 гр,0.005,4345,1644,144,59.0,,,,,,,,,,,,,1 gr super lemon haze probnik
19,19,08-08-2020 19:57:11,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,1 гр,0.005,4345,1644,144,59.0,True,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
20,20,08-08-2020 19:57:11,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,5,нет,Тбилиси,1 гр,0.0051,4418,1672,147,60.0,,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
21,21,08-08-2020 19:57:11,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,7,нет,Тбилиси,1 гр,0.005,4345,1644,144,59.0,,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
22,22,08-08-2020 19:57:11,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,5,нет,Тбилиси,1 гр,0.005,4345,1644,144,59.0,,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
23,23,08-08-2020 19:57:11,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,3,нет,Тбилиси,1 гр,0.0047,4050,1532,135,55.0,,True,True,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
24,24,08-08-2020 19:57:11,Tbilisi,21de5577be,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,1,нет,Тбилиси,1 гр,0.0045,3903,1477,130,53.0,True,,,,,,,,,,,,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
25,25,08-08-2020 19:57:11,Tbilisi,21de5577be,1.0 gr. Magic Kush IMPORT (INDICA),,1,нет,Тбилиси,1 гр,0.0045,3903,1477,130,53.0,True,,,,,,,,,,,,1.0 gr. Magic Kush IMPORT (INDICA)
26,26,08-08-2020 19:57:11,Tbilisi,8ddca45a78,1G 🍇 GRAPE APE,True,4,нет,Тбилиси,1 гр,0.0041,3535,1337,118,48.0,,,,,,,,,,,,,1G 🍇 GRAPE APE
27,27,08-08-2020 19:57:11,Tbilisi,8ddca45a78,1G 👨🏻WHITE RUSSIAN (hybrid < indica),True,4,нет,Тбилиси,1 гр,0.0041,3535,1337,118,48.0,,,,,,,,,,,,,1G 👨🏻WHITE RUSSIAN (hybrid < indica)
28,28,08-08-2020 19:57:11,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.0051,4418,1672,147,60.0,,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
29,29,08-08-2020 19:57:11,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,18,нет,Тбилиси,1 гр,0.0041,3608,1365,120,49.0,,,,,,,,,,,,,1gr HYBRID o.g
30,30,08-08-2020 19:57:11,Tbilisi,e56bb6ca93,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,16,нет,Тбилиси,1 гр,0.0049,4197,1588,140,57.0,,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
31,31,08-08-2020 19:57:11,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,5,нет,Тбилиси,1 гр,0.0041,3608,1365,120,49.0,,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
32,32,08-08-2020 19:57:11,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,14,нет,Тбилиси,1 гр,0.0034,3000,1380,100,,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
33,33,08-08-2020 19:57:11,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE,,7,нет,Тбилиси,1 гр,0.0048,4197,1588,140,57.0,True,,,,,,,,,,,,CLOWNBARON ShIShKI* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE
34,34,08-08-2020 19:57:11,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 1 гр",,2,нет,Тбилиси,1 гр,0.0042,4050,1532,135,55.0,,,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 1 gr"
35,35,08-08-2020 19:57:11,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3976,1504,132,54.0,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
36,36,08-08-2020 19:58:38,Tbilisi,ae784bef73,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,4,нет,Тбилиси,1 гр,0.0049,4271,1616,142,58.0,,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
37,37,08-08-2020 19:58:38,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0046,4050,1532,135,55.0,,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
38,38,08-08-2020 19:58:38,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0042,3682,1393,122,50.0,,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
39,39,08-08-2020 19:58:38,Tbilisi,67187efef3,АКЦИЯ-1g hindu kish best buds BTC 5% sale,True,2,нет,Тбилиси,1 гр,0.0036,3314,1254,110,45.0,,,,,,,,,,,,,AKTsIJa-1g hindu kish best buds BTC 5% sale
40,40,08-08-2020 19:58:38,Tbilisi,fccfd69694,Бошки OG Kush 1g.,True,1,нет,Тбилиси,1 гр,0.0038,3314,1254,110,45.0,,,,,,,,,,,,,Boshki OG Kush 1g.
41,41,08-08-2020 19:58:38,Tbilisi,22610cd7c4,🎇SUPER SKITKA🎇Amsterdam weed sativa 1гр,True,2,нет,Тбилиси,1 гр,0.003,2651,1003,88,36.0,,,,,,,,,,,,,🎇SUPER SKITKA🎇Amsterdam weed sativa 1gr
