,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Old Tbilisi (Старый город),$,Saburtalo,Авлобари,Дигоми,Gldani,Varketili,Didube,€,Кутаиси,desc_en
39,05-05-2020 23:11:04,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 5g TOP VHQ,True,1,нет,Тбилиси,5 гр,0.0172,4344,393,11636,,160,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
40,05-05-2020 23:11:04,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.12,31223,2823,83635,,1150,,,,,,,,,VHQ BEST Cocaine 5g.
41,05-05-2020 23:11:04,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,1,3,Тбилиси,5 гр,0.0205,5131,464,13745,,189,True,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
42,05-05-2020 23:11:04,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,10 гр,0.0214,5403,488,14473,,199,True,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
43,05-05-2020 23:11:04,Tbilisi,PTO3,MeDuZa777,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,True,1,нет,Тбилиси,10 гр,0.0409,10317,933,27636,,380,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
44,05-05-2020 23:11:04,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0413,10860,982,29091,,400,,,,,,,,,gashish evro 10g
45,05-05-2020 23:11:04,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,6,нет,Тбилиси,20 гр,0.0408,10290,930,27563,,379,,,True,,,,,,20 gr Indica marijuana buds (hight quality)
46,05-05-2020 23:11:04,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0803,21096,1907,56508,,777,,,,,,,,,Gashish Evro 20gr
47,05-05-2020 23:11:04,Tbilisi,8B31,GEOWEEDSHOP,50 гр Марихуана шишки. ИНДИКА,,2,нет,Тбилиси,50 гр,0.1022,25765,2329,69017,,949,True,,,,,,,,50 gr Marihuana shishki. INDIKA
48,05-05-2020 23:11:04,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1957,54300,4909,145453,,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
49,05-05-2020 23:11:04,Tbilisi,8B31,GEOWEEDSHOP,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,,1,нет,Тбилиси,100 гр,0.1829,46128,4170,123562,,1699,True,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
50,05-05-2020 23:11:04,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,нет,12,Тбилиси,0.2 гр,0.0042,1059,96,2836,,39,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
51,05-05-2020 23:11:04,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,7,Тбилиси,1 гр,0.0172,4344,393,11636,,160,,,,,,,,,"""Kief"" Weed trichomes 1G"
52,05-05-2020 23:11:04,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0145,3665,331,9818,,135,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
53,05-05-2020 23:11:04,Tbilisi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0351,9735,886,26109,,,,,,,,,330,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
54,05-05-2020 23:11:04,Tbilisi,A3I9,Joookerrr,"""JoKer Express"" - Марки н боом 2 штуки!",True,нет,40,Тбилиси,2 гр,0.0038,950,86,2545,,35,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
55,05-05-2020 23:11:04,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0228,5702,515,15273,,210,,,,,,,,,✨✨2gram. MDMA✨✨
56,05-05-2020 23:11:04,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.0401,10018,906,26836,,369,,,,,,,,,❄❄2g HQ COCAINE❄❄
