,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
97,97,24-06-2020 16:24:30,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,1,нет,Батуми,5 гр,0.0293,19963,7758,687,,,290.0,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
98,98,24-06-2020 16:24:30,Batumi,f8a875c191,METADON - 0.25 - SALE,,1,10,Батуми,0.25 гр,0.0309,20651,8025,711,,,300.0,,,,,,,,True,,METADON - 0.25 - SALE
99,99,24-06-2020 16:24:30,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1532,103256,40125,3554,,,1500.0,,,,,,,,True,,Gerojn (sirets) 5 gr
100,100,24-06-2020 16:24:30,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2247,151443,58850,5212,,,2200.0,,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
101,101,24-06-2020 16:24:30,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1676,112990,51992,3893,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
102,102,24-06-2020 16:24:30,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2654,178900,82321,6164,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
103,103,24-06-2020 16:24:30,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6884,2675,237,,,100.0,,,,,,,,True,,kur'er v Batumi
104,104,24-06-2020 16:24:30,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0232,17209,6688,592,,,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
105,105,24-06-2020 16:24:30,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0232,17209,6688,592,,,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
106,106,24-06-2020 16:24:30,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,2,Батуми,1 гр,0.0204,13768,5350,474,,,200.0,,,,,,,,True,,Kur'er Batumi na marihuanu
107,107,24-06-2020 16:24:30,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5457,1032564,401250,35538,,,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
108,108,24-06-2020 16:24:30,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0511,34419,13375,1185,,,500.0,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
