,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
33,33,24-06-2020 16:18:15,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,25,нет,Тбилиси,10 гр,0.0133,8880,3451,306,,True,129.0,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
34,34,24-06-2020 16:18:15,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,10 гр,0.0203,13699,5323,471,,True,199.0,,,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
35,35,24-06-2020 16:18:15,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,2,нет,Тбилиси,11 гр,0.0167,12391,4815,426,,True,180.0,,,,,,,,,,11+ GRAMM BEASTWEED NEW
36,36,24-06-2020 16:19:49,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0464,34419,13375,1185,,True,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
37,37,24-06-2020 16:19:49,Tbilisi,ae784bef73,Silver haze leaves листья 15гр,,10,нет,Тбилиси,15 гр,0.0092,6195,2408,213,,True,90.0,,,,,,,,,,Silver haze leaves list'ja 15gr
38,38,24-06-2020 16:19:49,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2061,137675,53500,4738,,True,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
39,39,24-06-2020 16:19:49,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,4,Тбилиси,0.5 гр,0.0092,6195,2408,213,,True,90.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
40,40,24-06-2020 16:19:49,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",,нет,7,Тбилиси,1 гр,0.0046,3098,1204,107,,True,45.0,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
41,41,24-06-2020 16:19:49,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,9,Тбилиси,2 гр,0.0092,6195,2408,213,,True,90.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
42,42,24-06-2020 16:19:49,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,4,Тбилиси,2 гр,0.0217,14456,5618,498,,True,210.0,,,,,,,,,,✨✨2gram. MDMA✨✨
43,43,24-06-2020 16:19:49,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,4,Тбилиси,2 гр,0.0381,25401,9871,874,,True,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
