,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,13-06-2020 02:16:22,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,True,True,2,нет,Тбилиси,2 гр,0.0086,5875,2287,202,85.0,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
1,1,13-06-2020 02:16:22,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,,3,нет,Тбилиси,3 гр,0.0088,6014,2340,207,87.0,True,,,,,,,3 gr georgian weed. Package on magnet
2,2,13-06-2020 02:16:22,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,,16,нет,Тбилиси,3 гр,0.006999999999999999,4769,1856,164,69.0,True,True,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
3,3,13-06-2020 02:16:22,Tbilisi,8528108b62,4g.марихуана шишки white widow,,,1,нет,Тбилиси,4 гр,0.018000000000000002,13479,5246,464,195.0,True,,,,,,,4g.marihuana shishki white widow
4,4,13-06-2020 02:16:22,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,,,1,нет,Тбилиси,4 гр,0.0109,7396,2878,254,107.0,True,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
5,5,13-06-2020 02:16:22,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,,2,нет,Тбилиси,5 гр,0.0141,9608,3739,331,139.0,True,,,,,,,5 gr georgian weed. Package on magnet
6,6,13-06-2020 02:16:22,Tbilisi,8528108b62,5g. марихуана шишки Critical,,,1,нет,Тбилиси,5 гр,0.0222,16589,6456,571,240.0,True,,,,,,,5g. marihuana shishki Critical
7,7,13-06-2020 02:16:22,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,,8,нет,Тбилиси,5 гр,0.018000000000000002,12096,4708,416,175.0,True,,,,,,,5x Extasy Duracell 223mg MDMA.
8,8,13-06-2020 02:16:22,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 5gr marijuana buds -indica- (КЛАДИ НА МАГНИТАХ),,,10,нет,Тбилиси,5 гр,0.0101,6843,2663,235,99.0,True,,,,,,,AKTsIJa! SUPER TsENA! 5gr marijuana buds -indica- (KLADI NA MAGNITAH)
9,9,13-06-2020 02:16:22,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,,1,нет,Тбилиси,10 гр,0.0263,17903,6967,616,259.0,True,,,,,,,10 gr georgian weed. Package on magnet
10,10,13-06-2020 02:16:22,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,,8,нет,Тбилиси,10 гр,0.0202,13755,5353,473,199.0,True,True,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
11,11,13-06-2020 02:16:22,Tbilisi,e56bb6ca93,"Отходы, листья и шишки. 🍃 Leafs and Buds (Good for making bubble hash)",,,2,нет,Тбилиси,10 гр,0.0096,6497,2529,224,94.0,True,,,,,,,"Othody, list'ja i shishki. 🍃 Leafs and Buds (Good for making bubble hash)"
12,12,13-06-2020 02:16:22,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,,1,нет,Тбилиси,12 гр,0.0462,34561,13450,1189,500.0,True,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
13,13,13-06-2020 02:16:22,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,,1,нет,Тбилиси,60 гр,0.2051,138244,53800,4756,2000.0,True,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
14,14,13-06-2020 02:16:22,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,,нет,9,Тбилиси,2 гр,0.0379,25506,9926,878,369.0,True,,,,,,,❄❄2g HQ COCAINE❄❄
15,15,13-06-2020 02:16:22,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,,нет,6,Тбилиси,3 гр,0.0594,40022,15575,1377,579.0,True,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
