,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Nadzaladevi,Тбилиси,Gldani,Vake,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Центр,Батуми,Кутаиси,desc_en
0,0,29-03-2020 18:16:15,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,4,нет,Тбилиси,0.25 гр,0.0278,14769,5415,489,190.0,,,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,29-03-2020 18:16:15,Tbilisi,83f3d55917,Amnesia 0.5 (THC 20 % Import) 10 % Sale Bitcoin,,3,нет,Тбилиси,0.5 гр,0.0034,1943,713,64,25.0,True,,,,,,,,,,,,Amnesia 0.5 (THC 20 % Import) 10 % Sale Bitcoin
2,2,29-03-2020 18:16:15,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни!,True,4,нет,Тбилиси,0.5 гр,0.0096,5053,1853,167,65.0,,,,,,,,,,,,,MDMA 0.5gr ogromnye kamni!
3,3,29-03-2020 18:16:15,Tbilisi,edfbad0151,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%),,14,нет,Тбилиси,1 гр,0.0064,3343,1226,111,43.0,,True,,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F) Buds Only 1G (THC 24+%)
4,4,29-03-2020 18:16:15,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,19,нет,Тбилиси,1 гр,0.0081,4664,1710,155,60.0,,True,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
5,5,29-03-2020 18:16:15,Tbilisi,f25c0d6c5c,1 a-pvp white,,1,нет,Тбилиси,1 гр,0.0228,12000,5522,397,,,True,,,,,,,,,,,1 a-pvp white
6,6,29-03-2020 18:16:15,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0074,3887,1425,129,50.0,,True,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
7,7,29-03-2020 18:16:15,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,10,нет,Тбилиси,1 гр,0.0058,3032,1112,100,39.0,,True,True,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
8,8,29-03-2020 18:16:15,Tbilisi,4659482266,1 г.Super Skunk top class buds! Indica,,1,нет,Тбилиси,1 гр,0.0064,3343,1226,111,43.0,,,True,,,,,,,,,,1 g.Super Skunk top class buds! Indica
9,9,29-03-2020 18:16:15,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,13,нет,Тбилиси,1 гр,0.0056,2954,1083,98,38.0,,True,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
10,10,29-03-2020 18:16:15,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,,8,нет,Тбилиси,1 гр,0.0055,3187,1169,106,41.0,,True,,,,,,,,,,,Hybrid Ana-sha 1G.
11,11,29-03-2020 18:16:15,Tbilisi,22610cd7c4,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1гр",,3,нет,Тбилиси,1 гр,0.0064,3343,1226,111,43.0,,True,,,,,,,,,,,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1gr"
12,12,29-03-2020 18:16:15,Tbilisi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),True,10,нет,Тбилиси,1 гр,0.0222,11660,4275,386,150.0,,,,,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
13,13,29-03-2020 18:16:15,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0265,13914,5102,461,179.0,,,,True,,,,,,,,,Kokain KOLUMBIA 1g
14,14,29-03-2020 18:16:15,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1211,69959,25650,2318,900.0,,True,,,,,,,,,,,Metadon 1gr
15,15,29-03-2020 18:16:15,Tbilisi,edfbad0151,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),,1,нет,Тбилиси,2 гр,0.0118,6219,2280,206,80.0,,True,,,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
16,16,29-03-2020 18:16:15,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,5,нет,Тбилиси,2 гр,0.0111,5830,2138,193,75.0,,True,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
17,17,29-03-2020 18:16:15,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,6,нет,Тбилиси,2 гр,0.0102,5364,1967,178,69.0,,True,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
18,18,29-03-2020 18:16:15,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,8,нет,Тбилиси,2 гр,0.0102,5364,1967,178,69.0,,True,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
19,19,29-03-2020 18:16:15,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,9,нет,Тбилиси,2 гр,0.0102,5364,1967,178,69.0,,True,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
20,20,29-03-2020 18:16:15,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,4,нет,Тбилиси,2 гр,0.0105,5441,1995,180,70.0,,True,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
21,21,29-03-2020 18:16:15,Tbilisi,d04eeb6525,Кокаин HQ 2г.,,2,нет,Тбилиси,2 гр,0.0538,29461,10802,976,379.0,,True,,,,,,,,,,,Kokain HQ 2g.
22,22,29-03-2020 18:16:15,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,2 гр,0.0047,2721,998,90,35.0,,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
23,23,29-03-2020 18:16:15,Tbilisi,4be7861731,metadon hydrochloride 4г,True,3,нет,Тбилиси,4 гр,0.0081,4275,1568,142,55.0,,,,,,,,,,,,,metadon hydrochloride 4g
24,24,29-03-2020 18:16:15,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.043,24874,9120,824,320.0,,True,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
25,25,29-03-2020 18:16:15,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0439,23320,8550,773,300.0,,True,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
26,26,29-03-2020 18:16:15,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,3,нет,Тбилиси,5 гр,0.0244,12826,4703,425,165.0,,True,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
27,27,29-03-2020 18:16:15,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),,2,нет,Тбилиси,5 гр,0.0568,31093,11400,1030,400.0,,True,,,,,,,,,,,5g MDMA (IMPORTED)
28,28,29-03-2020 18:16:15,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.0262,13603,4988,451,175.0,,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
29,29,29-03-2020 18:16:15,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,,1,нет,Тбилиси,5 гр,0.1075,62108,22772,2058,799.0,,True,,,,,,,,,,,Cocaine Pure VHQ 5g.
30,30,29-03-2020 18:16:15,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.0074,4275,1568,142,55.0,,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
31,31,29-03-2020 18:16:15,Tbilisi,0dec0e1c48,10 gr georgian weed. Wholesale,True,1,нет,Тбилиси,10 гр,0.0294,15469,5672,513,199.0,,,,,,,,,,,,,10 gr georgian weed. Wholesale
32,32,29-03-2020 18:16:15,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,2,нет,Тбилиси,10 гр,0.0354,18578,6812,616,239.0,,,,,,,,,,,,,10 gr marijuana buds. -indica-
33,33,29-03-2020 18:16:15,Tbilisi,64284550d9,10G ---> ONLY BUDS,,1,нет,Тбилиси,10 гр,0.0311,16324,5985,541,210.0,,True,,,,,,,,,,,10G ---> ONLY BUDS
34,34,29-03-2020 18:17:05,Tbilisi,64284550d9,10G ---> ONLY BUDS,,1,нет,Тбилиси,10 гр,0.031,16324,5985,541,210.0,,True,,,,,,,,,,,10G ---> ONLY BUDS
35,35,29-03-2020 18:17:05,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",True,1,нет,Тбилиси,10 гр,0.0589,31015,11372,1028,399.0,,,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
36,36,29-03-2020 18:17:05,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0539,28372,10403,940,365.0,,,,,True,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
37,37,29-03-2020 18:17:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0394,20755,7610,688,267.0,,True,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
38,38,29-03-2020 18:17:05,Tbilisi,c225d2f67d,гашиш евро 10г,,1,нет,Тбилиси,10 гр,0.0566,31093,11400,1030,400.0,,True,,,,,,,,,,,gashish evro 10g
39,39,29-03-2020 18:17:05,Tbilisi,be97026d1d,MDMA from Europe!!! 25g SALE!!!,,1,нет,Тбилиси,25 гр,0.1843,97088,35597,3217,1249.0,,,,,,True,,,,,,,MDMA from Europe!!! 25g SALE!!!
40,40,29-03-2020 18:17:05,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2683,155465,57000,5151,2000.0,,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
41,41,29-03-2020 18:17:05,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0537,31093,11400,1030,400.0,,,,,,,True,,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
42,42,29-03-2020 18:17:05,Tbilisi,f8a875c191,0.25G - METADON - VHQ,,1,4,Тбилиси,0.25 гр,0.0261,13603,4988,451,175.0,,True,,,,,,,,,,,0.25G - METADON - VHQ
43,43,29-03-2020 18:17:05,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,1,2,Тбилиси,2 гр,0.0298,15547,5700,515,200.0,,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
44,44,29-03-2020 18:17:05,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,4,Тбилиси,2 гр,0.055,28683,10517,950,369.0,,True,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
45,45,29-03-2020 18:17:05,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0879,45862,16815,1519,590.0,,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
46,46,29-03-2020 18:17:05,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.059000000000000004,31093,11400,1030,400.0,,True,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
47,47,29-03-2020 18:17:05,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0236,12437,4560,412,160.0,,True,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
48,48,29-03-2020 18:17:05,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0812,42753,15675,1416,550.0,,True,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
49,49,29-03-2020 18:17:05,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0249,13137,4817,435,169.0,,True,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
50,50,29-03-2020 18:17:05,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,9,Тбилиси,5 гр,0.0251,13215,4845,438,170.0,,True,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
51,51,29-03-2020 18:17:05,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0294,15469,5672,513,199.0,,True,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
52,52,29-03-2020 18:17:05,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0294,15469,5672,513,199.0,,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
53,53,29-03-2020 18:17:05,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0294,15469,5672,513,199.0,,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
54,54,29-03-2020 18:17:05,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0294,17023,6242,564,219.0,,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
55,55,29-03-2020 18:17:05,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0447,23320,8550,773,300.0,,True,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
56,56,29-03-2020 18:17:05,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0294,15469,5672,513,199.0,,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
57,57,29-03-2020 18:17:05,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,13,Тбилиси,5 гр,0.0268,15547,5700,515,200.0,,True,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
58,58,29-03-2020 18:17:05,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3279,190000,87429,6293,,,True,,,,,,,,,,,reagent 25i nbome. 5gr
