,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Saburtalo,Vake,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
13,21-03-2020 21:29:24,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0286,15999,5761,525,205,,,,,,,,,,,,VHQ BEST Cocaine 1g.
14,21-03-2020 21:29:24,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0261,13970,5030,458,179,,,True,,,,,,,,,Kokain KOLUMBIA 1g
15,21-03-2020 21:29:24,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1191,70240,25290,2303,900,,,,,,,,,,,,Metadon 1gr
16,21-03-2020 21:29:24,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,7,нет,Тбилиси,2 гр,0.0139,8195,2951,269,105,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
17,21-03-2020 21:29:24,Tbilisi,ABOAB,ProGrow,2G ---> ONLY BUDS,,9,нет,Тбилиси,2 гр,0.0089,4761,1714,156,61,,True,,,,,,,,,,2G ---> ONLY BUDS
18,21-03-2020 21:29:24,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5% ПОДЪЕЗД!!! НА МАГНИТЕ!!!,,1,нет,Тбилиси,2 гр,0.0512,27706,9976,908,355,,,,True,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5% POD'EZD!!! NA MAGNITE!!!
19,21-03-2020 21:29:24,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,4,нет,Тбилиси,2 гр,0.0048,2810,1012,92,36,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
20,21-03-2020 21:29:24,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0529,29579,10650,970,379,,,,,,,,,,,,Kokain HQ 2g.
21,21-03-2020 21:29:24,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,True,1,нет,Тбилиси,3 гр,0.0066,3902,1405,128,50,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
22,21-03-2020 21:29:24,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0146,7726,2782,253,99,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
23,21-03-2020 21:29:24,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0424,24974,8992,819,320,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
24,21-03-2020 21:29:24,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0432,23413,8430,768,300,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
25,21-03-2020 21:29:24,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0467,26088,9409,856,,310,,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
26,21-03-2020 21:29:24,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0257,13658,4918,448,175,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
27,21-03-2020 21:29:24,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,1,нет,Тбилиси,5 гр,0.1146,61421,22115,2014,787,,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
28,21-03-2020 21:29:24,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,8,нет,Тбилиси,5 гр,0.0086,5073,1827,166,65,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
29,21-03-2020 21:29:24,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0473,25364,9133,832,325,,,,True,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
30,21-03-2020 21:29:24,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0531,28486,10257,934,365,,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
31,21-03-2020 21:29:24,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0389,20838,7503,683,267,,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
32,21-03-2020 21:29:24,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,10 гр,0.0131,7726,2782,253,99,,,,,,True,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
33,21-03-2020 21:29:24,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0559,31218,11240,1024,400,,,,,,,,,,,,gashish evro 10g
34,21-03-2020 21:30:24,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2653,156089,56200,5118,2000,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
35,21-03-2020 21:30:24,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),True,11,5,Тбилиси,0.27 гр,0.0368,19511,7025,640,250,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
36,21-03-2020 21:30:24,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,2,3,Тбилиси,1.1 гр,0.1105,58533,21075,1919,750,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
37,21-03-2020 21:30:24,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,3,Тбилиси,2 гр,0.0295,15609,5620,512,200,,,,,,,,,,,,✨✨2gram. MDMA✨✨
38,21-03-2020 21:30:24,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,2,Тбилиси,3 гр,0.087,46046,16579,1510,590,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
39,21-03-2020 21:30:24,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0584,31218,11240,1024,400,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
40,21-03-2020 21:30:24,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0803,42924,15455,1408,550,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
41,21-03-2020 21:30:24,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.0228,12175,4384,399,156,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
42,21-03-2020 21:30:24,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,9,Тбилиси,5 гр,0.029,15531,5592,509,199,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
43,21-03-2020 21:30:24,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0233,12487,4496,409,160,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
44,21-03-2020 21:30:24,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.029,15531,5592,509,199,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
45,21-03-2020 21:30:24,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,1,Тбилиси,5 гр,0.029,15531,5592,509,199,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
46,21-03-2020 21:30:24,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0212,11316,4075,371,145,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
47,21-03-2020 21:30:24,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0291,17092,6154,560,219,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
48,21-03-2020 21:30:24,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0442,23413,8430,768,300,,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
49,21-03-2020 21:30:24,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0219,11707,4215,384,150,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
50,21-03-2020 21:30:24,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,1,Тбилиси,5 гр,0.0292,15609,5620,512,200,,,,,,,True,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
51,21-03-2020 21:30:24,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0265,15609,5620,512,200,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
52,21-03-2020 21:30:24,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.323,190000,87429,6224,,,,,,,,,,,,,reagent 25i nbome. 5gr
53,21-03-2020 21:30:24,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.398,234133,84300,7677,3000,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
54,21-03-2020 21:30:24,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1266,67040,24138,2198,859,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
55,21-03-2020 21:30:24,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0273,14438,5199,473,185,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
56,21-03-2020 21:30:24,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0721,38164,13741,1251,489,,,,,,,,,,,,💘✨5g. MDMA ✨💘
57,21-03-2020 21:30:24,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,4,Тбилиси,5 гр,0.0485,25677,9245,842,329,,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
58,21-03-2020 21:30:24,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,8,Тбилиси,5 гр,0.0265,14048,5058,461,180,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
59,21-03-2020 21:30:24,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1313,70240,25290,2303,900,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
60,21-03-2020 21:30:24,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1022,54631,19670,1791,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
61,21-03-2020 21:30:24,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,6,Тбилиси,10 гр,0.0467,24974,8992,819,320,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
62,21-03-2020 21:30:24,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0516,27316,9835,896,350,,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
63,21-03-2020 21:30:24,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1167,62435,22480,2047,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
64,21-03-2020 21:30:24,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3247,173649,62523,5694,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
65,21-03-2020 21:30:24,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2136,113086,40717,3708,1449,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
66,21-03-2020 21:30:54,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2136,113086,40717,3708,1449,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
67,21-03-2020 21:30:54,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0544,28798,10369,944,369,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
68,21-03-2020 21:30:54,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0441,23335,8402,765,299,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
