,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
19,19,16-06-2020 18:08:25,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0464,34876,13450,1193,,True,500.0,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
20,20,16-06-2020 18:08:25,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2059,139505,53800,4773,,True,2000.0,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
21,21,16-06-2020 18:08:25,Tbilisi,54915c4374,Сирец (геройн) очень сильный 1 гр (предзаказ на 10% дешевле!!!),,нет,20,Тбилиси,1 гр,0.0357,24413,9415,835,,True,350.0,,,,,,,Sirets (gerojn) ochen' sil'nyj 1 gr (predzakaz na 10% deshevle!!!)
22,22,16-06-2020 18:08:25,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,7,Тбилиси,2 гр,0.038,25739,9926,881,,True,369.0,,,,,,,❄❄2g HQ COCAINE❄❄
23,23,16-06-2020 18:08:25,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,5,Тбилиси,3 гр,0.0597,40387,15575,1382,,True,579.0,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
24,24,16-06-2020 18:08:25,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0408,27901,10760,955,,True,400.0,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
25,25,16-06-2020 18:08:25,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,True,нет,2,Тбилиси,4 гр,0.0143,9765,3766,334,,,140.0,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
26,26,16-06-2020 18:08:25,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0561,38364,14795,1313,,True,550.0,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,27,16-06-2020 18:08:25,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.024,16392,6322,561,,True,235.0,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
28,28,16-06-2020 18:08:25,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0245,16741,6456,573,,True,240.0,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,29,16-06-2020 18:08:25,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0235,16043,6187,549,,True,230.0,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
30,30,16-06-2020 18:08:25,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0245,16741,6456,573,,True,240.0,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
31,31,16-06-2020 18:08:25,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0245,16741,6456,573,,True,240.0,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
32,32,16-06-2020 18:08:25,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0235,16043,6187,549,,True,230.0,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
