,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Varketili,Didube,Дигоми,Gldani,Авлобари,Saburtalo,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
0,0,19-04-2020 18:33:19,Tbilisi,2f51af8159,NEW MDMA 0.25 G MELKIE KRISTALI,True,2,нет,Тбилиси,0.25 гр,0.0048,2588,959,86,35.0,,,,,,,,,,,,NEW MDMA 0.25 G MELKIE KRISTALI
1,1,19-04-2020 18:33:19,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,11,нет,Тбилиси,0.5 гр,0.0187,9982,3699,330,135.0,True,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,19-04-2020 18:33:19,Tbilisi,2f51af8159,INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0032,1923,712,64,26.0,,,,,,,,,,,,INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G
3,3,19-04-2020 18:33:19,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,1,нет,Тбилиси,1 гр,0.0068,4067,1507,134,55.0,True,,,,,,,,,,,1 G Hybrid Marijuana Buds
4,4,19-04-2020 18:33:19,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,9,нет,Тбилиси,1 гр,0.0078,4215,1562,139,57.0,True,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
5,5,19-04-2020 18:33:19,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,10,нет,Тбилиси,1 гр,0.0078,4215,1562,139,57.0,True,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
6,6,19-04-2020 18:33:19,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,8,нет,Тбилиси,1 гр,0.0075,4067,1507,134,55.0,True,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
7,7,19-04-2020 18:33:19,Tbilisi,2f51af8159,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE,True,1,нет,Тбилиси,1 гр,0.0053,2884,1069,95,39.0,,,,,,,,,,,,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE
8,8,19-04-2020 18:33:19,Tbilisi,d04eeb6525,Кокаин HQ 1г.,,3,нет,Тбилиси,1 гр,0.0298,16268,6028,538,220.0,True,,,,,,,,,,,Kokain HQ 1g.
9,9,19-04-2020 18:33:19,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.11199999999999999,66550,24660,2201,900.0,True,,,,,,,,,,,Metadon 1gr
