,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
23,08-04-2020 02:02:21,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0408,24146,8720,817,320,,,,,,,,,,"5 Grm MDMA , Purity A +++"
24,08-04-2020 02:02:21,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0394,22637,8175,766,300,,,,,,,,,,5 Grm Mdma Pure Quality A +++
25,08-04-2020 02:02:21,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,5 гр,0.0219,12450,4496,421,165,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
26,08-04-2020 02:02:21,Tbilisi,ABOAB,ProGrow,5G ---> ONLY BUDS,,2,нет,Тбилиси,5 гр,0.0126,7168,2589,242,95,True,,,,,,,,,5G ---> ONLY BUDS
27,08-04-2020 02:02:21,Tbilisi,1GT8,GREENGY,5g MDMA (IMPORTED),True,1,нет,Тбилиси,5 гр,0.051,30182,10900,1021,400,,,,,,,,,,5g MDMA (IMPORTED)
28,08-04-2020 02:02:21,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,True,2,нет,Тбилиси,5 гр,0.0224,12752,4605,431,169,,,,,,,,,,5gr Stardawg Auto WEED BUDS
29,08-04-2020 02:02:21,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),True,5,нет,Тбилиси,5 гр,0.0178,10111,3652,342,134,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
30,08-04-2020 02:02:21,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0235,13205,4769,447,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
31,08-04-2020 02:02:21,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 5 G.,True,1,нет,Тбилиси,5 гр,0.2012,113183,40875,3828,1500,,,,,,,,,,METADON - 5 G.
32,08-04-2020 02:02:21,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,1,нет,Тбилиси,5 гр,0.0091,5659,2044,191,75,,,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
33,08-04-2020 02:02:21,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0066,4150,1499,140,55,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
34,08-04-2020 02:02:59,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,1,нет,Тбилиси,10 гр,0.0278,15770,5695,533,209,,,,,,,,,,10 gr marijuana buds. -indica-
35,08-04-2020 02:02:59,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0485,27541,9946,931,365,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
36,08-04-2020 02:02:59,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),True,1,3,Тбилиси,10 гр,0.0131,8201,2970,277,,,True,,,100,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
37,08-04-2020 02:02:59,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,10 гр,0.0103,6414,2316,217,85,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
38,08-04-2020 02:02:59,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.051,30182,10900,1021,400,,,,,,,,,,gashish evro 10g
39,08-04-2020 02:02:59,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.099,58629,21173,1983,777,,,,,,,,,,Gashish Evro 20gr
40,08-04-2020 02:02:59,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2415,150910,54500,5104,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
41,08-04-2020 02:02:59,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.22 G.,True,16,15,Тбилиси,0.22 гр,0.02,11243,4060,380,149,,,,,,,,,,METADON - 0.22 G.
42,08-04-2020 02:02:59,Tbilisi,A3I9,Joookerrr,MDMA 1 гр,True,нет,2,Тбилиси,1 гр,0.0131,8201,2970,277,,,,,,100,,,,,MDMA 1 gr
43,08-04-2020 02:02:59,Tbilisi,A3I9,Joookerrr,Бупренорфин!!! Аналог суботекса!!! 2 грамма (порошок),True,нет,1,Тбилиси,2 гр,0.0197,12302,4455,416,,,,,,150,,,,,Buprenorfin!!! Analog suboteksa!!! 2 gramma (poroshok)
44,08-04-2020 02:02:59,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.0268,15091,5450,510,200,,,,,,,,,,✨✨2gram. MDMA✨✨
45,08-04-2020 02:02:59,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.0495,27843,10055,942,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
46,08-04-2020 02:02:59,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0791,44518,16078,1506,590,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
47,08-04-2020 02:02:59,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0531,30182,10900,1021,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
48,08-04-2020 02:02:59,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,4,Тбилиси,5 гр,0.0213,12073,4360,408,160,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
49,08-04-2020 02:02:59,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0731,41500,14988,1404,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
